GEO_ID,B17025_001E,B17025_001M,B17025_002E,B17025_002M,B17025_003E,B17025_003M,B17025_004E,B17025_004M,B17025_005E,B17025_005M,B17025_006E,B17025_006M,B17025_007E,B17025_007M,B17025_008E,B17025_008M,B17025_009E,B17025_009M,B17025_010E,B17025_010M,B17025_011E,B17025_011M,B17025_012E,B17025_012M,B17025_013E,B17025_013M,B17025_014E,B17025_014M,B17025_015E,B17025_015M,NAME,B17025_001EA,B17025_001MA,B17025_002MA,B17025_002EA,B17025_003MA,B17025_003EA,B17025_004EA,B17025_004MA,B17025_005MA,B17025_005EA,B17025_006EA,B17025_006MA,B17025_007MA,B17025_007EA,B17025_008EA,B17025_008MA,B17025_009EA,B17025_009MA,B17025_010EA,B17025_010MA,B17025_011EA,B17025_011MA,B17025_012EA,B17025_012MA,B17025_013EA,B17025_013MA,B17025_014EA,B17025_014MA,B17025_015EA,B17025_015MA,state
0400000US01,4666970,2567,888290,22673,850990,22535,846436,22526,4554,1057,37300,4629,3939,1288,33361,4464,3778680,22820,3649725,23221,3620394,22745,29331,3593,128955,7671,43716,3558,85239,7201,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,696822,1573,69279,6120,64388,5801,62108,5650,2280,1046,4891,1579,1417,662,3474,1187,627543,6406,583541,7425,570774,7270,12767,1974,44002,4006,22532,2778,21470,2937,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6272686,3673,1094249,33633,885261,29543,875753,29421,9508,2024,208988,12717,37686,3255,171302,11963,5178437,33939,4549836,33221,4485076,32997,64760,5265,628601,16054,270762,10317,357839,13811,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2839798,2045,534898,16599,498786,15356,496863,15117,1923,1025,36112,4791,5637,1667,30475,4542,2304900,16402,2211294,16707,2195056,16616,16238,2495,93606,5216,30519,3319,63087,5866,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,36593372,8519,5783043,74336,3934685,59824,3877895,59423,56790,5271,1848358,33840,476041,15516,1372317,34226,30810329,75605,22603526,81803,22211636,80202,391890,11066,8206803,56489,4124002,39980,4082801,49623,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4934178,2454,659786,23009,556664,20779,546653,20845,10011,2467,103122,7832,17760,2462,85362,7096,4274392,23309,3888880,24040,3828307,23369,60573,4167,385512,13495,158514,7209,226998,12126,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3466977,2302,350145,15842,292452,13572,258031,13235,34421,4384,57693,5720,16719,2532,40974,5043,3116832,15723,2695512,20250,2606925,19337,88587,6116,421320,13498,207594,8483,213726,10661,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,874321,1107,103427,8098,92061,7620,90548,7626,1513,686,11366,2524,2631,1133,8735,2472,770894,8103,711034,8516,698692,8589,12342,2916,59860,4389,30781,2693,29079,3282,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,570953,564,109423,7577,98330,6896,97280,6831,1050,721,11093,2109,3415,1065,7678,1793,461530,7527,393275,7078,384140,6846,9135,1606,68255,4850,28371,3316,39884,3950,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,18436788,6230,3047343,41603,2354351,37208,2249625,35598,104726,8525,692992,22188,232846,10835,460146,17252,15389445,41453,12463466,49903,11991665,47802,471801,14950,2925979,35325,1526879,24628,1399100,27670,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,9446906,4877,1688932,36955,1488537,34541,1473427,34380,15110,3119,200395,11023,34873,3870,165522,10477,7757974,38121,7031463,35316,6930015,33217,101448,7133,726511,16848,291906,9490,434605,15051,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,1326373,1510,142185,9627,114250,8040,110837,7905,3413,1097,27935,3979,7842,1514,20093,3790,1184188,9850,967801,16241,932990,16075,34811,4405,216387,12485,131953,7358,84434,8461,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1541860,1275,242272,10788,220137,10154,217391,9833,2746,980,22135,3293,4239,1468,17896,2821,1299588,10971,1236069,11949,1223859,12146,12210,1692,63519,4198,25089,3349,38430,3932,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,12543457,3191,1731711,31915,1458037,27656,1441713,26997,16324,2861,273674,13509,65142,5622,208532,12735,10811746,32489,9344106,35380,9235474,33966,108632,7175,1467640,19056,696620,13854,771020,20000,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,6294417,3609,962775,25003,892918,22993,888020,22951,4898,1265,69857,6896,10880,2413,58977,6427,5331642,25164,5107553,24674,5076551,24983,31002,3124,224089,10504,97219,6680,126870,8537,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,2950251,2192,370507,13924,342867,12999,340802,13020,2065,861,27640,4449,5356,1363,22284,3741,2579744,14347,2472770,14522,2460789,14730,11981,1984,106974,5791,45237,3597,61737,5381,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,2775355,2167,377530,15414,338612,13325,334932,12972,3680,1528,38918,5408,5499,1626,33419,5186,2397825,16069,2254257,15926,2235496,15688,18761,2322,143568,7843,54474,4391,89094,6395,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,4215643,2986,800226,20902,766112,20533,760791,20373,5321,1397,34114,4817,4894,1370,29220,4689,3415417,20760,3311966,20002,3292043,20209,19923,2602,103451,6023,42530,4220,60921,4579,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,4413890,3449,825144,21101,793874,20668,789633,20682,4241,1341,31270,3454,6238,1477,25032,3267,3588746,21076,3452093,22846,3427727,23290,24366,2566,136653,6359,59224,4704,77429,6195,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,1293012,1146,167242,7702,160250,7759,158674,7660,1576,537,6992,1428,2536,1173,4456,1181,1125770,7755,1088495,7361,1077768,7351,10727,1544,37275,2931,22764,2179,14511,1839,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,5643821,3530,557140,21050,465581,18973,457791,18619,7790,2423,91559,8184,25430,3218,66129,7506,5086681,21165,4381546,21912,4314944,23140,66602,5712,705135,14168,332691,11058,372444,11767,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,6333611,2630,725143,21471,578328,18464,530062,17491,48266,4941,146815,9221,49464,4256,97351,7494,5608468,22235,4794180,23561,4688892,22085,105288,6593,814288,16396,416389,13020,397899,13248,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,9656449,3934,1618257,30260,1502115,29397,1491520,29393,10595,2099,116142,8011,39346,4211,76796,6847,8038192,30568,7577576,31400,7529981,31135,47595,3803,460616,12505,245305,8740,215311,9541,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,5189200,2281,599516,15022,521158,13320,517747,13311,3411,956,78358,5831,24502,3197,53856,5649,4589684,15310,4297319,16152,4268939,16030,28380,2713,292365,8765,142129,7182,150236,7407,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,2875594,2515,643883,22452,629818,21770,628990,21825,828,468,14065,3134,1967,833,12098,2897,2231711,22379,2187133,22643,2175501,22540,11632,2184,44578,3917,16374,2063,28204,3234,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,5817852,2620,888570,21761,843063,20696,839191,20832,3872,1145,45507,5166,10140,1823,35367,4619,4929282,21852,4748622,21163,4716427,20473,32195,2932,180660,8469,88591,6096,92069,6796,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
