GEO_ID,C11002F_001E,C11002F_001M,C11002F_002E,C11002F_002M,C11002F_003E,C11002F_003M,NAME,C11002F_001MA,C11002F_001EA,C11002F_002MA,C11002F_002EA,C11002F_003EA,C11002F_003MA,state
0400000US01,48910,6440,43201,6653,5709,1985,Alabama,null,null,null,null,null,null,01
0400000US02,5962,2158,5492,2145,470,334,Alaska,null,null,null,null,null,null,02
0400000US04,395487,24208,365318,24089,30169,3812,Arizona,null,null,null,null,null,null,04
0400000US05,58330,6905,53408,6455,4922,1689,Arkansas,null,null,null,null,null,null,05
0400000US06,4838981,71302,4540428,70289,298553,14507,California,null,null,null,null,null,null,06
0400000US08,274030,15935,247439,16455,26591,4442,Colorado,null,null,null,null,null,null,08
0400000US09,176201,11217,156172,10216,20029,3651,Connecticut,null,null,null,null,null,null,09
0400000US10,16655,3995,14971,3825,1684,1450,Delaware,null,null,null,null,null,null,10
0400000US11,14537,4003,12058,4022,2479,1462,District of Columbia,null,null,null,null,null,null,11
0400000US12,466782,24491,409831,22647,56951,8069,Florida,null,null,null,null,null,null,12
0400000US13,309327,17172,275124,16505,34203,7610,Georgia,null,null,null,null,null,null,13
0400000US15,15813,3951,14131,4133,1682,842,Hawaii,null,null,null,null,null,null,15
0400000US16,31136,5059,28739,4747,2397,1260,Idaho,null,null,null,null,null,null,16
0400000US17,794293,29239,744929,29560,49364,5611,Illinois,null,null,null,null,null,null,17
0400000US18,119277,11119,105470,11090,13807,3567,Indiana,null,null,null,null,null,null,18
0400000US19,41422,5261,37422,5175,4000,1840,Iowa,null,null,null,null,null,null,19
0400000US20,63096,7261,57428,7163,5668,1358,Kansas,null,null,null,null,null,null,20
0400000US21,34530,5496,26865,5075,7665,2445,Kentucky,null,null,null,null,null,null,21
0400000US22,56086,6702,47977,7136,8109,2214,Louisiana,null,null,null,null,null,null,22
0400000US23,1691,947,1351,841,340,264,Maine,null,null,null,null,null,null,23
0400000US24,173705,12320,161734,12349,11971,3033,Maryland,null,null,null,null,null,null,24
0400000US25,231429,11670,202857,11463,28572,4143,Massachusetts,null,null,null,null,null,null,25
0400000US26,104359,9479,96597,9459,7762,1926,Michigan,null,null,null,null,null,null,26
0400000US27,58481,6710,54167,6690,4314,1587,Minnesota,null,null,null,null,null,null,27
0400000US28,21001,4443,17840,4084,3161,1836,Mississippi,null,null,null,null,null,null,28
0400000US29,53163,5913,45893,5396,7270,2438,Missouri,null,null,null,null,null,null,29
0400000US30,2567,1326,2072,1227,495,352,Montana,null,null,null,null,null,null,30
0400000US31,31501,5011,29491,4913,2010,917,Nebraska,null,null,null,null,null,null,31
0400000US32,163667,12948,150229,12731,13438,2913,Nevada,null,null,null,null,null,null,32
0400000US33,9961,3827,9399,3719,562,632,New Hampshire,null,null,null,null,null,null,33
0400000US34,532487,20990,482289,20090,50198,5707,New Jersey,null,null,null,null,null,null,34
0400000US35,223869,13375,192308,12828,31561,4700,New Mexico,null,null,null,null,null,null,35
0400000US36,1538344,29425,1394610,29553,143734,9681,New York,null,null,null,null,null,null,36
0400000US37,284533,14929,258754,16058,25779,4701,North Carolina,null,null,null,null,null,null,37
0400000US38,3493,1475,2846,1540,647,652,North Dakota,null,null,null,null,null,null,38
0400000US39,83483,8221,71079,7739,12404,2803,Ohio,null,null,null,null,null,null,39
0400000US40,96421,7384,89702,7711,6719,2185,Oklahoma,null,null,null,null,null,null,40
0400000US41,158394,13261,147816,13323,10578,3050,Oregon,null,null,null,null,null,null,41
0400000US42,207148,12206,187784,12153,19364,3385,Pennsylvania,null,null,null,null,null,null,42
0400000US44,66112,6763,60146,6830,5966,2193,Rhode Island,null,null,null,null,null,null,44
0400000US45,68113,8066,56511,7303,11602,3473,South Carolina,null,null,null,null,null,null,45
0400000US46,5873,1463,5367,1467,506,356,South Dakota,null,null,null,null,null,null,46
0400000US47,84263,9140,74696,8936,9567,3117,Tennessee,null,null,null,null,null,null,47
0400000US48,1885624,42980,1727007,44573,158617,10379,Texas,null,null,null,null,null,null,48
0400000US49,94814,9670,86123,8800,8691,2587,Utah,null,null,null,null,null,null,49
0400000US50,1209,801,866,719,343,383,Vermont,null,null,null,null,null,null,50
0400000US51,181639,16351,168560,16610,13079,3392,Virginia,null,null,null,null,null,null,51
0400000US53,258778,15850,240754,16108,18024,3465,Washington,null,null,null,null,null,null,53
0400000US54,2679,1459,2544,1457,135,178,West Virginia,null,null,null,null,null,null,54
0400000US55,82813,7488,72853,6941,9960,2753,Wisconsin,null,null,null,null,null,null,55
0400000US56,12860,3512,11392,3689,1468,870,Wyoming,null,null,null,null,null,null,56
0400000US72,408925,15363,367142,15444,41783,3529,Puerto Rico,null,null,null,null,null,null,72
