GEO_ID,C11010_001E,C11010_001M,C11010_002E,C11010_002M,C11010_003E,C11010_003M,C11010_004E,C11010_004M,C11010_005E,C11010_005M,C11010_006E,C11010_006M,C11010_007E,C11010_007M,C11010_008E,C11010_008M,C11010_009E,C11010_009M,C11010_010E,C11010_010M,C11010_011E,C11010_011M,NAME,C11010_001MA,C11010_001EA,C11010_002EA,C11010_002MA,C11010_003EA,C11010_003MA,C11010_004MA,C11010_004EA,C11010_005EA,C11010_005MA,C11010_006MA,C11010_006EA,C11010_007EA,C11010_007MA,C11010_008EA,C11010_008MA,C11010_009MA,C11010_009EA,C11010_010EA,C11010_010MA,C11010_011MA,C11010_011EA,state
0400000US01,587268,11440,263336,6270,219758,6357,170152,5506,49606,2822,43578,3478,323932,8310,291950,7702,159066,6647,132884,4564,31982,2733,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,83751,4087,46440,2658,34955,2579,29907,2513,5048,884,11485,1675,37311,2647,28743,2294,19930,2094,8813,1225,8568,1597,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,785622,11512,383385,8833,292322,9126,226522,7875,65800,3329,91063,4993,402237,8440,328969,8474,185290,7023,143679,4867,73268,4429,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,353541,8369,164939,4975,134941,4450,104565,4296,30376,2500,29998,3001,188602,6154,167186,5651,85607,4807,81579,3581,21416,2283,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,3898619,22565,1829876,18353,1333972,17390,1027471,16385,306501,9165,495904,11506,2068743,17284,1667335,17265,946245,15125,721090,11068,401408,9252,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,701700,12583,342477,9140,263728,8727,215801,7742,47927,2837,78749,4938,359223,8306,291352,7414,183354,6652,107998,3356,67871,3750,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,468039,8409,206669,6453,162649,5987,122457,5926,40192,2622,44020,3454,261370,6464,221733,5672,117269,5288,104464,3306,39637,3347,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,107532,4730,46461,3154,35356,2667,27174,2534,8182,1028,11105,1599,61071,3361,51634,3132,26786,2409,24848,1887,9437,1430,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,150869,4823,66097,3299,50802,3170,42080,3234,8722,1234,15295,1887,84772,3843,70234,3441,50776,3124,19458,1680,14538,1829,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2478138,24583,1132947,15293,871439,15763,628846,13459,242593,6634,261508,8061,1345191,18270,1141589,17808,577071,14331,564518,10416,203602,6756,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
