GEO_ID,C17020G_001E,C17020G_001M,C17020G_002E,C17020G_002M,C17020G_003E,C17020G_003M,C17020G_004E,C17020G_004M,C17020G_005E,C17020G_005M,C17020G_006E,C17020G_006M,C17020G_007E,C17020G_007M,C17020G_008E,C17020G_008M,C17020G_009E,C17020G_009M,NAME,C17020G_001EA,C17020G_001MA,C17020G_002EA,C17020G_002MA,C17020G_003EA,C17020G_003MA,C17020G_004MA,C17020G_004EA,C17020G_005MA,C17020G_005EA,C17020G_006MA,C17020G_006EA,C17020G_007MA,C17020G_007EA,C17020G_008EA,C17020G_008MA,C17020G_009EA,C17020G_009MA,state
0400000US01,63274,4403,17784,2607,10415,2358,6700,1134,669,387,45490,3962,20965,2873,20998,2551,3527,861,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,48669,4261,6085,1844,3134,1384,2885,930,66,120,42584,3933,20785,2873,20823,2276,976,412,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,165340,10065,28748,4414,14030,2945,13807,2312,911,540,136592,9013,72004,6792,59012,4493,5576,1104,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,47807,4149,14595,2666,9058,1965,5204,1421,333,236,33212,3620,14085,2240,16717,2215,2410,637,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1534073,31596,234546,14933,108291,10417,115463,7208,10792,1688,1299527,29216,576957,18622,655678,16589,66892,3746,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,165894,8639,28984,4130,14302,2808,13999,2032,683,409,136910,8116,67436,5380,64571,4953,4903,994,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,85853,6459,12835,2621,7083,1884,5527,1364,225,189,73018,5665,37943,3437,32645,3183,2430,688,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,22267,3445,2909,1077,1296,691,1318,704,295,333,19358,3373,10374,2466,8109,1454,875,479,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,11446,1991,1419,732,127,208,956,534,336,290,10027,1901,3103,996,6225,1153,699,495,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,396217,15914,78345,7351,39954,5708,34071,3643,4320,1036,317872,14573,134555,8386,163357,8798,19960,2459,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,173147,10237,34792,5453,21417,3965,12606,2393,769,589,138355,8828,71902,6140,60577,5080,5876,1648,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,315314,11412,42582,5030,20391,3198,21575,2605,616,316,272732,11806,104895,5335,148591,8143,19246,2295,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,34675,3708,10723,2316,5453,1504,4995,1277,275,221,23952,3080,10836,1973,11657,1886,1459,711,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,234650,11121,41983,5050,25215,3429,15439,2858,1329,593,192667,10242,100963,5909,82861,6821,8843,1377,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
