GEO_ID,B12502_001E,B12502_001M,B12502_002E,B12502_002M,B12502_003E,B12502_003M,B12502_004E,B12502_004M,B12502_005E,B12502_005M,B12502_006E,B12502_006M,B12502_007E,B12502_007M,B12502_008E,B12502_008M,B12502_009E,B12502_009M,B12502_010E,B12502_010M,B12502_011E,B12502_011M,NAME,B12502_001MA,B12502_001EA,B12502_002EA,B12502_002MA,B12502_003MA,B12502_003EA,B12502_004MA,B12502_004EA,B12502_005EA,B12502_005MA,B12502_006EA,B12502_006MA,B12502_007EA,B12502_007MA,B12502_008EA,B12502_008MA,B12502_009EA,B12502_009MA,B12502_010MA,B12502_010EA,B12502_011EA,B12502_011MA,state
0400000US01,3849111,3291,1844661,3620,598916,9648,1245745,9182,7521,1413,1238224,9310,2004450,3278,523685,9742,1480765,9456,20159,2250,1460606,9682,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,558161,1252,290598,1332,103256,4599,187342,4445,413,298,186929,4460,267563,1192,73175,3321,194388,3222,1625,813,192763,3149,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5051999,1686,2492590,2424,879512,10546,1613078,10369,6940,1251,1606138,10524,2559409,2314,717857,11136,1841552,10484,17551,1859,1824001,10281,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2329778,3252,1128804,3575,332606,7748,796198,7226,5119,1109,791079,7229,1200974,3412,281988,7140,918986,6219,10694,1435,908292,6408,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,29705525,3415,14662335,4581,5830573,28157,8831762,27189,41483,3213,8790279,26473,15043190,4579,4864486,24224,10178704,24891,98861,4584,10079843,24636,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4021728,2195,2004303,3064,690093,9543,1314210,9328,5177,901,1309033,9478,2017425,2781,543041,9931,1474384,10195,11195,1608,1463189,10324,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2911821,1051,1399329,1340,507552,7494,891777,7161,5558,1215,886219,7271,1512492,1554,452491,7327,1060001,7529,9851,1260,1050150,7694,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,730643,811,350025,1332,123659,4151,226366,3756,946,508,225420,3691,380618,1147,117400,3433,263218,3426,2733,679,260485,3486,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,520355,383,243152,725,143315,3853,99837,3754,259,205,99578,3760,277203,726,154605,3577,122598,3641,1451,540,121147,3757,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,15555825,4678,7534535,6305,2554092,19232,4980443,17979,30289,3110,4950154,17980,8021290,4588,2136659,18984,5884631,19469,67553,4356,5817078,20597,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
