GEO_ID,C27005_001E,C27005_001M,C27005_002E,C27005_002M,C27005_003E,C27005_003M,C27005_004E,C27005_004M,C27005_005E,C27005_005M,C27005_006E,C27005_006M,C27005_007E,C27005_007M,C27005_008E,C27005_008M,C27005_009E,C27005_009M,C27005_010E,C27005_010M,C27005_011E,C27005_011M,C27005_012E,C27005_012M,C27005_013E,C27005_013M,C27005_014E,C27005_014M,C27005_015E,C27005_015M,C27005_016E,C27005_016M,C27005_017E,C27005_017M,C27005_018E,C27005_018M,C27005_019E,C27005_019M,C27005_020E,C27005_020M,C27005_021E,C27005_021M,NAME,C27005_001MA,C27005_001EA,C27005_002EA,C27005_002MA,C27005_003EA,C27005_003MA,C27005_004MA,C27005_004EA,C27005_005EA,C27005_005MA,C27005_006EA,C27005_006MA,C27005_007EA,C27005_007MA,C27005_008EA,C27005_008MA,C27005_009EA,C27005_009MA,C27005_010EA,C27005_010MA,C27005_011EA,C27005_011MA,C27005_012EA,C27005_012MA,C27005_013EA,C27005_013MA,C27005_014EA,C27005_014MA,C27005_015MA,C27005_015EA,C27005_016EA,C27005_016MA,C27005_017EA,C27005_017MA,C27005_018EA,C27005_018MA,C27005_019EA,C27005_019MA,C27005_020MA,C27005_020EA,C27005_021EA,C27005_021MA,state
0400000US01,4702769,1669,2264282,5426,580409,4165,39709,3969,540700,6126,1411696,4278,148085,6535,1263611,7787,272177,2147,88941,3395,183236,3694,2438487,5571,553229,3838,41524,3943,511705,5433,1519840,3855,161154,6576,1358686,7223,365418,2200,134761,3872,230657,3712,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,689249,1872,351120,2257,98067,1769,3742,1352,94325,2590,228051,1873,15000,2179,213051,2672,25002,744,4428,888,20574,1121,338129,1869,89917,1576,2356,719,87561,1649,221384,1182,13885,1639,207499,1945,26828,631,5551,1056,21277,1212,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6310174,2001,3105385,4053,835349,2384,61987,5479,773362,5811,1869504,3564,171634,6942,1697870,6978,400532,1319,135989,4275,264543,4009,3204789,3753,794582,2245,52861,3828,741721,4812,1935179,2604,185985,6433,1749194,6844,475028,1801,175057,5098,299971,5468,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2867611,1672,1395533,6537,360067,3837,24118,2696,335949,4935,855780,5332,84264,4801,771516,6705,179686,1735,69655,3178,110031,3147,1472078,6426,349307,3824,22585,2753,326722,4000,897653,5403,87639,4535,810014,6652,225118,1959,91976,3622,133142,3768,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,36815569,4634,18152479,9393,4749200,4391,412600,12152,4336600,13227,11577968,9176,1179963,22293,10398005,26095,1825311,3391,479444,9208,1345867,9540,18663090,7973,4539491,3888,392545,11701,4146946,12360,11771939,6474,1256983,19838,10514956,20945,2351660,4990,689810,8708,1661850,9677,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4956873,2211,2462240,6565,629839,3148,57089,4170,572750,5365,1592801,5038,199195,7438,1393606,8416,239600,1431,89711,3386,149889,3814,2494633,6292,596369,3090,53149,3590,543220,4779,1601729,4414,195824,6562,1405905,8296,296535,1791,121704,3936,174831,4124,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3519913,989,1704117,2239,416145,1288,27923,3138,388222,3512,1080650,1981,107282,5410,973368,5862,207322,1165,74700,2934,132622,3000,1815796,2076,398865,1282,28348,3331,370517,3616,1139428,1712,110008,5350,1029420,5586,277503,1289,108841,3276,168662,3380,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,885232,820,426205,1636,105483,1063,5950,1485,99533,1786,265250,1178,23674,2488,241576,2844,55472,575,17968,1521,37504,1483,459027,1568,100563,969,6807,1471,93756,1678,288519,1142,27194,2485,261325,2664,69945,566,23859,1653,46086,1745,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,594282,401,278370,1152,51219,734,6896,1844,44323,1892,200415,1083,37557,3567,162858,3860,26736,414,7702,1226,19034,1225,315912,1126,49771,582,7808,2067,41963,1936,225760,797,44642,3228,181118,3221,40381,1099,10939,1523,29442,1797,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,18534081,4456,8979510,7602,2040425,4878,176460,8016,1863965,9562,5503186,7114,534867,13611,4968319,15106,1435899,3228,484627,7863,951272,8490,9554571,6409,1949822,4738,165276,9182,1784546,10951,5832093,4854,601637,13942,5230456,13554,1772656,3805,633927,10242,1138729,10334,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,9519836,3059,4595689,7668,1275569,5860,88726,6919,1186843,9371,2892009,5853,265933,7822,2626076,9451,428111,2684,134752,5162,293359,5498,4924147,7623,1216712,5971,83391,5509,1133321,7736,3132018,4795,298624,9838,2833394,9900,575417,2855,195721,5436,379696,5550,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,1315677,2309,644535,2929,157018,1400,17280,2310,139738,2583,401038,2613,63328,4383,337710,5087,86479,787,24126,2239,62353,2355,671142,2158,146643,1457,17330,2461,129313,2760,417143,1667,65518,4114,351625,4174,107356,775,36673,2440,70683,2452,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1551635,954,772179,3023,220549,2348,22019,3021,198530,3366,462624,2563,59918,3200,402706,4102,89006,994,41034,1898,47972,2131,779456,2944,207747,2192,18465,2380,189282,3291,467688,2234,64284,3232,403404,3308,104021,1142,51762,1990,52259,2225,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,12673245,2432,6188379,6646,1595153,3906,98733,5198,1496420,6282,3934540,6093,353707,10482,3580833,12027,658686,2796,253737,6406,404949,6623,6484866,6072,1526566,3510,92982,5683,1433584,6187,4067203,4614,372986,10610,3694217,12079,891097,3005,376756,6116,514341,6249,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,6391470,950,3132505,4540,821850,3216,46965,3575,774885,4832,1962643,3642,177300,6304,1785343,6669,348012,1760,146877,3735,201135,4147,3258965,4486,780470,3371,45177,3247,735293,4021,2019723,3300,180245,6971,1839478,7417,458772,2609,217459,4027,241313,4311,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,3004885,571,1483717,3817,367351,2873,35251,3263,332100,4069,930050,2621,117739,3897,812311,4858,186316,1087,99861,2712,86455,2975,1521168,3843,354411,3080,34363,3065,320048,4110,924766,2161,107975,4583,816791,5090,241991,1285,145968,3209,96023,3093,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,2804461,1848,1379541,3843,371188,3235,33432,2877,337756,3879,850271,2862,92137,4320,758134,5160,158082,1606,78571,2695,79511,2977,1424920,3890,354249,3373,29110,2554,325139,3912,868256,2475,93235,3689,775021,4485,202415,1733,110175,3313,92240,2954,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,4242714,4353,2065844,4964,526090,3772,38356,3434,487734,4852,1297854,4482,114278,4796,1183576,6166,241900,1677,89080,3280,152820,3333,2176870,5805,492285,3757,32127,3362,460158,4726,1370126,4137,124192,5621,1245934,6909,314459,1758,129052,4663,185407,4374,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,4440314,1830,2146775,5421,568772,5051,34589,3620,534183,5195,1346768,5476,136288,6263,1210480,9047,231235,1949,71719,2952,159516,3199,2293539,5059,544557,4002,35030,3644,509527,5132,1441656,3030,149272,7085,1292384,7351,307326,2094,105953,3846,201373,4033,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,1313037,991,640864,2086,140497,1106,6657,1318,133840,1885,409860,1592,33979,2305,375881,2517,90507,716,34578,1707,55929,1729,672173,1794,132601,1190,5963,1193,126638,1785,426619,1192,36851,2290,389768,2399,112953,852,48171,2081,64782,2198,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,5687998,2852,2730888,4561,689853,3158,53256,4117,636597,4724,1748894,3282,166684,6527,1582210,7201,292141,1505,93001,3806,199140,4051,2957110,4114,660158,2936,46378,4376,613780,4281,1902044,3248,186757,7321,1715287,7848,394908,2410,137058,3317,257850,3933,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,6478067,1529,3126920,3073,721791,1755,48547,3377,673244,3776,2039337,2361,222796,7598,1816541,7658,365792,1686,129921,3903,235871,4093,3351147,2622,692955,1926,48798,4123,644157,4688,2160196,2089,238776,6665,1921420,7115,497996,1896,194803,5309,303193,5058,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
