GEO_ID,B24091_001E,B24091_001M,B24091_002E,B24091_002M,B24091_003E,B24091_003M,B24091_004E,B24091_004M,B24091_005E,B24091_005M,B24091_006E,B24091_006M,B24091_007E,B24091_007M,B24091_008E,B24091_008M,B24091_009E,B24091_009M,NAME,B24091_001EA,B24091_001MA,B24091_002EA,B24091_002MA,B24091_003MA,B24091_003EA,B24091_004MA,B24091_004EA,B24091_005EA,B24091_005MA,B24091_006MA,B24091_006EA,B24091_007EA,B24091_007MA,B24091_008EA,B24091_008MA,B24091_009MA,B24091_009EA,state
0400000US13,39745,495,38393,652,37602,589,50766,1120,41580,833,41555,601,37872,1400,56110,1539,29966,1994,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,40713,575,36575,796,36157,812,51261,2419,41983,2437,47651,2291,46961,1422,52464,3972,35261,6197,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,36125,589,34595,1303,33424,1533,47858,5792,41056,1816,40032,2026,41150,1675,58641,4876,26222,2094,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,44637,519,42172,215,41786,216,57295,3949,45628,728,51979,548,50737,642,56153,1059,31854,856,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,39694,471,39209,569,38669,565,50342,3044,40056,1233,41074,590,40551,909,53165,1936,30884,815,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,38385,491,36997,294,36760,302,46618,3251,38420,1763,43894,1696,47688,1335,51781,1106,30235,1518,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,39072,701,37993,950,37534,846,47002,5227,40120,1611,40477,769,39640,1585,52100,2430,31030,1248,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,36827,347,36028,390,35677,393,50791,2112,39429,1731,39315,1438,40549,918,51469,1140,28874,3096,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,37616,861,36516,567,36006,559,55295,6590,37139,1479,40100,1157,42263,1245,51360,1094,32149,2101,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,38798,995,38045,1121,37182,751,50618,2591,38565,1998,42827,2645,41839,1508,57150,4636,26561,1608,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,51692,267,47244,527,46647,511,61560,2406,51898,795,54293,1479,50015,1530,82899,2275,35214,3079,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,51736,239,51312,317,51017,335,64996,4468,51485,585,59809,1863,56202,1952,58842,2855,40029,4344,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
