GEO_ID,B24081_001E,B24081_001M,B24081_002E,B24081_002M,B24081_003E,B24081_003M,B24081_004E,B24081_004M,B24081_005E,B24081_005M,B24081_006E,B24081_006M,B24081_007E,B24081_007M,B24081_008E,B24081_008M,B24081_009E,B24081_009M,NAME,B24081_001EA,B24081_001MA,B24081_002MA,B24081_002EA,B24081_003MA,B24081_003EA,B24081_004EA,B24081_004MA,B24081_005EA,B24081_005MA,B24081_006MA,B24081_006EA,B24081_007MA,B24081_007EA,B24081_008EA,B24081_008MA,B24081_009MA,B24081_009EA,state
0400000US01,28849,569,26882,296,26505,301,42328,3434,29384,2312,36138,1059,37012,1314,52487,3273,21471,872,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,38658,1714,33993,2940,32310,1642,63129,10616,35067,3574,38295,5492,53614,3342,58022,5564,28600,6353,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,31191,221,30333,267,30068,361,41070,1477,35011,2514,37983,1243,36986,1131,49777,2116,20409,1036,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,26445,297,25603,425,25332,437,37193,4230,26802,1630,31166,1192,34435,2208,45994,3100,20003,2177,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,33016,357,31371,123,30875,125,52780,2455,38841,1006,48742,1036,45401,1073,52552,769,23427,638,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,33577,628,32398,339,31909,289,46335,2420,34928,1501,40477,856,37677,2337,54269,2046,21600,859,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,40588,368,39931,811,38842,1017,56330,7403,40208,1111,47343,1890,53005,2057,60914,2075,26655,1267,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,35232,688,32598,1496,32167,664,49642,7544,35211,3880,42485,3016,40141,2315,55512,6250,22387,7063,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,47210,1239,39236,3169,38310,3170,60221,22249,49510,3237,50902,5119,48203,10000,71820,2913,27493,7068,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,28802,304,26981,167,26430,167,38413,2298,31384,409,40123,390,36460,663,50485,744,17139,520,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,30722,179,30086,243,29334,484,41381,1285,31045,693,36989,759,32164,1025,51680,727,20549,660,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,32102,420,30263,471,29820,990,41832,4199,35442,2719,44374,3233,41658,1301,50394,2674,25249,2314,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,26425,457,25376,513,24680,686,41311,2252,29614,2221,33002,1850,34590,2773,49608,5661,19108,1665,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,33015,454,31948,174,31557,180,47487,2433,35153,801,44200,1309,40770,915,52729,1084,20614,568,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,30508,167,30184,235,29833,442,41687,1364,31132,609,35011,1355,34505,2083,49163,2729,19627,1650,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,30505,187,30022,323,29523,556,40202,1923,27791,1173,37246,1170,40964,1027,49236,2821,21936,650,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,30463,285,29787,662,29159,715,40236,3875,30992,838,35280,1175,32286,982,45886,2170,21484,729,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,28762,611,27416,457,27028,373,42154,3005,30968,800,32364,1630,35192,1585,47485,2455,18585,2302,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,30519,290,29272,948,28174,904,49217,3558,30006,2134,36246,1183,37170,1394,48723,2832,21326,1031,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,30332,408,29293,1136,28017,1121,43636,5071,31845,872,33906,3053,36029,1194,52411,2937,20958,1230,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
