GEO_ID,C23002B_001E,C23002B_001M,C23002B_002E,C23002B_002M,C23002B_003E,C23002B_003M,C23002B_004E,C23002B_004M,C23002B_005E,C23002B_005M,C23002B_006E,C23002B_006M,C23002B_007E,C23002B_007M,C23002B_008E,C23002B_008M,C23002B_009E,C23002B_009M,C23002B_010E,C23002B_010M,C23002B_011E,C23002B_011M,C23002B_012E,C23002B_012M,C23002B_013E,C23002B_013M,C23002B_014E,C23002B_014M,C23002B_015E,C23002B_015M,C23002B_016E,C23002B_016M,C23002B_017E,C23002B_017M,C23002B_018E,C23002B_018M,C23002B_019E,C23002B_019M,C23002B_020E,C23002B_020M,C23002B_021E,C23002B_021M,C23002B_022E,C23002B_022M,C23002B_023E,C23002B_023M,C23002B_024E,C23002B_024M,C23002B_025E,C23002B_025M,C23002B_026E,C23002B_026M,C23002B_027E,C23002B_027M,NAME,C23002B_001EA,C23002B_001MA,C23002B_002EA,C23002B_002MA,C23002B_003EA,C23002B_003MA,C23002B_004EA,C23002B_004MA,C23002B_005EA,C23002B_005MA,C23002B_006MA,C23002B_006EA,C23002B_007EA,C23002B_007MA,C23002B_008EA,C23002B_008MA,C23002B_009MA,C23002B_009EA,C23002B_010EA,C23002B_010MA,C23002B_011MA,C23002B_011EA,C23002B_012MA,C23002B_012EA,C23002B_013EA,C23002B_013MA,C23002B_014EA,C23002B_014MA,C23002B_015EA,C23002B_015MA,C23002B_016MA,C23002B_016EA,C23002B_017MA,C23002B_017EA,C23002B_018EA,C23002B_018MA,C23002B_019MA,C23002B_019EA,C23002B_020EA,C23002B_020MA,C23002B_021EA,C23002B_021MA,C23002B_022EA,C23002B_022MA,C23002B_023MA,C23002B_023EA,C23002B_024MA,C23002B_024EA,C23002B_025EA,C23002B_025MA,C23002B_026EA,C23002B_026MA,C23002B_027EA,C23002B_027MA,state
0400000US01,959840,4595,433860,3064,389376,3613,246585,5567,2101,792,244484,5541,193315,5820,51169,4017,142791,5989,44484,1599,5577,1022,4869,940,708,367,38907,1695,525980,2936,454738,2899,302411,5437,279,177,302132,5413,248801,5453,53331,3393,152327,5656,71242,1246,6740,929,6517,921,223,160,64502,1473,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,18511,1003,10276,700,9865,727,8234,786,989,411,7245,829,6249,872,996,623,1631,559,411,264,219,195,219,195,0,246,192,182,8235,601,7467,630,6507,697,548,404,5959,770,5578,781,381,314,960,408,768,315,141,146,141,146,0,246,627,345,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,193926,3123,100624,2381,92717,2290,60829,2922,1046,610,59783,2971,47962,2855,11821,1986,31888,3145,7907,550,1161,432,940,367,221,220,6746,596,93302,2041,84103,2125,57268,2748,62,111,57206,2759,49164,2637,8042,1674,26835,2682,9199,443,1073,407,962,356,111,132,8126,614,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,341417,2809,158347,2389,142295,2615,90526,3977,622,549,89904,3989,72619,3839,17285,2280,51769,3823,16052,1118,2531,765,2236,697,295,321,13521,1358,183070,2368,160245,2421,108944,3223,125,142,108819,3216,93082,3740,15737,2356,51301,3321,22825,937,2740,800,2740,800,0,273,20085,1195,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1768297,9181,862886,6209,770081,6130,503849,8043,11984,1756,491865,8092,395213,7783,96652,5296,266232,7756,92805,1475,19070,2011,17185,1943,1885,829,73735,2151,905411,6195,774842,6202,520819,8346,2534,705,518285,8407,425179,8943,93106,5310,254023,7465,130569,1492,17258,1972,15317,1835,1941,625,113311,2357,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,151413,3337,80392,2997,74152,2999,50667,2968,2700,856,47967,2894,39359,2947,8608,1573,23485,2465,6240,660,1466,579,1466,579,0,279,4774,566,71021,2352,62673,2304,44534,1944,154,151,44380,1959,35422,2221,8958,1714,18139,2181,8348,712,1107,479,970,445,137,207,7241,697,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,273425,3545,127504,2559,115791,2328,83892,2890,432,218,83460,2939,65568,2974,17892,2230,31899,2404,11713,831,2997,710,2812,776,185,209,8716,949,145921,2564,126060,2496,95733,3245,124,132,95609,3243,81255,3448,14354,1939,30327,2456,19861,694,4078,928,3581,878,497,311,15783,1100,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,143302,1769,65490,1150,58680,1111,37820,1976,159,171,37661,1973,32277,2032,5384,1183,20860,1884,6810,117,1311,487,1266,481,45,77,5499,482,77812,1390,68519,1289,49417,2022,79,203,49338,1989,42497,1925,6841,1461,19102,2015,9293,392,1294,420,1216,423,78,95,7999,592,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,251224,2481,111231,1449,95499,1401,64200,2521,357,194,63843,2536,47006,2659,16837,2255,31299,2400,15732,227,2403,589,2032,526,371,256,13329,624,139993,1497,112782,1225,75683,2623,51,83,75632,2619,60715,2836,14917,2118,37099,2552,27211,564,3550,868,3440,862,110,132,23661,1040,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2245199,12330,1054715,6731,950490,6949,632368,8974,6148,1635,626220,8840,483663,8921,142557,7811,318122,8715,104225,2057,19069,2280,16918,2075,2151,793,85156,2915,1190484,8473,1041766,7261,741726,8843,2210,972,739516,9061,610653,9437,128863,5920,300040,8002,148718,2641,18610,1702,16388,1614,2222,693,130108,3003,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
