GEO_ID,B24011_001E,B24011_001M,B24011_002E,B24011_002M,B24011_003E,B24011_003M,B24011_004E,B24011_004M,B24011_005E,B24011_005M,B24011_006E,B24011_006M,B24011_007E,B24011_007M,B24011_008E,B24011_008M,B24011_009E,B24011_009M,B24011_010E,B24011_010M,B24011_011E,B24011_011M,B24011_012E,B24011_012M,B24011_013E,B24011_013M,B24011_014E,B24011_014M,B24011_015E,B24011_015M,B24011_016E,B24011_016M,B24011_017E,B24011_017M,B24011_018E,B24011_018M,B24011_019E,B24011_019M,B24011_020E,B24011_020M,B24011_021E,B24011_021M,B24011_022E,B24011_022M,B24011_023E,B24011_023M,B24011_024E,B24011_024M,B24011_025E,B24011_025M,B24011_026E,B24011_026M,B24011_027E,B24011_027M,B24011_028E,B24011_028M,B24011_029E,B24011_029M,B24011_030E,B24011_030M,B24011_031E,B24011_031M,B24011_032E,B24011_032M,B24011_033E,B24011_033M,B24011_034E,B24011_034M,B24011_035E,B24011_035M,B24011_036E,B24011_036M,NAME,B24011_001EA,B24011_001MA,B24011_002EA,B24011_002MA,B24011_003EA,B24011_003MA,B24011_004EA,B24011_004MA,B24011_005MA,B24011_005EA,B24011_006MA,B24011_006EA,B24011_007MA,B24011_007EA,B24011_008MA,B24011_008EA,B24011_009EA,B24011_009MA,B24011_010MA,B24011_010EA,B24011_011EA,B24011_011MA,B24011_012EA,B24011_012MA,B24011_013EA,B24011_013MA,B24011_014EA,B24011_014MA,B24011_015MA,B24011_015EA,B24011_016MA,B24011_016EA,B24011_017EA,B24011_017MA,B24011_018EA,B24011_018MA,B24011_019EA,B24011_019MA,B24011_020EA,B24011_020MA,B24011_021MA,B24011_021EA,B24011_022MA,B24011_022EA,B24011_023EA,B24011_023MA,B24011_024EA,B24011_024MA,B24011_025MA,B24011_025EA,B24011_026MA,B24011_026EA,B24011_027MA,B24011_027EA,B24011_028MA,B24011_028EA,B24011_029EA,B24011_029MA,B24011_030MA,B24011_030EA,B24011_031MA,B24011_031EA,B24011_032MA,B24011_032EA,B24011_033EA,B24011_033MA,B24011_034MA,B24011_034EA,B24011_035EA,B24011_035MA,B24011_036MA,B24011_036EA,state
0400000US01,28849,569,46667,669,51915,681,53561,2972,50449,842,62459,2482,60570,4314,69056,5538,51417,5217,39403,1166,37697,2190,51685,8125,40361,704,29081,3323,42077,1007,51518,1100,30838,847,14975,420,18781,1229,35175,3035,24681,5508,40791,2265,10896,348,15787,841,13137,1089,24243,633,21685,750,25330,458,30351,637,21059,2667,26385,912,36560,1194,26706,554,27756,1179,29544,2132,20484,1064,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,38658,1714,55776,1739,63419,3849,65408,4403,60114,7770,70830,3034,66821,6225,81510,5057,58807,16734,40205,6029,36384,4892,69946,12627,39601,8581,30398,15503,61359,2815,76382,9553,40537,8795,21798,995,27361,6417,51436,3753,40372,6485,61013,3912,20102,2143,18040,3924,18035,2236,30876,1080,24905,4607,32742,2487,51077,1404,51336,9540,50300,6035,53638,5294,27211,4552,26226,3436,40832,3057,19936,3437,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,31191,221,49584,1051,53218,2093,60052,3722,46887,1537,65028,2755,61951,1863,71809,2381,51476,2830,36431,499,36884,1152,60927,5516,35732,685,31163,1958,54384,3062,63805,3294,33349,4531,17774,535,23169,1084,42389,2357,34391,2962,50347,2204,12393,559,16822,658,15457,1065,26605,410,25451,900,27159,474,31381,600,22367,2206,30719,660,36412,1248,25851,666,27649,1964,28936,2003,16512,961,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,26445,297,41258,530,45030,2801,46240,2444,41996,2561,53162,2230,52013,2515,56476,5603,50558,9814,35464,1351,32368,3008,41471,12933,36237,1120,30780,2256,43609,3164,53834,4075,30544,1239,14179,639,18098,1396,32295,3520,26465,5596,35962,2503,10943,522,13702,1441,13055,1448,22797,766,20631,1241,24214,940,28522,1862,20927,1020,26702,1299,35049,1846,25748,555,25196,1009,31399,1284,21730,917,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,33016,357,60491,192,62287,322,68905,1824,55838,793,76367,717,78063,1963,81024,583,60730,1559,44603,1011,43093,1599,83498,5024,40890,737,40320,965,64089,2413,77655,2196,40221,988,18045,260,24174,773,54494,2889,30686,859,76457,1342,15204,307,17384,318,14614,356,29579,475,26475,436,30689,226,28945,873,15354,512,30944,338,39219,1227,25932,295,26089,304,31617,466,19499,758,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,33577,628,51727,434,59657,1972,61891,958,52172,775,68364,2471,71881,2445,71919,2824,47328,5556,35895,750,33669,3478,64796,5321,32860,1903,31578,1409,52975,3002,60522,1329,36556,2119,16487,525,22442,960,44089,3686,30183,4730,54796,2623,12606,949,16125,765,14621,1179,28378,895,29084,2104,28135,935,33000,2440,23497,3513,31441,945,40876,1063,29011,1656,30169,1273,34852,3661,20917,1568,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,40588,368,62156,569,74175,2861,79041,3095,66214,2039,71818,1068,75472,4043,71892,2022,60546,4377,45639,1321,45899,4340,81142,15406,42700,2516,40812,2652,61494,1488,71276,1916,42117,2620,20721,527,26271,897,50915,2611,30587,3449,69944,6142,14349,1485,21596,873,17434,1400,32159,604,30959,973,33224,1288,42751,2655,18187,8949,40674,1034,50500,1326,31627,782,36016,1916,29411,3817,22621,1641,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,35232,688,53710,2746,57933,2781,63143,5731,51298,1738,68652,5366,70898,6235,73354,7009,60329,7289,41491,1171,38132,3437,70634,13586,40707,2551,41621,6773,54838,4539,65244,5704,41398,4203,16758,1042,24323,4142,33277,4549,18459,2893,42443,8267,11027,1366,17963,1361,12962,3292,30007,1480,26574,2741,30874,1077,36619,2752,21267,1182,35419,6334,40766,3931,29939,3146,29905,5329,31183,1377,26118,1942,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,47210,1239,67018,2008,73930,5673,79858,7097,64869,4568,74375,7666,77145,9812,81872,8378,70348,9392,57875,5105,35855,3378,110348,17966,49208,5847,61274,6320,60540,18472,71929,7988,32318,4687,22181,1760,24661,6360,37185,8224,30357,3717,57142,15644,21539,3048,20746,2407,10784,3468,34126,3177,32313,6802,34563,2764,32008,7333,24506,2135,30682,12442,40697,19134,32996,4041,27388,18848,32911,3702,35068,16427,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,28802,304,46139,328,51172,336,53299,1490,46179,757,57309,1408,60453,1492,59705,2184,42804,3287,37117,410,35463,925,56512,3345,36596,570,30930,699,50176,815,59575,1725,32252,963,17421,257,22029,431,35926,1036,25687,1237,45568,1562,14009,572,16545,349,16224,403,25614,226,24118,634,26129,279,27088,483,12970,1908,25474,596,34161,2045,25022,498,25973,517,28093,1381,16826,580,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
