C08011_033M,GEO_ID,C08011_001E,C08011_001M,C08011_002E,C08011_002M,C08011_003E,C08011_003M,C08011_004E,C08011_004M,C08011_005E,C08011_005M,C08011_006E,C08011_006M,C08011_007E,C08011_007M,C08011_008E,C08011_008M,C08011_009E,C08011_009M,C08011_010E,C08011_010M,C08011_011E,C08011_011M,C08011_012E,C08011_012M,C08011_013E,C08011_013M,C08011_014E,C08011_014M,C08011_015E,C08011_015M,C08011_016E,C08011_016M,C08011_017E,C08011_017M,C08011_018E,C08011_018M,C08011_019E,C08011_019M,C08011_020E,C08011_020M,C08011_021E,C08011_021M,C08011_022E,C08011_022M,C08011_023E,C08011_023M,C08011_024E,C08011_024M,C08011_025E,C08011_025M,C08011_026E,C08011_026M,C08011_027E,C08011_027M,C08011_028E,C08011_028M,C08011_029E,C08011_029M,C08011_030E,C08011_030M,C08011_031E,C08011_031M,C08011_032E,C08011_032M,C08011_033E,C08011_033MA,NAME,C08011_001MA,C08011_001EA,C08011_002MA,C08011_002EA,C08011_003EA,C08011_003MA,C08011_004EA,C08011_004MA,C08011_005EA,C08011_005MA,C08011_006EA,C08011_006MA,C08011_007MA,C08011_007EA,C08011_008MA,C08011_008EA,C08011_009EA,C08011_009MA,C08011_010EA,C08011_010MA,C08011_011EA,C08011_011MA,C08011_012MA,C08011_012EA,C08011_013MA,C08011_013EA,C08011_014EA,C08011_014MA,C08011_015EA,C08011_015MA,C08011_016EA,C08011_016MA,C08011_017MA,C08011_017EA,C08011_018MA,C08011_018EA,C08011_019EA,C08011_019MA,C08011_020EA,C08011_020MA,C08011_021EA,C08011_021MA,C08011_022EA,C08011_022MA,C08011_023MA,C08011_023EA,C08011_024MA,C08011_024EA,C08011_025EA,C08011_025MA,C08011_026EA,C08011_026MA,C08011_027EA,C08011_027MA,C08011_028MA,C08011_028EA,C08011_029MA,C08011_029EA,C08011_030EA,C08011_030MA,C08011_031MA,C08011_031EA,C08011_032MA,C08011_032EA,C08011_033EA,state
7579,0400000US01,1895987,17044,100843,5360,92763,5875,112569,6400,197468,6590,223008,8313,318381,8886,243104,7668,146344,7141,62458,3704,399049,10850,997638,10780,71144,4821,69844,4669,76763,5413,129139,5347,121628,5510,147509,6390,99893,5348,66544,4376,25415,2193,189759,6931,898349,11958,29699,2778,22919,2696,35806,2233,68329,4088,101380,5636,170872,5832,143211,5232,79800,5054,37043,2728,209290,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
2818,0400000US02,324619,6085,12147,1954,8683,1406,16299,2170,25943,2873,35667,3221,41106,3512,52679,3840,29152,2681,23455,2574,79488,4564,181871,3996,9548,1670,6331,1205,10880,1985,19312,2258,22619,2557,22948,2607,25087,2575,14020,1743,9978,1528,41148,3367,142748,4184,2599,834,2352,801,5419,1067,6631,1223,13048,2020,18158,2065,27592,2407,15132,2009,13477,1899,38340,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
10011,0400000US04,2470950,19955,146829,7631,133252,6773,136521,6852,250289,11041,234739,9120,345270,10922,279785,9991,225279,9602,111306,6151,607680,14596,1318800,12854,106748,6752,96397,5465,87819,5695,151769,8317,118346,6142,170098,7841,123410,5557,108987,7270,49876,4419,305350,9515,1152150,13139,40081,3794,36855,4007,48702,4120,98520,6014,116393,5720,175172,7125,156375,7567,116292,5277,61430,4253,302330,null,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
5606,0400000US05,1189709,11171,56871,3572,45200,3500,59445,4760,112682,5590,136820,5887,203895,6394,180280,7152,97453,5661,39778,3141,257285,8502,619791,7451,37625,2893,32599,2996,39939,3804,73763,4907,76443,4775,95872,4648,73452,4048,47856,3849,17154,1841,125088,6493,569918,8985,19246,2621,12601,1828,19506,2443,38919,2808,60377,3868,108023,4760,106828,5412,49597,3607,22624,2656,132197,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
24025,0400000US06,15097170,46113,769068,16168,618840,14035,682874,14464,1284573,20696,1317404,18621,2098310,22546,1735696,23047,1808965,24842,881669,15417,3899771,37019,8245554,30271,560970,13868,452747,11596,465330,11589,835740,15876,735909,12443,1099827,16879,801457,15743,895338,18716,400575,10407,1997661,25089,6851616,33170,208098,6963,166093,7893,217544,7712,448833,11827,581495,14023,998483,15785,934239,15059,913627,12934,481094,12122,1902110,null,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
7962,0400000US08,2272970,17063,81364,5187,74207,4643,113979,5539,200436,7813,231689,7632,347605,9388,309070,8685,245374,8804,129676,5876,539570,12210,1222491,12159,53857,4040,50384,3723,76643,4687,130137,6605,131914,5855,181632,7780,145333,6249,126508,6195,56739,3896,269344,8274,1050479,11686,27507,2552,23823,2128,37336,2792,70299,4834,99775,5066,165973,6578,163737,6473,118866,5751,72937,4254,270226,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
7323,0400000US09,1640403,11172,39043,3684,39784,2991,62072,3902,134744,6214,178186,5908,240584,7758,225488,7571,209315,6657,116280,5115,394907,9856,847688,8362,26102,2932,28328,2656,42979,3755,86907,4659,98821,4378,130993,5916,102086,5580,95729,4057,45722,3373,190021,6535,792715,8188,12941,2109,11456,1748,19093,2305,47837,3122,79365,4021,109591,4351,123402,4611,113586,5213,70558,3723,204886,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
2685,0400000US10,389282,6832,14458,2077,10934,1808,21276,2503,33122,3055,44766,3672,62582,3578,55523,3877,40316,3452,22989,2613,83316,4342,193442,4369,10143,1605,8208,1517,13388,2099,22252,2623,26065,2617,27596,2476,22658,2120,16575,1843,9182,1675,37375,3288,195840,5125,4315,1344,2726,845,7888,1586,10870,1452,18701,2197,34986,2970,32865,2824,23741,2835,13807,1910,45941,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
2653,0400000US11,281847,5288,5415,1268,4098,918,9145,2054,17967,2263,16654,2353,34854,3574,36879,2984,57249,4177,37141,2989,62445,4196,137267,3121,4110,1089,2497,725,5987,1693,9926,1697,8865,1557,16858,2305,15753,1970,27148,3001,15449,2218,30674,2819,144580,4064,1305,580,1601,543,3158,979,8041,1501,7789,1548,17996,2291,21126,2171,30101,2569,21692,1990,31771,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
16485,0400000US12,7503144,30563,253157,8860,215415,8355,278340,8523,629087,14042,705067,17471,1139600,19319,923616,17248,996033,18805,448881,11288,1913948,21203,3873362,22724,166503,7064,146952,6729,180695,7193,392393,12165,380371,10393,577298,14618,416950,11711,482210,11505,205690,8240,924300,16582,3629782,22607,86654,5928,68463,4465,97645,5738,236694,8197,324696,12382,562302,14516,506666,11945,513823,13738,243191,7844,989648,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
