GEO_ID,C15002D_001E,C15002D_001M,C15002D_002E,C15002D_002M,C15002D_003E,C15002D_003M,C15002D_004E,C15002D_004M,C15002D_005E,C15002D_005M,C15002D_006E,C15002D_006M,C15002D_007E,C15002D_007M,C15002D_008E,C15002D_008M,C15002D_009E,C15002D_009M,C15002D_010E,C15002D_010M,C15002D_011E,C15002D_011M,NAME,C15002D_001EA,C15002D_001MA,C15002D_002MA,C15002D_002EA,C15002D_003MA,C15002D_003EA,C15002D_004MA,C15002D_004EA,C15002D_005MA,C15002D_005EA,C15002D_006EA,C15002D_006MA,C15002D_007MA,C15002D_007EA,C15002D_008EA,C15002D_008MA,C15002D_009EA,C15002D_009MA,C15002D_010MA,C15002D_010EA,C15002D_011MA,C15002D_011EA,state
0400000US01,33959,1935,15231,1200,2016,830,2593,732,3167,871,7455,1166,18728,1293,3020,733,3133,885,3442,1010,9133,1155,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,25224,2062,11542,1270,2092,754,3195,972,3769,887,2486,828,13682,1063,2816,647,3459,779,3998,719,3409,917,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,120526,2768,54057,1907,5622,1437,7962,2168,10972,1515,29501,2730,66469,1755,9079,1532,12648,1914,14706,2241,30036,2497,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,20615,1599,8758,837,1880,831,1452,535,1350,631,4076,1094,11857,1151,3099,939,1702,640,2803,860,4253,1095,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,3408252,9767,1554344,5633,184416,7467,222643,8055,374754,9350,772531,10663,1853908,6867,300972,9298,280621,7348,404394,10709,867921,12931,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,89588,2625,39429,1884,5087,1113,5624,1019,9716,1632,19002,1896,50159,1667,7504,1240,10814,1508,11278,1441,20563,2078,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,88158,1523,42046,1150,5180,1315,6792,1437,4851,1247,25223,2132,46112,953,6964,1517,6955,1319,7498,1369,24695,1851,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,18684,942,8839,668,584,430,527,282,1020,421,6708,796,9845,520,905,432,1655,601,825,312,6460,726,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,16048,897,7288,601,308,234,559,418,651,411,5770,784,8760,575,594,306,402,368,525,414,7239,629,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,306879,4315,135050,2889,16951,2013,22246,2350,28934,2690,66919,3615,171829,2740,28460,2444,32012,2809,38896,2840,72461,3466,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,204374,3663,95360,2318,9581,1652,18562,2568,15898,1993,51319,2539,109014,2294,18732,2349,24369,2046,16275,1925,49638,2528,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,413534,5775,187260,3386,22671,2349,54127,3161,53188,2905,57274,3335,226274,3733,33845,2866,59268,3800,64390,3476,68771,3228,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,12086,1269,5033,642,604,332,647,447,1028,618,2754,711,7053,1019,817,353,992,474,2113,816,3131,737,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,399475,4237,186913,3366,13141,1746,21204,2428,31286,3157,121282,4698,212562,2228,24238,2160,27064,2893,32258,3145,129002,3732,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,60885,2617,27839,1612,3592,961,4003,1102,3293,910,16951,1567,33046,1944,4168,941,5522,1079,5247,1077,18109,1881,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,29815,1670,14731,1243,2967,799,2574,879,1325,477,7865,1172,15084,1059,2925,673,2968,776,2130,670,7061,1108,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,42874,2096,19862,1216,2963,852,3753,816,3070,657,10076,1259,23012,1557,3463,854,4078,926,3417,820,12054,1545,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,30052,2230,13284,1224,1808,708,1252,643,2077,878,8147,1220,16768,1725,3245,908,2664,842,3181,1014,7678,1223,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,46437,2273,22416,1354,5330,1226,4312,934,3665,837,9109,1436,24021,1438,5824,996,4238,968,5031,1198,8928,1414,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,8147,1205,3020,712,317,243,599,307,996,371,1108,613,5127,843,682,389,1078,462,1205,495,2162,617,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,219870,2881,100539,1979,6912,1312,10239,1826,16352,1868,67036,2914,119331,1431,13565,1812,16057,2250,18101,1711,71608,3443,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,226062,2946,105231,1823,15942,1494,14582,2421,11504,1723,63203,3429,120831,1810,21893,2308,20447,2501,13938,1632,64553,2615,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,145353,2412,68024,1619,6220,1155,6262,1216,10446,1595,45096,2054,77329,1571,12217,1340,9595,1276,13312,1582,42205,2241,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,115324,2725,54106,1542,9442,1459,7383,1285,10454,1485,26827,1705,61218,1896,12857,1360,12024,1935,12536,1594,23801,1911,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,16841,2106,7321,1280,1979,697,1266,582,1162,468,2914,786,9520,1342,1945,825,1862,756,2455,776,3258,841,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
