GEO_ID,C01001A_001E,C01001A_001M,C01001A_002E,C01001A_002M,C01001A_003E,C01001A_003M,C01001A_004E,C01001A_004M,C01001A_005E,C01001A_005M,C01001A_006E,C01001A_006M,C01001A_007E,C01001A_007M,C01001A_008E,C01001A_008M,C01001A_009E,C01001A_009M,NAME,C01001A_001MA,C01001A_001EA,C01001A_002MA,C01001A_002EA,C01001A_003EA,C01001A_003MA,C01001A_004EA,C01001A_004MA,C01001A_005EA,C01001A_005MA,C01001A_006MA,C01001A_006EA,C01001A_007MA,C01001A_007EA,C01001A_008MA,C01001A_008EA,C01001A_009EA,C01001A_009MA,state
0400000US01,3324276,6847,1632612,5012,367497,3274,1035009,3000,230106,765,1691664,4081,348158,2768,1041690,2554,301816,633,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,481446,2499,256403,2111,55587,1173,180172,1766,20644,297,225043,1352,51174,942,153412,860,20457,239,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5095378,24661,2531075,13774,610158,7151,1550942,8094,369975,1679,2564303,13404,583147,6550,1543251,8170,437905,1651,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2289695,6567,1130166,4929,262795,2990,702552,3055,164819,457,1159529,3968,246500,2866,703010,2494,210019,524,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,23322954,69327,11649682,40547,2739100,17835,7523434,27799,1387148,4747,11673272,34047,2621014,15992,7277258,22617,1775000,5079,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4208365,17302,2103940,9337,489153,5557,1389198,5617,225589,1515,2104425,9635,459365,5694,1363786,5260,281274,1465,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2797956,10233,1360038,6035,297854,2983,868536,4617,193648,965,1437918,5323,284437,2703,888676,3479,264805,1094,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,636052,4915,310249,2514,64763,1312,197307,1571,48179,379,325803,2806,61070,1605,203655,1719,61078,537,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,242905,4030,120535,2115,12986,906,96724,1635,10825,237,122370,2275,11775,982,98322,1426,12273,342,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,14411461,32433,7066879,18536,1395540,8598,4361608,13058,1309731,2928,7344582,17092,1317677,7462,4415948,10953,1610957,3442,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,5895315,17303,2916178,11240,689611,6354,1883857,7457,342710,1193,2979137,9445,654466,5879,1878456,5033,446215,1375,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,335563,4302,181320,2925,23990,1631,132447,1816,24883,481,154243,2457,22097,1458,107587,1414,24559,352,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1449223,5879,727641,3682,198289,2337,441505,1965,87847,646,721582,3549,185207,2207,433502,2424,102873,715,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,9305662,28467,4588402,15322,1048242,7558,2970281,9373,569879,1682,4717260,15225,994664,7726,2947694,8747,774902,1698,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,5522578,9035,2722402,5730,659478,3420,1729197,4023,333727,870,2800176,5607,621063,3567,1732356,2948,446757,815,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,2791596,6364,1374296,3854,321286,2482,863386,2243,189624,427,1417300,3744,306461,2417,856284,2307,254555,599,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,2436845,7539,1205303,5051,297687,3674,755632,2934,151984,854,1231542,4499,282289,3256,749221,2312,200032,758,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,3837101,6473,1885334,5135,443497,3210,1207186,3042,234651,703,1951767,3978,416677,2625,1225103,2477,309987,437,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,2855924,5605,1414289,3764,316880,2681,914168,2775,183241,872,1441635,3215,299273,2054,903967,2317,238395,830,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,1265687,1414,618840,941,129034,642,398594,680,91212,200,646847,951,121401,629,408354,641,117092,288,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,3408003,10960,1670459,6461,362484,3129,1085530,4811,222445,1019,1737544,5770,345823,3268,1097833,4072,293888,863,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,5320148,13075,2567215,7448,545838,3774,1676912,5762,344465,923,2752933,7578,525306,4092,1745188,4867,482439,1298,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,7834808,10593,3862057,6726,874490,3823,2466695,4028,520872,1004,3972751,6090,829746,3509,2467108,3373,675897,970,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,4573199,6828,2265795,3834,515597,2489,1463054,2349,287144,556,2307404,4102,489522,2830,1447655,2346,370227,770,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,1767532,4916,870267,3670,198230,2570,550121,2424,121916,529,897265,3701,189763,2721,544141,1788,163361,693,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,4983469,6146,2447882,4107,570077,2733,1546169,2604,331636,737,2535587,3718,538279,2124,1564921,2625,432387,971,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
