GEO_ID,B10060_001E,B10060_001M,B10060_002E,B10060_002M,B10060_003E,B10060_003M,B10060_004E,B10060_004M,B10060_005E,B10060_005M,B10060_006E,B10060_006M,B10060_007E,B10060_007M,B10060_008E,B10060_008M,B10060_009E,B10060_009M,B10060_010E,B10060_010M,B10060_011E,B10060_011M,B10060_012E,B10060_012M,B10060_013E,B10060_013M,B10060_014E,B10060_014M,B10060_015E,B10060_015M,B10060_016E,B10060_016M,NAME,B10060_001EA,B10060_001MA,B10060_002EA,B10060_002MA,B10060_003EA,B10060_003MA,B10060_004EA,B10060_004MA,B10060_005MA,B10060_005EA,B10060_006EA,B10060_006MA,B10060_007EA,B10060_007MA,B10060_008EA,B10060_008MA,B10060_009MA,B10060_009EA,B10060_010EA,B10060_010MA,B10060_011MA,B10060_011EA,B10060_012EA,B10060_012MA,B10060_013EA,B10060_013MA,B10060_014MA,B10060_014EA,B10060_015EA,B10060_015MA,B10060_016MA,B10060_016EA,state
0400000US01,123935,7326,91186,5762,49047,4390,30823,3853,18224,1958,42139,3780,8256,2018,4800,1469,3899,1512,901,543,3456,1118,24493,3553,14557,2767,10302,2245,4255,1279,9936,2248,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,14025,2038,11024,1820,4210,841,2437,677,1773,484,6814,1592,1757,787,373,294,373,294,0,246,1384,714,1244,636,427,334,321,296,106,162,817,495,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,158383,7778,130847,7384,53313,4798,35864,3871,17449,2814,77534,5656,9652,2331,4255,1701,3464,1569,791,473,5397,1336,17884,2997,9549,1869,5662,1725,3887,1241,8335,2443,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,71629,5050,56892,4529,32564,3369,22562,2949,10002,1769,24328,3403,3346,1198,1639,761,1309,658,330,295,1707,879,11391,2311,6147,1469,3940,1087,2207,763,5244,1452,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1110331,21555,905726,19336,240788,10108,141886,8669,98902,6259,664938,15910,174627,8034,50793,4253,35447,3525,15346,2390,123834,7082,29978,3682,9070,1784,5830,1578,3240,837,20908,3103,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,88655,6045,75019,5643,30155,3497,18749,2593,11406,2245,44864,4374,9148,2015,3818,1249,3126,1150,692,363,5330,1646,4488,1358,1512,620,809,464,703,364,2976,1035,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,72372,5579,48521,4615,14853,2436,9434,1944,5419,1327,33668,3589,23496,3673,7888,1738,5045,1372,2843,897,15608,3390,355,488,355,488,304,484,51,84,0,281,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,18454,2599,15830,2449,6367,1571,3875,1217,2492,773,9463,1713,578,422,286,340,237,326,49,83,292,265,2046,752,1181,584,712,462,469,365,865,500,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,10495,1984,7292,1704,3015,784,1755,575,1260,526,4277,1350,3158,1017,1677,643,994,447,683,444,1481,667,45,76,0,292,0,292,0,292,45,76,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,469239,13860,376231,12462,132422,6697,81402,5198,51020,4463,243809,11265,56068,5046,20048,3191,15187,2634,4861,1580,36020,4208,36940,4021,18717,3192,11876,2486,6841,1713,18223,3241,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
