GEO_ID,B18101B_001E,B18101B_001M,B18101B_002E,B18101B_002M,B18101B_003E,B18101B_003M,B18101B_004E,B18101B_004M,B18101B_005E,B18101B_005M,B18101B_006E,B18101B_006M,B18101B_007E,B18101B_007M,B18101B_008E,B18101B_008M,B18101B_009E,B18101B_009M,B18101B_010E,B18101B_010M,NAME,B18101B_001EA,B18101B_001MA,B18101B_002EA,B18101B_002MA,B18101B_003EA,B18101B_003MA,B18101B_004EA,B18101B_004MA,B18101B_005EA,B18101B_005MA,B18101B_006EA,B18101B_006MA,B18101B_007EA,B18101B_007MA,B18101B_008MA,B18101B_008EA,B18101B_009EA,B18101B_009MA,B18101B_010MA,B18101B_010EA,state
0400000US01,1230424,5653,348460,3266,20874,2970,327586,4164,770674,4621,132948,5804,637726,7199,111290,2168,57580,2734,53710,2626,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,22744,1729,7000,1232,696,589,6304,960,14565,1064,1845,684,12720,1086,1179,413,478,341,701,327,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,255000,5585,78892,4247,2999,1296,75893,4169,159223,3177,18517,2680,140706,3671,16885,808,7766,1198,9119,1160,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,451341,4234,139699,2324,7625,1411,132074,2539,274419,3509,45785,3785,228634,4523,37223,1384,21399,1753,15824,1746,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,2149314,14133,550855,10044,22965,2768,527890,10076,1382612,8712,178193,7138,1204419,11020,215847,2341,90810,3534,125037,3289,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,184423,4881,54040,3604,1441,659,52599,3501,116478,2959,13975,2179,102503,3179,13905,1113,5273,1015,8632,1272,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,346300,5474,96098,3487,4071,1036,92027,3593,220342,3125,23275,2407,197067,3573,29860,1100,11822,1368,18038,1553,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,186612,2689,54973,2031,2558,951,52415,2195,116234,1339,13949,2097,102285,2427,15405,454,5435,1008,9970,1003,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,302446,2696,66780,889,5219,1552,61561,1733,194665,2106,29117,2675,165548,3259,41001,860,16328,1408,24673,1336,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2893523,15792,853801,8515,33712,3410,820089,8827,1795442,10604,194492,8510,1600950,11201,244280,4073,100238,4674,144042,5441,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2889830,11053,857175,6508,33813,3101,823362,6746,1829350,7722,218813,7708,1610537,10328,203305,3369,88485,3916,114820,3796,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,15880,1710,4186,805,128,208,4058,725,10579,1380,381,287,10198,1355,1115,479,157,143,958,472,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,8600,1648,3040,1096,236,242,2804,1029,5316,1052,570,436,4746,1129,244,343,0,267,244,343,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,1811015,10638,528384,6183,23924,2507,504460,6435,1108690,7101,147381,7038,961309,10000,173941,1962,72876,3513,101065,3255,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,567101,7762,174802,5439,10649,2258,164153,5698,346194,4031,50683,3928,295511,5881,46105,1685,18966,1644,27139,1870,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,91614,4327,33926,3213,1524,897,32402,3201,53637,2606,7969,1439,45668,2610,4051,848,1600,643,2451,742,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,156886,4200,47329,2969,2088,733,45241,2978,95486,2375,14503,1538,80983,2545,14071,1223,6578,955,7493,1169,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,317222,6378,91961,4133,7584,1588,84377,3920,199316,3744,35546,3173,163770,4387,25945,1454,12861,1208,13084,1362,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1405404,7083,423255,5093,25150,3108,398105,5216,863110,5980,137211,6337,725899,8023,119039,1993,60406,3166,58633,2998,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,14596,1666,6339,1073,392,318,5947,1066,7896,1029,1178,792,6718,848,361,282,105,133,256,240,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,1661162,7986,439631,5399,19640,2390,419991,5821,1076396,4575,104109,5420,972287,7517,145135,2271,54496,3178,90639,3075,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,433348,6806,122080,3642,5430,1423,116650,3783,278107,4394,32288,2889,245819,4886,33161,1277,13203,1494,19958,1679,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
