GEO_ID,C27014_001E,C27014_001M,C27014_002E,C27014_002M,C27014_003E,C27014_003M,C27014_004E,C27014_004M,C27014_005E,C27014_005M,C27014_006E,C27014_006M,C27014_007E,C27014_007M,C27014_008E,C27014_008M,C27014_009E,C27014_009M,C27014_010E,C27014_010M,C27014_011E,C27014_011M,C27014_012E,C27014_012M,C27014_013E,C27014_013M,C27014_014E,C27014_014M,C27014_015E,C27014_015M,C27014_016E,C27014_016M,C27014_017E,C27014_017M,C27014_018E,C27014_018M,C27014_019E,C27014_019M,C27014_020E,C27014_020M,C27014_021E,C27014_021M,C27014_022E,C27014_022M,NAME,C27014_001EA,C27014_001MA,C27014_002EA,C27014_002MA,C27014_003EA,C27014_003MA,C27014_004EA,C27014_004MA,C27014_005MA,C27014_005EA,C27014_006MA,C27014_006EA,C27014_007MA,C27014_007EA,C27014_008MA,C27014_008EA,C27014_009EA,C27014_009MA,C27014_010EA,C27014_010MA,C27014_011MA,C27014_011EA,C27014_012MA,C27014_012EA,C27014_013MA,C27014_013EA,C27014_014MA,C27014_014EA,C27014_015EA,C27014_015MA,C27014_016EA,C27014_016MA,C27014_017MA,C27014_017EA,C27014_018MA,C27014_018EA,C27014_019MA,C27014_019EA,C27014_020EA,C27014_020MA,C27014_021MA,C27014_021EA,C27014_022EA,C27014_022MA,state
0400000US01,3569131,2998,1392166,14404,1349031,13409,50298,4037,1298733,13910,43135,2972,38794,2778,4341,896,842163,13986,782223,13527,74008,5144,708215,13408,59940,3073,58242,2838,1698,730,1334802,15293,800282,13799,312758,10993,487524,10716,534520,4559,530171,4610,4349,1189,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,501265,1968,212727,6203,207237,5931,13143,1849,194094,5946,5490,1127,4409,1007,1081,554,174445,5034,165073,4951,18995,1752,146078,5062,9372,1241,8553,1169,819,425,114093,4102,77125,3799,23518,2628,53607,3187,36968,1592,36013,1613,955,514,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,4680243,2323,1820532,19801,1768757,19334,116819,7131,1651938,19401,51775,3601,43805,3412,7970,1516,1164350,16174,1069574,16511,210794,8001,858780,14850,94776,4231,92083,4129,2693,948,1695361,18190,966352,16970,382425,11532,583927,13514,729009,6233,713120,6214,15889,2657,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2158237,3062,870498,11861,843695,11868,37897,2774,805798,11604,26803,2541,24725,2335,2078,721,520074,12293,471237,11926,50910,3842,420327,11351,48837,2867,48038,2872,799,417,767665,10663,438501,9821,187842,6428,250659,9199,329164,4864,326990,4963,2174,765,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,27526878,5929,10770580,43939,10448689,45612,472167,13293,9976522,44550,321891,7934,246269,6775,75622,4324,7405105,39423,6939324,37618,853980,15494,6085344,36933,465781,9151,433889,9024,31892,3430,9351193,42521,5961894,42575,1819906,28266,4141988,36104,3389299,13487,3281882,13428,107417,5916,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3730665,3105,1654678,15385,1609699,15105,55805,4162,1553894,15713,44979,3017,37729,2787,7250,1317,1085280,14189,1008897,13739,104544,4627,904353,13236,76383,3651,74111,3492,2272,917,990707,13370,575934,12076,163387,8143,412547,10066,414773,4997,407983,4880,6790,1327,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2704903,1035,1161537,12173,1119811,12017,52832,4070,1066979,11692,41726,2667,31884,2153,9842,1656,756156,13082,688554,12733,100035,6333,588519,10450,67602,3358,65153,3393,2449,843,787210,9097,411713,9046,143085,6401,268628,8583,375497,4129,368480,4512,7017,1261,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,679186,1049,288394,6908,279073,6906,18445,2658,260628,6876,9321,1402,7143,1050,2178,1000,168574,5369,153702,5176,28342,2902,125360,5045,14872,1415,14774,1411,98,122,222218,5860,120994,5758,50386,4386,70608,4713,101224,2063,100682,2089,542,263,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,493292,614,226540,4901,219031,4651,17585,2635,201446,4353,7509,1203,5279,944,2230,642,113959,5005,104646,4872,24592,3353,80054,4535,9313,1350,8727,1309,586,331,152793,5529,102498,5409,50137,4116,52361,3383,50295,1497,47577,1475,2718,1018,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,14543834,6379,5519810,29987,5314733,29536,204187,8404,5110546,29381,205077,6345,171017,6198,34060,3167,3404056,31513,3063272,28722,313878,9616,2749394,27916,340784,9522,327755,9269,13029,1783,5619968,28213,2957274,26011,890518,17920,2066756,23495,2662694,11035,2593780,11529,68914,5316,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
