GEO_ID,C17001A_001E,C17001A_001M,C17001A_002E,C17001A_002M,C17001A_003E,C17001A_003M,C17001A_004E,C17001A_004M,C17001A_005E,C17001A_005M,C17001A_006E,C17001A_006M,C17001A_007E,C17001A_007M,C17001A_008E,C17001A_008M,C17001A_009E,C17001A_009M,C17001A_010E,C17001A_010M,C17001A_011E,C17001A_011M,C17001A_012E,C17001A_012M,C17001A_013E,C17001A_013M,C17001A_014E,C17001A_014M,C17001A_015E,C17001A_015M,C17001A_016E,C17001A_016M,C17001A_017E,C17001A_017M,C17001A_018E,C17001A_018M,C17001A_019E,C17001A_019M,NAME,C17001A_001EA,C17001A_001MA,C17001A_002MA,C17001A_002EA,C17001A_003EA,C17001A_003MA,C17001A_004MA,C17001A_004EA,C17001A_005EA,C17001A_005MA,C17001A_006EA,C17001A_006MA,C17001A_007EA,C17001A_007MA,C17001A_008MA,C17001A_008EA,C17001A_009MA,C17001A_009EA,C17001A_010EA,C17001A_010MA,C17001A_011EA,C17001A_011MA,C17001A_012EA,C17001A_012MA,C17001A_013MA,C17001A_013EA,C17001A_014MA,C17001A_014EA,C17001A_015EA,C17001A_015MA,C17001A_016MA,C17001A_016EA,C17001A_017EA,C17001A_017MA,C17001A_018EA,C17001A_018MA,C17001A_019MA,C17001A_019EA,state
0400000US01,3259636,8234,451050,17906,202048,9329,68087,5354,122110,5850,11851,1609,249002,11402,64049,5617,155934,7181,29019,2588,2808586,18612,1400500,9950,294836,5627,892032,6852,213632,2122,1408086,11444,279768,5580,866765,8402,261553,2575,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,471648,2756,32157,4253,14859,1989,4482,1234,9525,1330,852,569,17298,3070,4279,1243,11817,2166,1202,574,439491,5541,234531,3467,50246,1999,164947,2273,19338,649,204960,3444,46031,1662,140529,2285,18400,591,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,4995980,24595,773330,27539,359421,15682,134984,9071,205797,8157,18640,2198,413909,15824,129732,8411,250907,10038,33270,3075,4222650,32795,2105687,17542,466603,9865,1290788,10556,348296,2323,2116963,18109,444331,8815,1275382,11453,397250,3769,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2229836,7460,338668,13786,150214,7210,54858,4707,85392,4419,9964,1417,188454,8680,52513,4521,113705,5888,22236,1902,1891168,14621,950770,9219,203383,5042,595574,6074,151813,1693,940398,9429,190109,4716,572973,6837,177316,2446,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,22881667,67621,3198975,52083,1495803,30993,535587,16540,872338,18368,87878,4457,1703172,27588,517467,15509,1024482,17222,161223,6988,19682692,75367,9874176,46917,2159474,20568,6438003,30699,1276699,6388,9808516,36671,2067308,18608,6174925,26391,1566283,8380,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4123278,16864,479526,19771,228653,11084,71510,6154,143186,7616,13957,1792,250873,11689,62881,5516,165196,7704,22796,2087,3643752,21311,1824544,12525,412599,6663,1205362,8604,206583,2231,1819208,12556,391807,6192,1178099,8180,249302,2259,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2721763,10885,196593,11747,87252,6260,24583,3204,55313,4441,7356,1262,109341,7506,22377,2866,69384,5192,17580,1978,2525170,15425,1236903,8810,271135,4000,784867,6503,180901,1518,1288267,8899,258924,3495,797575,6087,231768,2532,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,621871,4998,56268,6056,25939,3680,8707,1868,14675,2304,2557,919,30329,3353,6766,1740,18926,2192,4637,1007,565603,6738,277105,4115,54733,2036,177708,2961,44664,930,288498,3701,53599,1721,180855,2476,54044,1189,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,224091,4390,20769,2823,8321,2223,1093,762,6865,2001,363,228,12448,1884,488,524,11258,1748,702,352,203322,4268,101879,3012,11726,767,79999,2724,10154,397,101443,2272,11287,981,78742,1739,11414,443,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,14156654,33831,1937858,31775,893082,17494,253228,10823,551505,13589,88349,4277,1044776,19877,239459,10390,643831,13915,161486,6398,12218796,39230,6019601,20849,1120990,12934,3694815,14777,1203796,5760,6199195,22837,1059545,10240,3727483,16242,1412167,7062,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
