GEO_ID,B12504_001E,B12504_001M,B12504_002E,B12504_002M,B12504_003E,B12504_003M,B12504_004E,B12504_004M,B12504_005E,B12504_005M,B12504_006E,B12504_006M,B12504_007E,B12504_007M,B12504_008E,B12504_008M,B12504_009E,B12504_009M,NAME,B12504_001MA,B12504_001EA,B12504_002MA,B12504_002EA,B12504_003EA,B12504_003MA,B12504_004EA,B12504_004MA,B12504_005MA,B12504_005EA,B12504_006EA,B12504_006MA,B12504_007EA,B12504_007MA,B12504_008MA,B12504_008EA,B12504_009EA,B12504_009MA,state
0400000US01,19.0,0.3,19.2,0.4,20.0,0.4,10.6,1.8,13.7,1.8,18.8,0.4,19.9,0.4,10.2,1.8,11.5,0.7,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,15.5,0.6,15.4,0.7,15.6,0.8,14.7,3.7,12.4,3.5,15.6,0.7,15.9,0.9,7.8,1.9,16.2,2.8,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,18.2,0.3,18.3,0.3,18.8,0.4,11.7,1.6,15.4,1.4,18.0,0.3,18.5,0.4,12.0,2.2,14.2,1.1,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,18.5,0.5,18.6,0.4,19.6,0.5,9.5,1.7,11.4,1.5,18.3,0.5,19.6,0.5,7.6,1.4,11.1,1.2,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,17.7,0.2,17.6,0.2,18.2,0.2,11.6,0.6,15.5,0.5,17.8,0.2,18.2,0.2,12.0,0.7,17.3,0.7,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,17.0,0.3,16.9,0.3,17.5,0.4,10.1,1.5,11.9,1.1,17.1,0.4,17.7,0.4,10.4,1.1,11.9,1.2,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,20.3,0.4,20.4,0.3,20.8,0.4,11.7,2.1,15.3,4.6,20.3,0.3,20.7,0.4,12.0,2.7,16.2,1.9,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,19.2,0.9,19.2,1.0,19.7,1.1,13.7,4.0,16.4,4.6,19.1,0.9,19.8,1.0,12.7,8.6,14.4,5.2,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,12.5,1.1,12.2,1.5,11.7,1.9,9.9,2.3,18.8,7.7,12.8,1.1,11.3,1.7,10.3,4.5,21.6,3.1,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,19.7,0.3,19.8,0.2,20.6,0.2,11.6,0.9,14.2,0.6,19.7,0.2,20.6,0.2,11.6,1.3,13.4,0.6,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,16.8,0.3,16.9,0.3,17.6,0.3,10.1,0.9,14.0,1.4,16.7,0.3,17.5,0.3,10.1,1.0,13.5,0.7,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,18.6,0.7,18.8,0.7,19.5,0.5,10.0,1.8,16.7,4.9,18.5,0.7,19.4,0.6,13.1,3.2,13.6,2.2,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,18.1,0.5,17.9,0.5,18.3,0.5,13.5,1.7,12.3,2.6,18.3,0.6,18.8,0.6,14.5,2.5,9.7,1.9,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,19.8,0.3,19.8,0.2,20.2,0.2,13.4,1.7,15.1,1.3,19.7,0.3,20.1,0.3,12.5,1.8,16.1,0.8,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,19.2,0.3,19.1,0.3,19.6,0.3,11.2,1.3,13.1,1.9,19.2,0.3,19.8,0.3,11.8,2.1,12.5,0.7,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,21.3,0.4,21.5,0.5,21.8,0.4,16.9,7.2,12.3,1.2,21.2,0.4,21.6,0.4,18.3,6.8,14.3,1.4,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,20.0,0.4,20.1,0.4,20.7,0.4,13.9,1.7,10.7,0.8,19.8,0.4,20.6,0.4,12.2,1.6,11.9,1.4,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,19.3,0.3,19.5,0.4,20.2,0.4,12.1,1.9,12.8,1.8,19.1,0.4,20.0,0.4,10.1,1.7,11.5,1.3,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,18.6,0.4,18.4,0.4,19.6,0.5,10.1,1.0,11.0,0.8,18.7,0.4,19.8,0.5,9.5,1.5,13.0,1.0,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,21.8,0.6,21.8,0.6,22.3,0.7,16.4,5.6,11.8,2.1,21.8,0.6,22.4,0.6,15.4,6.0,13.4,2.0,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,18.5,0.3,18.5,0.3,19.1,0.3,11.2,1.0,15.3,1.4,18.5,0.3,19.1,0.4,11.0,1.1,14.8,1.0,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
