GEO_ID,C05010_001E,C05010_001M,C05010_002E,C05010_002M,C05010_003E,C05010_003M,C05010_004E,C05010_004M,C05010_005E,C05010_005M,C05010_006E,C05010_006M,C05010_007E,C05010_007M,NAME,C05010_001MA,C05010_001EA,C05010_002MA,C05010_002EA,C05010_003EA,C05010_003MA,C05010_004MA,C05010_004EA,C05010_005MA,C05010_005EA,C05010_006MA,C05010_006EA,C05010_007MA,C05010_007EA,state
0400000US01,1061972,6538,524842,14014,475743,13025,49099,3969,537130,13002,510088,12536,27042,3633,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,179352,1744,55182,4976,47865,4708,7317,2288,124170,5125,110492,4443,13678,2901,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1540577,7707,782918,18506,476913,15825,306005,15245,757659,18618,615209,15709,142450,9456,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,659320,5285,356657,9670,307335,9530,49322,4284,302663,8586,282210,8765,20453,3441,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8846687,18494,4033981,38288,1567071,33868,2466910,34905,4812706,38200,2850700,34565,1962006,26915,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1179063,5746,448022,13161,296000,13368,152022,7847,731041,12900,627069,13992,103972,7415,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,784968,3771,214196,9026,153044,9065,61152,6717,570772,8870,448740,9231,122032,6202,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,195644,2095,71753,6230,57882,5996,13871,3045,123891,5971,107750,5388,16141,2618,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,94296,1968,46817,3971,38911,3600,7906,2147,47479,3771,36813,3519,10666,1921,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3784214,10198,1791790,24675,1169340,23710,622450,18858,1992424,25168,1430938,22958,561486,14930,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2358698,8799,1129615,22883,868952,23008,260663,11136,1229083,20045,1036913,20745,192170,9376,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,281265,3785,85408,7145,59263,5817,26145,4663,195857,7251,139811,7445,56046,5021,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,412625,3487,197634,8136,162416,7550,35218,4157,214991,7912,195754,7962,19237,3111,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,2999454,8366,1204006,21142,806842,18793,397164,13717,1795448,19748,1417284,20037,378164,12376,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,1524549,6108,698579,17137,615939,15973,82640,6277,825970,16495,775348,16370,50622,4740,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,695575,3752,261897,8248,225054,8005,36843,3657,433678,7791,404736,7849,28942,3149,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,693913,3981,288361,10117,231014,8867,57347,5650,405552,10404,365156,8922,40396,4045,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,957762,5454,461517,12859,425983,12440,35534,3421,496245,12429,470580,12481,25665,3503,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1044620,7503,504200,13653,476355,13121,27845,3283,540420,12542,511792,12565,28628,4039,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,261411,1912,105703,5603,98103,5542,7600,1293,155708,5480,146026,5545,9682,1875,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,1284216,5910,369478,14521,268979,12472,100499,8680,914738,14030,705419,14973,209319,9675,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,1364253,4598,388356,11904,253717,9739,134639,8342,975897,12361,758659,12481,217238,9405,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,2227517,6396,992093,18751,870382,16728,121711,9305,1235424,17937,1108405,18208,127019,6448,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,1241714,3938,411161,10879,309127,9157,102034,7462,830553,10716,742672,9912,87881,6044,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,703974,4252,397765,9989,384431,9583,13334,2514,306209,9874,294728,9223,11481,2252,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
