GEO_ID,B18108_001E,B18108_001M,B18108_002E,B18108_002M,B18108_003E,B18108_003M,B18108_004E,B18108_004M,B18108_005E,B18108_005M,B18108_006E,B18108_006M,B18108_007E,B18108_007M,B18108_008E,B18108_008M,B18108_009E,B18108_009M,B18108_010E,B18108_010M,B18108_011E,B18108_011M,B18108_012E,B18108_012M,B18108_013E,B18108_013M,B18108_014E,B18108_014M,B18108_015E,B18108_015M,B18108_016E,B18108_016M,B18108_017E,B18108_017M,B18108_018E,B18108_018M,B18108_019E,B18108_019M,B18108_020E,B18108_020M,B18108_021E,B18108_021M,B18108_022E,B18108_022M,B18108_023E,B18108_023M,B18108_024E,B18108_024M,B18108_025E,B18108_025M,NAME,B18108_001EA,B18108_001MA,B18108_002EA,B18108_002MA,B18108_003EA,B18108_003MA,B18108_004EA,B18108_004MA,B18108_005EA,B18108_005MA,B18108_006EA,B18108_006MA,B18108_007EA,B18108_007MA,B18108_008MA,B18108_008EA,B18108_009EA,B18108_009MA,B18108_010MA,B18108_010EA,B18108_011EA,B18108_011MA,B18108_012MA,B18108_012EA,B18108_013MA,B18108_013EA,B18108_014MA,B18108_014EA,B18108_015EA,B18108_015MA,B18108_016EA,B18108_016MA,B18108_017MA,B18108_017EA,B18108_018EA,B18108_018MA,B18108_019EA,B18108_019MA,B18108_020MA,B18108_020EA,B18108_021EA,B18108_021MA,B18108_022EA,B18108_022MA,B18108_023EA,B18108_023MA,B18108_024EA,B18108_024MA,B18108_025MA,B18108_025EA,state
0400000US01,4702769,1669,308069,3071,2327,983,317,310,305425,3102,825569,3210,40948,4072,13052,2203,771569,5682,1060965,5398,39909,4020,31980,3401,989076,6900,1870571,5948,176076,6283,174827,7006,1519668,11422,365880,2129,59493,2986,61522,3312,244865,4707,271715,2133,50938,3009,109020,3725,111757,3889,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,689249,1872,53582,1218,463,405,221,272,52898,1292,134402,1306,3716,968,1933,788,128753,1810,161419,2374,6827,1382,2930,768,151662,2472,288016,2143,21471,2383,17261,2228,249284,3320,33918,1015,5939,1033,4772,987,23207,1461,17912,951,3800,877,5824,986,8288,976,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6310174,2001,455421,1682,2104,730,964,639,452353,1869,1174510,1774,38180,3483,14109,1840,1122221,4308,1442598,4149,39852,3466,28043,3460,1374703,6492,2362085,4347,160648,7087,135137,6022,2066300,8771,499595,2285,60177,3585,49397,3387,390021,4891,375965,2246,73822,3628,103507,3881,198636,4528,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2867611,1672,194311,2536,1592,697,164,184,192555,2633,515063,2923,29369,3026,8121,1421,477573,4442,641055,5858,26308,3203,20203,2720,594544,6949,1112378,5530,106062,5147,102925,4548,903391,7677,232914,2490,39957,2617,34716,3217,158241,4292,171890,2343,36302,2474,62007,2789,73581,3357,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,36815569,4634,2528746,2468,14595,2683,5645,1375,2508506,3373,6759945,3553,187757,8198,75257,4699,6496931,10399,9023508,8051,226285,9380,148873,7987,8648350,13826,14326399,8364,768731,13870,674423,15526,12883245,21468,2269997,3472,284689,7845,270226,9733,1715082,11890,1906974,6192,330217,7675,653394,12061,923363,11642,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4956873,2211,342277,1540,2019,795,589,473,339669,1827,883931,2335,28179,3145,9865,1839,845887,3910,1176659,3960,37173,3576,18254,2510,1121232,5893,2017871,4048,124128,5252,93254,5180,1800489,8202,308107,1947,41360,2646,27430,2372,239317,3477,228028,2029,44992,2784,71437,3377,111599,3932,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3519913,989,201685,930,757,505,0,281,200928,1073,613325,893,21502,2854,6473,1217,585350,3009,730132,2494,20816,2493,10690,1926,698626,3755,1489946,2913,82618,4604,65216,4513,1342112,6831,255172,1469,31449,2496,22116,2492,201607,3468,229653,1621,43501,2843,62419,3821,123733,3833,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,885232,820,56095,492,584,407,218,363,55293,745,149951,654,6611,1602,1661,748,141679,1916,197508,1460,7009,1609,5378,1258,185121,2381,356261,1569,26921,2356,20820,2673,308520,3610,71899,859,8233,1227,6901,1048,56765,1496,53518,751,10265,1175,13843,1375,29410,1571,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,594282,401,32861,205,406,362,0,292,32455,402,68129,426,4296,1363,1414,641,62419,1652,209019,607,7102,1864,2518,866,199399,2094,217156,1030,15647,1922,11968,1701,189541,2410,36892,636,4470,956,4291,909,28131,1252,30225,896,5205,756,8870,1320,16150,1220,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,18534081,4456,1067986,3060,5254,1144,2672,1263,1060060,3533,2922261,5336,114301,6364,33558,3294,2774402,8524,3913103,8732,122763,7270,80806,6090,3709534,11849,7422176,8539,474303,11078,436763,11316,6511110,16563,1723937,4373,219523,7085,170796,6201,1333618,9719,1484618,4168,274106,6683,431745,9043,778767,10772,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
