GEO_ID,B17018_001E,B17018_001M,B17018_002E,B17018_002M,B17018_003E,B17018_003M,B17018_004E,B17018_004M,B17018_005E,B17018_005M,B17018_006E,B17018_006M,B17018_007E,B17018_007M,B17018_008E,B17018_008M,B17018_009E,B17018_009M,B17018_010E,B17018_010M,B17018_011E,B17018_011M,B17018_012E,B17018_012M,B17018_013E,B17018_013M,B17018_014E,B17018_014M,B17018_015E,B17018_015M,B17018_016E,B17018_016M,B17018_017E,B17018_017M,B17018_018E,B17018_018M,B17018_019E,B17018_019M,B17018_020E,B17018_020M,B17018_021E,B17018_021M,B17018_022E,B17018_022M,B17018_023E,B17018_023M,B17018_024E,B17018_024M,B17018_025E,B17018_025M,B17018_026E,B17018_026M,B17018_027E,B17018_027M,B17018_028E,B17018_028M,B17018_029E,B17018_029M,B17018_030E,B17018_030M,B17018_031E,B17018_031M,B17018_032E,B17018_032M,B17018_033E,B17018_033M,B17018_034E,B17018_034M,B17018_035E,B17018_035M,NAME,B17018_001EA,B17018_001MA,B17018_002MA,B17018_002EA,B17018_003MA,B17018_003EA,B17018_004EA,B17018_004MA,B17018_005MA,B17018_005EA,B17018_006EA,B17018_006MA,B17018_007EA,B17018_007MA,B17018_008EA,B17018_008MA,B17018_009EA,B17018_009MA,B17018_010MA,B17018_010EA,B17018_011MA,B17018_011EA,B17018_012MA,B17018_012EA,B17018_013MA,B17018_013EA,B17018_014EA,B17018_014MA,B17018_015MA,B17018_015EA,B17018_016EA,B17018_016MA,B17018_017EA,B17018_017MA,B17018_018EA,B17018_018MA,B17018_019EA,B17018_019MA,B17018_020MA,B17018_020EA,B17018_021MA,B17018_021EA,B17018_022EA,B17018_022MA,B17018_023EA,B17018_023MA,B17018_024EA,B17018_024MA,B17018_025EA,B17018_025MA,B17018_026EA,B17018_026MA,B17018_027MA,B17018_027EA,B17018_028EA,B17018_028MA,B17018_029EA,B17018_029MA,B17018_030EA,B17018_030MA,B17018_031EA,B17018_031MA,B17018_032MA,B17018_032EA,B17018_033EA,B17018_033MA,B17018_034EA,B17018_034MA,B17018_035EA,B17018_035MA,state
0400000US41,963362,9735,106178,5263,43339,3584,11601,1988,11598,1767,13820,2365,6320,1323,62839,4260,10830,1951,3410,932,4009,1222,2583,949,828,586,52009,3873,13382,2054,14814,2311,21317,2654,2496,840,857184,9455,689756,9679,49958,3399,139390,5700,251210,6746,249198,6472,167428,6242,55142,3172,9167,1653,15351,1919,20796,2232,9828,1634,112286,5471,10566,1624,26031,2689,51421,4077,24268,2575,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,3197710,17008,298448,9031,91066,4438,24951,2489,37003,2827,19016,2180,10096,1471,207382,7342,32250,2950,8725,1545,14578,1968,7176,1578,1771,580,175132,6692,42129,3334,74656,4526,49434,3980,8913,1412,2899262,16763,2290028,15292,157830,4784,754541,9532,565666,10771,811991,11769,609234,11097,182832,6644,23945,2349,76446,4356,49248,3397,33193,2533,426402,8857,45638,2884,154740,5847,135895,5713,90129,4899,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,246028,5431,22578,2406,6499,1530,3083,987,1670,636,759,605,987,554,16079,1779,2370,767,910,537,591,396,441,342,428,270,13709,1743,3563,876,4597,1167,4602,1218,947,489,223450,5671,167349,5095,15307,2277,39047,2744,48492,3404,64503,3181,56101,3817,15155,2029,2735,754,4795,1155,4273,1146,3352,1055,40946,3042,6661,1300,9933,1648,15435,2306,8917,1282,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,1180687,11186,163071,6398,49517,3536,16287,2034,19093,2120,10173,2015,3964,923,113554,6092,14750,2479,6879,1796,4735,1265,2535,809,601,445,98804,5185,25216,2910,37297,3529,31355,3081,4936,1212,1017616,11559,777870,10562,71188,4167,197810,6755,243828,7434,265044,7648,239746,6946,62312,3991,12992,2323,21816,2486,19217,2407,8287,1501,177434,6033,26308,2410,53721,4414,64806,4265,32599,3149,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,204029,4559,18785,1969,6591,1164,1214,384,2763,776,1951,772,663,314,12194,1521,1648,514,398,300,523,261,441,320,286,238,10546,1480,2409,840,3621,904,3930,1028,586,587,185244,4587,154943,4315,9297,1353,41152,2517,52102,2388,52392,2899,30301,2624,10878,1765,2017,747,3799,857,3100,764,1962,709,19423,1859,1426,657,4763,965,7675,1237,5559,983,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,1644896,14706,219964,7337,81438,4309,26327,2606,30535,2564,17344,1919,7232,1391,138526,6083,21967,2899,7011,1485,9595,1766,4500,1153,861,624,116559,5263,29991,2825,45465,3920,35370,3362,5733,1281,1424932,12746,1113968,11556,115614,4752,324866,7694,316739,9280,356749,8186,310964,8369,84649,4228,16057,1893,31483,3299,22793,2333,14316,2306,226315,7206,29134,2753,71331,3629,82818,4523,43032,3350,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,6091590,24172,843488,14263,347202,8571,164466,7179,90109,4781,63485,4400,29142,2552,496286,13306,74314,5458,27802,2888,25521,3569,17839,2859,3152,763,421972,11096,154682,7140,126225,5869,123489,6898,17576,2226,5248102,25201,4039794,25324,512688,10672,853151,13549,1255445,15977,1418510,15924,1208308,15890,362413,9241,85590,5440,104338,6052,105687,5555,66798,4766,845895,13515,132191,6354,215615,8424,322521,9050,175568,6896,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,665964,7680,64686,3506,33971,2355,5443,1201,8082,1664,14179,1595,6267,1160,30715,2759,6627,1595,2315,835,2156,927,1199,520,957,519,24088,2318,6796,1454,8476,1587,7410,1252,1406,536,601278,7720,509241,6921,30763,3138,95327,3756,191108,5740,192043,5287,92037,4291,30631,2856,4869,1132,9155,1485,11074,1774,5533,1318,61406,3584,5801,1295,15511,1865,27450,2192,12644,1609,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,159846,3532,13372,1534,5129,1072,895,381,1758,708,1437,503,1039,454,8243,1197,1040,432,344,290,532,315,138,117,26,37,7203,1238,918,623,3199,837,2758,723,328,183,146474,3232,120549,3036,7111,1081,34032,2152,30324,1838,49082,2183,25925,1962,9847,1447,1106,472,4064,1014,2454,678,2223,638,16078,1650,521,270,5309,1031,5398,874,4850,857,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,2013520,16738,155973,5579,52905,3819,17848,2450,16042,2135,12011,1860,7004,1362,103068,4507,15355,2033,4554,1117,5242,1239,4630,1412,929,505,87713,3884,22032,2585,26918,2889,31937,3131,6826,1392,1857547,16257,1464722,15969,121699,5784,303475,9677,403976,10287,635572,11832,392825,9868,108918,5671,20124,2579,34134,3120,29286,2825,25374,2762,283907,7516,34492,3196,77501,4067,97418,5020,74496,3930,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,1681386,12734,154332,7272,60027,4709,19829,2867,14921,2312,17376,2243,7901,1254,94305,5228,16009,2341,5185,1424,4830,1192,4745,1209,1249,538,78296,4854,18984,2926,19252,2616,33927,3297,6133,1219,1527054,12282,1237213,12116,75176,4407,232493,6086,435817,9481,493727,8999,289841,8590,98178,5587,12571,1889,28157,3169,37419,3114,20031,2801,191663,6491,13472,1711,46527,3403,86063,4903,45601,3314,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,485652,6805,64210,3746,26344,2518,9036,1521,9960,1808,5906,1109,1442,557,37866,3136,7298,1255,2214,722,3119,871,1649,700,316,197,30568,2923,9128,1546,12246,2022,8118,1689,1076,543,421442,6718,345957,6645,37592,2739,137066,4680,91542,3707,79757,3649,75485,3689,21217,2213,3909,938,9892,1648,4488,956,2928,1012,54268,3147,8862,1524,20841,1973,16162,2210,8403,1243,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,1453332,10977,132850,5407,43089,2733,10383,1670,15443,1638,11709,1525,5554,1308,89761,4331,17013,2571,4255,971,5817,1235,5924,1524,1017,588,72748,3884,17017,2050,25298,2264,26532,2839,3901,991,1320482,10582,1082225,11673,69231,3669,314025,6493,341294,7854,357675,5958,238257,6171,79224,3511,8005,1395,31405,2324,25937,2371,13877,1669,159033,5592,13320,1452,48447,2886,64346,3504,32920,2310,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,147394,3852,10619,1764,4118,1019,950,670,1936,728,782,409,450,383,6501,1288,766,540,28,49,228,335,395,389,115,188,5735,1174,1256,708,1440,527,2605,848,434,258,136775,3716,115638,3810,5416,1057,32637,2417,44378,3151,33207,2640,21137,2215,7038,1279,860,481,2741,776,2559,765,878,403,14099,1884,1321,676,2966,944,7254,1375,2558,920,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,966123,10138,398381,7426,168043,5430,78067,3865,51099,3662,28554,2869,10323,1355,230338,6824,42261,3254,19009,1981,14015,1875,6310,1498,2927,873,188077,5691,69548,4097,56514,3771,46249,3036,15766,1868,567742,8614,389808,7120,71407,2965,93695,4344,95866,4904,128840,4967,177934,6424,39868,2966,8709,1349,10252,1635,8808,1194,12099,1770,138066,5355,26807,2101,25719,2393,35281,2608,50259,3118,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
