GEO_ID,B09001_001E,B09001_001M,B09001_002E,B09001_002M,B09001_003E,B09001_003M,B09001_004E,B09001_004M,B09001_005E,B09001_005M,B09001_006E,B09001_006M,B09001_007E,B09001_007M,B09001_008E,B09001_008M,B09001_009E,B09001_009M,B09001_010E,B09001_010M,NAME,B09001_001MA,B09001_001EA,B09001_002MA,B09001_002EA,B09001_003EA,B09001_003MA,B09001_004MA,B09001_004EA,B09001_005MA,B09001_005EA,B09001_006EA,B09001_006MA,B09001_007MA,B09001_007EA,B09001_008EA,B09001_008MA,B09001_009MA,B09001_009EA,B09001_010MA,B09001_010EA,state
0400000US01,1135428,2227,1133299,2219,183170,5424,124899,4476,59168,3701,186020,5603,193678,6066,188951,6720,197413,2859,2129,465,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,188385,559,187619,678,32331,2030,21029,1613,10877,1435,27758,2143,31749,2476,31720,2145,32155,1159,766,540,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1632411,1188,1627948,2106,268687,6010,186734,5891,92344,5876,267827,7858,272323,7390,272560,8651,267473,1969,4463,1687,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,711130,2319,708436,2354,115917,3138,78394,3364,44088,3055,112798,4319,123683,4873,115925,4019,117631,2317,2694,859,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,9307229,2417,9278568,4417,1472966,14652,1053919,14620,518434,9090,1506614,18399,1523373,15256,1560642,17007,1642620,4186,28661,4179,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1228678,1970,1225751,2015,200801,5418,141443,4995,71080,3736,216580,6052,206826,6036,189929,7142,199092,2130,2927,427,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,815288,276,812691,1549,116585,3547,84056,3487,41097,2933,135740,5321,143094,4747,143318,4564,148801,1047,2597,1489,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,206069,603,205907,636,32448,1574,23647,1550,10929,1568,32603,2339,35194,2378,34305,2318,36781,682,162,172,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,101267,244,100923,453,21079,1281,11782,1282,4995,1020,16921,1517,13358,1865,15908,1813,16880,508,344,421,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3999519,4247,3987311,5124,624615,8368,443284,8167,219453,9096,639280,11451,673590,11568,683993,11298,703096,3646,12208,2374,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2494521,3271,2490343,3847,404832,7589,277346,7004,143151,7314,415047,7989,421143,9118,412608,9931,416216,3627,4178,2035,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,303661,702,302447,995,52177,2681,34334,2816,14980,1524,50088,2819,51528,2756,49041,2438,50299,830,1214,747,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,428960,1393,428042,1378,72515,2874,48193,2760,25963,2330,69385,3440,74648,3185,69538,3392,67800,1311,918,206,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,3125930,2515,3120916,2677,497454,6639,335350,6690,167649,5763,516925,9918,523408,9075,533558,10091,546572,2070,5014,692,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,1606115,2705,1601663,2728,251968,4843,181347,4763,93753,4740,266760,6883,272742,5532,264166,6949,270927,2124,4452,467,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,724674,2173,721443,2153,115719,3325,83946,3133,41617,2310,117944,4550,118044,3939,121299,3809,122874,1932,3231,379,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,726826,2447,725010,2507,122153,3436,82947,3327,42314,3537,125267,4632,116866,4216,118067,4332,117396,1940,1816,569,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,1021336,3154,1017472,3224,159714,4193,119878,4515,54184,3188,168186,5542,175951,5604,170568,5517,168991,2409,3864,1643,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1118052,2133,1112922,4824,188211,4643,125797,4650,63640,4134,187032,5696,182833,6654,182312,6498,183097,3722,5130,4484,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,273651,1231,272450,1330,39960,2035,28271,2056,15900,1499,42226,2577,48246,2378,47477,2705,50370,962,1201,511,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
