GEO_ID,C17018_001E,C17018_001M,C17018_002E,C17018_002M,C17018_003E,C17018_003M,C17018_004E,C17018_004M,C17018_005E,C17018_005M,C17018_006E,C17018_006M,C17018_007E,C17018_007M,C17018_008E,C17018_008M,C17018_009E,C17018_009M,C17018_010E,C17018_010M,C17018_011E,C17018_011M,NAME,C17018_001EA,C17018_001MA,C17018_002MA,C17018_002EA,C17018_003MA,C17018_003EA,C17018_004EA,C17018_004MA,C17018_005MA,C17018_005EA,C17018_006MA,C17018_006EA,C17018_007EA,C17018_007MA,C17018_008MA,C17018_008EA,C17018_009EA,C17018_009MA,C17018_010MA,C17018_010EA,C17018_011MA,C17018_011EA,state
0400000US01,1227884,13886,180849,6757,59659,4282,61140,4717,50781,4194,9269,1577,1047035,12901,128165,5143,297704,7898,331172,7891,289994,7173,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,170859,4484,12277,1505,2531,760,4546,911,4046,969,1154,557,158582,4656,9850,1268,34185,2957,67233,3797,47314,3005,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1548428,12546,194239,8312,65553,4854,55715,4162,58530,4335,14441,2206,1354189,11236,138287,6645,275983,8425,510678,9510,429241,8621,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,761361,9102,107243,4728,30174,3010,37915,3184,34731,3741,4423,971,654118,7896,79381,3953,205004,6020,212208,6217,157525,5962,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8507856,27357,1003305,17807,424171,10240,237741,9303,254924,9354,86469,5206,7504551,26422,1099278,18172,1325415,18873,2443497,23398,2636361,20582,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1258885,11852,118446,6082,32647,3470,33599,3284,36659,3526,15541,1940,1140439,10316,83025,3958,220401,7101,361495,10010,475518,9031,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,890770,9681,63695,4324,17909,1968,23200,3053,17031,2367,5555,1104,827075,9311,68079,4167,198118,6028,221533,6317,339345,6868,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,221233,4976,17881,2221,4735,1250,7237,1531,4876,1203,1033,503,203352,5101,15476,2067,57148,3431,62660,3418,68068,3647,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,101519,4051,14285,1749,4818,989,5419,1231,2390,768,1658,686,87234,3887,8901,1599,16940,1858,14328,1755,47065,2913,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4556930,26451,548767,9830,157201,6571,185551,6867,152855,6862,53160,4236,4008163,23287,382811,10388,1018178,15397,1321232,18064,1285942,17165,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2385969,17984,325880,9256,100313,5744,113507,6531,87780,5098,24280,2730,2060089,17879,212818,7250,528762,12223,632722,12702,685787,11073,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,303075,5409,22324,2366,4583,1159,7424,1403,8362,1390,1955,629,280751,5326,20577,2205,67871,3612,95935,3846,96368,3818,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,401806,7285,46538,2990,12061,1963,13855,1907,15246,1747,5376,1031,355268,7116,28054,2450,88056,4300,132178,4830,106980,3777,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,3133813,17339,314986,8610,85838,4821,98461,5274,102013,5484,28674,2806,2818827,14565,271456,7304,674933,11261,873761,12286,998677,11021,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
