B25043_005M,B25043_006E,B25043_006M,B25043_007E,B25043_007M,B25043_008E,B25043_008M,B25043_009E,B25043_009M,B25043_010E,B25043_010M,B25043_011E,B25043_011M,B25043_012E,B25043_012M,B25043_013E,B25043_013M,B25043_014E,B25043_014M,B25043_015E,B25043_015M,B25043_016E,B25043_016M,B25043_017E,B25043_017M,B25043_018E,B25043_018M,B25043_019E,B25043_019M,GEO_ID,B25043_001E,B25043_001M,B25043_002E,B25043_002M,B25043_003E,B25043_003M,B25043_004E,B25043_004M,B25043_005E,B25043_005MA,B25043_006EA,B25043_006MA,B25043_007MA,B25043_007EA,B25043_008EA,B25043_008MA,B25043_009MA,B25043_009EA,B25043_010EA,B25043_010MA,B25043_011EA,B25043_011MA,B25043_012MA,B25043_012EA,B25043_013EA,B25043_013MA,B25043_014MA,B25043_014EA,B25043_015EA,B25043_015MA,B25043_016MA,B25043_016EA,B25043_017MA,B25043_017EA,B25043_018EA,B25043_018MA,B25043_019MA,B25043_019EA,NAME,B25043_001EA,B25043_001MA,B25043_002EA,B25043_002MA,B25043_003EA,B25043_003MA,B25043_004MA,B25043_004EA,B25043_005EA,state
9499,351535,5849,20827,2139,3297,826,14711,2070,2819,610,542306,10228,515880,9859,193320,7038,257540,7179,65020,3493,26426,2871,11413,1812,12754,2103,2259,729,0400000US01,1815152,10938,1272846,12811,1252019,12333,142487,5549,757997,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,01
2784,25672,1351,1999,616,239,212,1536,517,224,163,91825,3849,89477,3896,37741,2461,45484,2962,6252,1153,2348,650,1021,397,1220,452,107,99,0400000US02,254610,2804,162785,3878,160786,3884,20046,2107,115068,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,02
12362,437622,6092,26961,2574,4865,1093,15874,1921,6222,1250,811112,13574,767960,13630,300157,8495,381982,9532,85821,4419,43152,4265,16455,2489,22280,3109,4417,1312,0400000US04,2334050,12895,1522938,13309,1495977,13471,170744,5506,887611,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arizona,null,null,null,null,null,null,null,null,null,04
6616,214470,4329,14377,1798,3176,858,8879,1379,2322,639,363334,8761,342987,8394,129040,5855,168554,7008,45393,2899,20347,2046,8141,1373,10702,1472,1504,520,0400000US05,1114902,8104,751568,9191,737191,9180,86583,4191,436138,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,05
24674,1802511,14997,68993,4374,14105,1731,45097,3516,9791,1557,5503300,25377,5314807,26871,1797519,18050,2888861,23282,628427,9152,188493,7226,76177,4436,92076,5643,20240,2252,0400000US06,12406475,16820,6903175,27402,6834182,28129,585470,10808,4446201,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,06
9287,275382,4261,16634,2153,3762,1042,11079,1608,1793,540,667793,12023,640151,11481,276493,7948,296586,8220,67072,3303,27642,2699,12569,1765,12783,1707,2290,747,0400000US08,1960585,9151,1292792,11248,1276158,11090,162441,5474,838335,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,08
6580,235660,4142,7538,1348,2412,815,4172,1039,954,529,435192,8295,419879,8431,139637,5399,208388,6455,71854,3739,15313,2013,4079,1186,9365,1554,1869,698,0400000US09,1358809,7109,923617,8286,916079,8357,74961,3997,605458,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,09
3711,65107,2337,3286,858,828,386,1970,833,488,304,88881,3899,86207,3848,33842,2917,40395,3118,11970,1251,2674,919,1617,720,925,505,132,140,0400000US10,328765,4178,239884,4113,236598,4149,22734,1840,148757,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,10
3396,28569,1714,1969,667,538,254,1156,547,275,251,145195,4932,138931,4749,57046,3274,63588,3564,18297,1602,6264,1568,2461,799,2819,996,984,553,0400000US11,252388,3730,107193,3924,105224,4061,13375,1903,63280,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,11
22178,1613956,14640,78567,4390,10037,1329,53261,3937,15269,1960,2240938,20709,2125809,19896,718208,13013,1105665,16546,301936,6911,115129,5080,39379,3133,65498,4549,10252,2219,0400000US12,7035068,25739,4794130,25332,4715563,25884,363931,10200,2737676,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,12
13888,505981,6425,41353,3385,8759,1306,25265,2650,7329,1445,1178255,14458,1111033,14352,430026,9286,568758,12100,112249,5087,67222,4049,27170,3000,35958,3277,4094,1153,0400000US13,3482420,15694,2304165,17073,2262812,17591,260607,6935,1496224,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Georgia,null,null,null,null,null,null,null,null,null,13
5079,80431,2743,3621,793,698,366,2037,642,886,380,187279,5414,179772,5504,57988,3495,95144,4133,26640,2296,7507,1406,2610,877,4005,979,892,405,0400000US15,445812,4223,258533,5422,254912,5322,16228,1988,158253,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Hawaii,null,null,null,null,null,null,null,null,null,15
4908,100765,2567,7023,1231,2105,743,4364,993,554,273,175177,5242,167043,5021,73435,4246,74730,4127,18878,1908,8134,1426,2968,883,4073,1182,1093,581,0400000US16,576709,5739,401532,6302,394509,6367,57609,3104,236135,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,16
14686,792634,7976,43993,2929,8805,1291,27956,2228,7232,1324,1533519,13202,1469488,13475,559797,9874,709498,10374,200193,6144,64031,4534,22808,2902,34859,2848,6364,1291,0400000US17,4752857,13579,3219338,16289,3175345,16029,363773,8587,2018938,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Illinois,null,null,null,null,null,null,null,null,null,17
9412,432981,5733,31643,2061,8502,1492,20182,1937,2959,670,734154,9897,695179,10076,277910,6479,324061,8017,93208,3967,38975,3353,15664,2212,18929,2246,4382,1158,0400000US18,2470905,11185,1736751,11947,1705108,11971,209685,6207,1062442,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Indiana,null,null,null,null,null,null,null,null,null,18
5831,228807,3320,14735,1496,3916,987,8923,1402,1896,481,338155,6728,321648,6606,135407,4923,132283,5084,53958,3017,16507,1978,8192,1348,6649,1081,1666,666,0400000US19,1223439,6610,885284,8254,870549,8350,119984,4505,521758,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Iowa,null,null,null,null,null,null,null,null,null,19
6132,187397,3617,11453,1553,2185,592,8119,1264,1149,377,351751,6919,335917,6804,147605,4659,140553,5150,47759,2511,15834,1778,6611,1261,7869,1212,1354,548,0400000US20,1101658,6952,749907,8746,738454,8970,97567,4127,453490,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kansas,null,null,null,null,null,null,null,null,null,20
8855,300093,4974,22392,2471,4737,1122,14155,2004,3500,991,528056,11015,498396,10926,189333,5377,250232,8295,58831,3577,29660,3023,11433,1882,15649,1920,2578,707,0400000US21,1684348,9801,1156292,12036,1133900,11732,135157,5587,698650,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kentucky,null,null,null,null,null,null,null,null,null,21
9208,295198,4800,22303,2525,4234,1097,14902,2101,3167,956,548318,11587,516819,11251,213088,7183,248052,7976,55679,3397,31499,2434,13914,1742,15632,1949,1953,596,0400000US22,1689822,9615,1141504,11499,1119201,11868,133472,5653,690531,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Louisiana,null,null,null,null,null,null,null,null,null,22
4358,102613,2378,5545,870,951,425,4034,840,560,248,149022,5676,142544,5491,45713,2982,69663,4116,27168,2185,6478,1119,2564,709,3524,929,390,328,0400000US23,545417,5576,396395,5449,390850,5252,36156,2432,252081,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,23
10497,333542,4694,14034,2004,3241,949,9130,1655,1663,670,701172,11745,664502,11337,231978,5941,338258,10777,94266,4389,36670,3176,15278,2188,18952,2610,2440,787,0400000US24,2127439,8728,1426267,12068,1412233,12162,140075,4576,938616,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maryland,null,null,null,null,null,null,null,null,null,24
8951,394913,5305,11146,1547,1941,473,7255,1436,1950,655,952037,10587,922092,10273,312363,7741,449560,8941,160169,5563,29945,3089,10100,1529,16266,2433,3579,1059,0400000US25,2520419,10488,1568382,10691,1557236,10614,129372,4634,1032951,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Massachusetts,null,null,null,null,null,null,null,null,null,25
11617,714665,7016,51897,3102,9846,1434,34528,2477,7523,1161,1037147,11792,983988,11577,355295,7690,483867,8823,144826,5157,53159,3483,20709,2388,25202,2201,7248,1257,0400000US26,3806621,12287,2769474,14635,2717577,14501,293222,6982,1709690,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Michigan,null,null,null,null,null,null,null,null,null,26
