GEO_ID,B07408_001E,B07408_001M,B07408_002E,B07408_002M,B07408_003E,B07408_003M,B07408_004E,B07408_004M,B07408_005E,B07408_005M,B07408_006E,B07408_006M,B07408_007E,B07408_007M,B07408_008E,B07408_008M,B07408_009E,B07408_009M,B07408_010E,B07408_010M,B07408_011E,B07408_011M,B07408_012E,B07408_012M,B07408_013E,B07408_013M,B07408_014E,B07408_014M,B07408_015E,B07408_015M,B07408_016E,B07408_016M,B07408_017E,B07408_017M,B07408_018E,B07408_018M,B07408_019E,B07408_019M,B07408_020E,B07408_020M,B07408_021E,B07408_021M,B07408_022E,B07408_022M,B07408_023E,B07408_023M,B07408_024E,B07408_024M,B07408_025E,B07408_025M,B07408_026E,B07408_026M,B07408_027E,B07408_027M,B07408_028E,B07408_028M,B07408_029E,B07408_029M,B07408_030E,B07408_030M,NAME,B07408_001EA,B07408_001MA,B07408_002MA,B07408_002EA,B07408_003MA,B07408_003EA,B07408_004EA,B07408_004MA,B07408_005MA,B07408_005EA,B07408_006MA,B07408_006EA,B07408_007EA,B07408_007MA,B07408_008MA,B07408_008EA,B07408_009MA,B07408_009EA,B07408_010EA,B07408_010MA,B07408_011EA,B07408_011MA,B07408_012MA,B07408_012EA,B07408_013EA,B07408_013MA,B07408_014EA,B07408_014MA,B07408_015EA,B07408_015MA,B07408_016EA,B07408_016MA,B07408_017MA,B07408_017EA,B07408_018EA,B07408_018MA,B07408_019EA,B07408_019MA,B07408_020EA,B07408_020MA,B07408_021EA,B07408_021MA,B07408_022MA,B07408_022EA,B07408_023MA,B07408_023EA,B07408_024EA,B07408_024MA,B07408_025EA,B07408_025MA,B07408_026MA,B07408_026EA,B07408_027EA,B07408_027MA,B07408_028MA,B07408_028EA,B07408_029MA,B07408_029EA,B07408_030EA,B07408_030MA,state
0400000US01,3829781,9837,1110096,16095,1849885,23792,481713,13302,107624,6457,280463,8070,3269324,16552,862279,16379,1674489,22605,400435,11023,76261,5019,255860,7638,341612,11994,153627,8146,99663,6950,52213,4465,21540,2682,14569,2010,137167,7931,62785,4668,43301,5086,17904,2393,6660,1330,6517,1461,81678,6784,31405,3369,32432,4449,11161,2308,3163,888,3517,1136,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,598015,7335,195719,7572,290135,9281,74690,5901,14793,1989,22678,2339,448674,5167,127102,5327,239195,8087,54324,5315,8855,1718,19198,1882,59195,4843,27682,3251,19148,3131,9339,1768,1783,739,1243,640,15704,2017,7585,1354,3959,1058,3173,1018,803,414,184,128,74442,6730,33350,4106,27833,4617,7854,1703,3352,1182,2053,1092,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,4976629,12806,1569839,16676,2439146,22840,604659,13625,91105,5514,271880,7731,4061892,25132,1154655,18486,2118718,24481,483400,11813,61292,4569,243827,7299,667121,22379,305429,12413,232125,12367,89682,6161,21799,3008,18086,2434,100929,7673,46075,3988,34679,5147,13483,2575,3074,897,3618,972,146687,7675,63680,4831,53624,4339,18094,2495,4940,1353,6349,1395,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2311736,9216,607225,11018,1178634,15914,298665,9114,58643,4162,168569,5164,1946015,14411,456687,11232,1061823,15958,236219,8572,37985,3183,153301,4880,214917,10058,86795,6711,69730,5570,36709,3614,13275,2238,8408,1382,97432,8781,42470,5452,28109,3950,17529,3219,5350,1441,3974,1128,53372,5296,21273,3522,18972,2772,8208,1472,2033,1021,2886,1069,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,29584537,23711,10640551,45338,13881709,58286,2867381,27319,683692,13674,1511204,16775,24846336,52111,8368467,50458,12213703,57613,2382051,23947,505976,12887,1376139,16239,3333641,45283,1557069,27451,1205011,28048,341287,11949,135722,7070,94552,4478,924335,23768,486363,17496,289378,13412,92935,5282,30242,3135,25417,2375,480225,17741,228652,10722,173617,9552,51108,4496,11752,2225,15096,2368,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3953811,10847,1202266,16910,2030797,21217,472747,11086,69660,4641,178341,5560,3248483,18471,860560,16630,1803411,21363,380640,9861,44301,3670,159571,5020,390278,14394,186958,8544,128738,8317,49193,3665,14764,2192,10625,1693,198943,11337,101202,7180,55715,5870,29048,3301,7778,1541,5200,1124,116107,6323,53546,4038,42933,4448,13866,2027,2817,877,2945,889,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2908120,8811,962059,12571,1407822,16071,318451,8903,42011,3359,177777,5087,2547378,12179,772842,10898,1303654,16360,272239,7712,33090,2649,165553,4817,218435,10211,107364,7876,64631,5643,31574,3323,6597,1448,8269,1764,64081,5576,38751,4106,12944,2167,8755,1859,1293,617,2338,644,78226,6536,43102,4073,26593,3534,5883,1508,1031,585,1617,573,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,724838,4989,236814,6579,347613,10108,79068,5524,14201,2133,47142,2736,629233,6806,189610,7146,317992,9628,66534,4814,11673,2114,43424,2687,64411,6241,32374,4115,19685,3707,7823,1446,1799,743,2730,1012,6789,1556,2838,1005,1380,742,1761,901,264,366,546,372,24405,3678,11992,1997,8556,2293,2950,861,465,389,442,287,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,512976,6428,285463,7433,134626,5627,52082,3370,14918,1919,25887,1701,410913,6860,216814,7114,113317,5124,44750,3289,11683,1840,24349,1738,53496,4769,38071,3807,9066,2406,3618,966,1715,673,1026,540,0,273,0,273,0,273,0,273,0,273,0,273,48567,4016,30578,3514,12243,2228,3714,1069,1520,769,512,328,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,15378562,24310,4654892,30725,7221577,44731,2008786,26137,400142,11854,1093165,13752,13040767,33785,3595093,32626,6500440,43793,1665405,23096,287636,10281,992193,12923,1506155,29162,664030,18569,470377,16440,230354,11116,77589,6241,63805,4328,470801,16047,242320,10084,122184,8688,67557,4464,20148,2996,18592,2873,360839,13524,153449,7581,128576,7717,45470,3923,14769,2498,18575,2154,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
