B19131_103E,B19131_103M,B19131_104E,B19131_104M,B19131_105E,B19131_105M,B19131_106E,B19131_106M,B19131_107E,B19131_107M,GEO_ID,B19131_001E,B19131_001M,B19131_002E,B19131_002M,B19131_003E,B19131_003M,B19131_004E,B19131_004M,B19131_005E,B19131_005M,B19131_006E,B19131_006M,B19131_007E,B19131_007M,B19131_008E,B19131_008M,B19131_009E,B19131_009M,B19131_010E,B19131_010M,B19131_011E,B19131_011M,B19131_012E,B19131_012M,B19131_013E,B19131_013M,B19131_014E,B19131_014M,B19131_015E,B19131_015M,B19131_016E,B19131_016M,B19131_017E,B19131_017M,B19131_018E,B19131_018M,B19131_019E,B19131_019M,B19131_020E,B19131_020M,B19131_021E,B19131_021M,B19131_022E,B19131_022M,B19131_023E,B19131_023M,B19131_024E,B19131_024M,B19131_025E,B19131_025M,B19131_026E,B19131_026M,B19131_027E,B19131_027M,B19131_028E,B19131_028M,B19131_029E,B19131_029M,B19131_030E,B19131_030M,B19131_031E,B19131_031M,B19131_032E,B19131_032M,B19131_033E,B19131_033M,B19131_034E,B19131_034M,B19131_035E,B19131_035M,B19131_036E,B19131_036M,B19131_037E,B19131_037M,B19131_038E,B19131_038M,B19131_039E,B19131_039M,B19131_040E,B19131_040M,B19131_041E,B19131_041M,B19131_042E,B19131_042M,B19131_043E,B19131_043M,B19131_044E,B19131_044M,B19131_045E,B19131_045M,B19131_046E,B19131_046M,B19131_047E,B19131_047M,B19131_048E,B19131_048M,B19131_049E,B19131_049M,B19131_050E,B19131_050M,B19131_051E,B19131_051M,B19131_052E,B19131_052M,B19131_053E,B19131_053M,B19131_054E,B19131_054M,B19131_055E,B19131_055M,B19131_056E,B19131_056M,B19131_057E,B19131_057M,B19131_058E,B19131_058M,B19131_059E,B19131_059M,B19131_060E,B19131_060M,B19131_061E,B19131_061M,B19131_062E,B19131_062M,B19131_063E,B19131_063M,B19131_064E,B19131_064M,B19131_065E,B19131_065M,B19131_066E,B19131_066M,B19131_067E,B19131_067M,B19131_068E,B19131_068M,B19131_069E,B19131_069M,B19131_070E,B19131_070M,B19131_071E,B19131_071M,B19131_072E,B19131_072M,B19131_073E,B19131_073M,B19131_074E,B19131_074M,B19131_075E,B19131_075M,B19131_076E,B19131_076M,B19131_077E,B19131_077M,B19131_078E,B19131_078M,B19131_079E,B19131_079M,B19131_080E,B19131_080M,B19131_081E,B19131_081M,B19131_082E,B19131_082M,B19131_083E,B19131_083M,B19131_084E,B19131_084M,B19131_085E,B19131_085M,B19131_086E,B19131_086M,B19131_087E,B19131_087M,B19131_088E,B19131_088M,B19131_089E,B19131_089M,B19131_090E,B19131_090M,B19131_091E,B19131_091M,B19131_092E,B19131_092M,B19131_093E,B19131_093M,B19131_094E,B19131_094M,B19131_095E,B19131_095M,B19131_096E,B19131_096M,B19131_097E,B19131_097M,B19131_098E,B19131_098M,B19131_099E,B19131_099M,B19131_100E,B19131_100M,B19131_101E,B19131_101M,B19131_102E,B19131_102M,B19131_103EA,B19131_103MA,B19131_104EA,B19131_104MA,B19131_105MA,B19131_105EA,B19131_106EA,B19131_106MA,B19131_107EA,B19131_107MA,NAME,B19131_001MA,B19131_001EA,B19131_002EA,B19131_002MA,B19131_003EA,B19131_003MA,B19131_004EA,B19131_004MA,B19131_005EA,B19131_005MA,B19131_006EA,B19131_006MA,B19131_007EA,B19131_007MA,B19131_008EA,B19131_008MA,B19131_009EA,B19131_009MA,B19131_010EA,B19131_010MA,B19131_011EA,B19131_011MA,B19131_012EA,B19131_012MA,B19131_013EA,B19131_013MA,B19131_014EA,B19131_014MA,B19131_015MA,B19131_015EA,B19131_016MA,B19131_016EA,B19131_017MA,B19131_017EA,B19131_018MA,B19131_018EA,B19131_019MA,B19131_019EA,B19131_020EA,B19131_020MA,B19131_021EA,B19131_021MA,B19131_022MA,B19131_022EA,B19131_023EA,B19131_023MA,B19131_024MA,B19131_024EA,B19131_025MA,B19131_025EA,B19131_026EA,B19131_026MA,B19131_027MA,B19131_027EA,B19131_028MA,B19131_028EA,B19131_029EA,B19131_029MA,B19131_030MA,B19131_030EA,B19131_031MA,B19131_031EA,B19131_032EA,B19131_032MA,B19131_033EA,B19131_033MA,B19131_034EA,B19131_034MA,B19131_035EA,B19131_035MA,B19131_036MA,B19131_036EA,B19131_037EA,B19131_037MA,B19131_038EA,B19131_038MA,B19131_039MA,B19131_039EA,B19131_040EA,B19131_040MA,B19131_041EA,B19131_041MA,B19131_042EA,B19131_042MA,B19131_043MA,B19131_043EA,B19131_044EA,B19131_044MA,B19131_045EA,B19131_045MA,B19131_046EA,B19131_046MA,B19131_047MA,B19131_047EA,B19131_048MA,B19131_048EA,B19131_049EA,B19131_049MA,B19131_050MA,B19131_050EA,B19131_051MA,B19131_051EA,B19131_052EA,B19131_052MA,B19131_053MA,B19131_053EA,B19131_054MA,B19131_054EA,B19131_055EA,B19131_055MA,B19131_056MA,B19131_056EA,B19131_057MA,B19131_057EA,B19131_058MA,B19131_058EA,B19131_059EA,B19131_059MA,B19131_060MA,B19131_060EA,B19131_061EA,B19131_061MA,B19131_062EA,B19131_062MA,B19131_063MA,B19131_063EA,B19131_064EA,B19131_064MA,B19131_065MA,B19131_065EA,B19131_066EA,B19131_066MA,B19131_067EA,B19131_067MA,B19131_068MA,B19131_068EA,B19131_069EA,B19131_069MA,B19131_070MA,B19131_070EA,B19131_071EA,B19131_071MA,B19131_072EA,B19131_072MA,B19131_073EA,B19131_073MA,B19131_074MA,B19131_074EA,B19131_075EA,B19131_075MA,B19131_076EA,B19131_076MA,B19131_077MA,B19131_077EA,B19131_078EA,B19131_078MA,B19131_079MA,B19131_079EA,B19131_080MA,B19131_080EA,B19131_081EA,B19131_081MA,B19131_082MA,B19131_082EA,B19131_083MA,B19131_083EA,B19131_084EA,B19131_084MA,B19131_085EA,B19131_085MA,B19131_086MA,B19131_086EA,B19131_087MA,B19131_087EA,B19131_088EA,B19131_088MA,B19131_089MA,B19131_089EA,B19131_090EA,B19131_090MA,B19131_091EA,B19131_091MA,B19131_092MA,B19131_092EA,B19131_093EA,B19131_093MA,B19131_094MA,B19131_094EA,B19131_095MA,B19131_095EA,B19131_096EA,B19131_096MA,B19131_097MA,B19131_097EA,B19131_098EA,B19131_098MA,B19131_099MA,B19131_099EA,B19131_100MA,B19131_100EA,B19131_101MA,B19131_101EA,B19131_102MA,B19131_102EA,state
7575,1506,2938,1004,788,349,1294,732,533,323,0400000US01,1227884,13886,868946,13303,320947,7635,7043,1637,7320,1456,8518,1852,10639,1971,12774,1955,12460,1983,14866,1924,14505,2374,13505,2161,30574,3040,41967,3840,59774,3486,34683,2471,20278,2360,19664,2090,12377,1430,547999,9173,12301,1613,12462,1567,20721,2306,27446,2745,27955,2384,29846,2936,33300,2754,30208,2699,27914,2192,51878,3173,68318,3707,75799,4603,54094,3122,27315,2134,26876,2033,21566,2276,358938,9106,79308,5147,36351,3176,5325,1712,2374,660,3558,1248,3299,1105,2077,840,3711,1012,2166,972,2144,828,2159,819,3202,1020,2475,800,2068,841,897,396,0,273,350,352,546,336,42957,4022,3486,1044,2167,638,4198,1290,2785,898,3407,1096,3449,1033,3496,976,3080,907,2368,731,3933,1024,3803,1125,3158,985,1811,650,530,526,719,502,567,409,279630,7106,154094,6179,45507,3831,19404,2525,18210,2416,14970,2027,10289,1753,10217,1769,7345,1304,7014,1613,3812,863,7826,1444,4615,1192,3082,1084,1179,500,401,262,146,159,77,130,125536,4797,14041,2086,10214,1311,12790,1662,11083,1744,9992,1374,11191,1525,8562,1289,7848,1449,6532,1353,10594,1574,9561,1557,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
1129,556,508,279,352,250,91,114,73,114,0400000US02,170859,4484,127969,4713,61175,3742,404,435,574,365,763,406,658,379,1515,1031,1599,661,1379,539,2025,710,1563,611,4192,987,7791,1608,11832,1889,9979,1555,6501,1315,6182,1335,4218,925,66794,3270,679,353,501,271,823,366,1848,557,1947,590,2041,659,2066,719,2033,658,2518,698,4417,836,7869,1325,10136,1428,9319,1369,6775,1187,7442,1556,6380,1121,42890,2951,14211,1995,8547,1517,677,386,570,346,324,283,550,423,293,332,276,202,350,376,421,304,635,458,1167,656,1457,534,760,509,519,300,379,286,96,116,73,116,5664,1148,113,172,185,205,143,120,227,172,301,255,169,149,119,91,140,119,307,279,374,235,981,530,1071,493,693,363,690,546,26,45,125,125,28679,2389,19203,2084,2778,864,1922,507,2174,706,2175,820,960,404,1769,568,1303,613,976,425,315,236,2024,702,458,293,779,409,707,326,78,96,153,165,632,404,9476,1341,459,287,405,233,532,277,546,383,634,339,1098,445,500,299,834,426,706,441,705,381,904,384,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
9498,1729,5496,1121,2704,871,1548,641,681,465,0400000US04,1548428,12546,1134229,11959,441343,9068,12677,2088,12512,2240,11438,1903,19151,2143,18446,2513,21846,2763,20986,2955,20791,2752,17421,2108,38387,3640,55892,4803,70459,4422,47807,4155,26481,2799,23697,2524,23352,2141,692886,9457,16330,1822,13928,2156,20064,2393,28332,2786,30508,2623,34509,2693,35206,3011,35507,2894,32538,2933,65918,3510,88201,4202,104296,5439,69325,3447,45779,3146,37386,3000,35059,2577,414199,10751,123772,6438,65408,4527,6802,1530,5601,1625,4667,1215,4867,1427,4542,1155,4605,1227,4053,1210,4827,1378,2911,947,6782,1544,6013,1381,5810,1569,1479,609,1057,773,906,478,486,282,58364,4528,3978,1154,3193,1008,3973,1157,2978,947,4040,1176,5003,1369,4267,1245,3425,1007,3537,1184,4196,1226,6792,1304,6279,1406,3846,1345,1525,901,1013,492,319,231,290427,9668,173873,7791,37324,4018,18760,2191,13402,2042,17397,2690,14807,2202,14254,2369,11785,2029,8132,1490,6166,1347,12687,2028,8211,1615,6004,1274,2838,987,913,429,563,315,630,462,116554,4660,10344,1892,8042,1554,7893,1561,10224,1681,9360,1532,7107,1303,6720,1178,6432,1114,5208,1179,12946,1921,12351,1671,null,null,null,null,null,null,null,null,null,null,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
3883,942,2277,843,781,413,1054,561,225,148,0400000US05,761361,9102,554946,8664,202668,5426,3924,1013,4085,1103,7633,1429,8166,1582,8822,1604,12277,1703,11763,1835,10698,1631,11085,1794,20142,2249,27141,2327,33184,2194,17504,2141,10462,1495,8961,1465,6821,1226,352278,6067,7443,1446,8978,1201,14992,1650,19221,1860,22191,2404,23151,2304,20496,2184,21073,2264,18284,2173,33845,3095,49129,3261,49020,3172,27896,2255,15041,1895,11795,1774,9723,1694,206415,6997,51620,3660,24997,2494,4002,1190,1855,671,2207,878,3190,980,2239,648,2014,795,2164,757,1862,693,1615,755,1536,606,963,498,614,404,390,407,193,224,63,91,90,151,26623,2695,2637,878,1377,637,1842,697,1348,552,2238,876,2920,812,1949,838,1720,808,1301,592,2032,565,2194,708,3014,957,1553,595,333,228,63,108,102,133,154795,5586,91101,4647,25143,2791,11820,1963,12686,2138,10422,1866,7189,1481,6636,1506,3654,860,2307,778,1930,543,2933,809,3692,1095,1047,523,910,462,165,204,218,321,349,231,63694,3913,5284,1192,5628,1044,6525,1196,6230,1302,5321,1016,5346,1133,4834,1154,3312,910,4101,940,4563,920,4330,985,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
97239,5542,56698,3647,27297,2568,21437,2625,12112,1811,0400000US06,8507856,27357,6082566,27431,2858983,22379,58950,4055,61451,3916,83754,4720,104768,5399,108663,5058,116393,6348,116564,5599,118075,6073,108896,6526,205248,7773,283287,8112,408963,11551,331998,9612,217194,7083,260817,7334,273962,6660,3223583,19257,61293,4292,57564,3181,102805,4637,108575,5097,103381,5151,110278,4913,118346,4552,125236,5813,120443,4798,236473,7649,341013,8752,486242,9940,383433,11105,259267,7754,302512,7415,306722,8070,2425290,23938,736626,13582,337300,9217,33762,3332,25420,3122,29592,3278,29044,2918,21549,2496,20656,2405,18162,2398,18475,2223,14773,2215,27388,2978,33529,3028,27225,2520,17822,2598,7747,1655,7494,1581,4662,961,399326,11128,15044,2253,15340,2360,20650,2444,21585,2211,21340,2608,20958,2615,21134,2376,23455,2393,19887,2165,38714,3256,50118,4384,54989,4121,33527,2751,17903,2356,15901,2339,8781,1637,1688664,20560,907160,17380,182705,7217,86388,5059,80733,5117,78346,4959,61787,4547,59605,4359,54132,4039,46587,3250,39683,3917,58355,3994,64262,3693,49277,4347,21332,2059,8468,1438,7678,1435,7822,1602,781504,13896,45872,3599,39904,3105,41033,3760,50719,3158,50773,3857,47353,3394,45137,3853,44611,3384,40664,3595,71806,3755,88849,4972,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
9092,1216,4486,1180,1696,525,914,412,896,542,0400000US08,1258885,11852,959624,11391,411308,8872,5379,1270,6063,1313,8196,1563,9750,1796,12118,1805,12171,2238,16695,2512,17531,1900,14963,2237,28272,2604,50529,3147,73412,3644,58018,3068,33255,2920,33828,2820,31128,2474,548316,8607,10075,1602,7370,1222,12326,1503,15727,1911,17622,1833,22818,2340,21382,2041,19607,1844,24042,2289,46044,2744,64694,4065,92380,4714,67718,3898,43375,2709,43007,3258,40129,2364,299261,7662,90518,5464,49172,3838,4658,1257,3125,1199,1992,747,4110,1185,2789,1022,3583,1034,4292,1039,2915,1107,2010,719,5457,1315,5125,1257,4028,1042,1673,749,1188,594,880,580,1347,620,41346,3391,1596,697,1684,793,1562,634,3121,980,1471,552,3496,1337,2256,693,2415,688,1606,615,4576,1081,5244,1310,4707,1200,2680,815,1696,705,2743,1057,493,277,208743,6588,126774,4852,28061,2949,11241,1755,13477,2159,10626,1642,9991,1734,7976,1493,7057,1450,8345,1619,4492,1225,7195,1517,7056,1353,5897,1265,1779,583,1550,837,1316,716,715,391,81969,4362,4485,1074,4702,1002,6379,1372,6275,1171,4067,953,6396,1045,5352,1023,4870,1155,5427,1119,6994,1405,9938,1679,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
8576,1448,5000,1044,2790,902,2052,656,817,338,0400000US09,890770,9681,656629,8304,280390,5890,1589,535,2428,681,3405,974,4304,1150,4561,1271,4959,1440,6309,1377,7841,1560,6754,1385,18199,2229,24218,2333,47984,3710,40590,3063,29171,2809,32147,2558,45931,2372,376239,6846,4988,1190,3778,1068,5196,1067,7254,1296,9824,1366,11822,1289,12283,1283,14940,2263,10761,1615,24776,2156,38710,2348,65043,3298,49568,3077,35256,2536,39635,2343,42405,2972,234141,7197,58325,4281,25390,2417,1662,702,1323,709,1614,704,1781,767,1744,842,1986,848,1262,649,1082,569,1128,625,3066,967,2325,783,2559,807,1823,780,419,328,558,402,1058,454,32935,3232,600,442,1381,669,567,531,1010,486,1301,623,1408,640,1649,704,2085,668,1631,701,3067,772,4400,1152,4813,1188,3932,970,2292,818,1264,629,1535,578,175816,7052,102183,5947,17053,2559,9409,2002,7869,1374,8395,1841,6795,1390,4756,1299,7660,1742,6077,1482,3554,1095,7259,1450,8012,1569,8029,1452,3481,816,2053,868,1396,764,385,270,73633,4340,4488,1135,2204,727,5891,1398,3807,821,4456,1085,3970,916,4889,1140,4594,1336,2895,716,7777,1499,9427,1645,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
2046,625,996,453,581,437,95,111,234,199,0400000US10,221233,4976,161575,5137,62148,3463,660,429,554,419,1268,630,950,523,858,519,2745,854,1621,733,2007,728,1854,817,5105,1222,7248,1089,12958,1700,8442,1567,6557,1124,5518,1112,3803,788,99427,3822,755,374,915,498,2197,823,2848,669,2966,843,3594,862,4401,910,4557,862,4574,967,8671,1292,12594,1705,17023,1633,11802,1709,8462,1310,7833,1094,6235,952,59658,3401,14124,1989,7457,1567,435,308,604,423,486,416,757,522,497,395,222,269,571,410,478,342,305,213,701,425,766,439,668,410,617,377,128,150,114,137,108,155,6667,1263,205,203,19,34,223,313,373,222,468,269,287,234,298,221,825,493,526,389,957,463,560,280,828,436,660,489,150,178,224,182,64,108,45534,3090,26855,2528,4058,935,2524,728,2558,914,2103,1001,1875,767,2397,868,1925,915,2292,905,776,526,1894,753,1956,681,1748,647,502,292,190,158,0,265,57,93,18679,1908,743,375,811,462,1127,499,1681,738,859,438,1776,519,1268,586,1383,619,1149,494,1356,621,2574,898,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
2665,752,1322,518,281,211,448,315,536,369,0400000US11,101519,4051,57275,2762,20732,1762,89,101,230,229,218,270,798,485,416,393,917,485,183,218,231,227,380,362,746,525,766,395,1382,553,1643,602,2224,814,3415,855,7094,1095,36543,2572,878,488,40,66,506,340,501,306,454,276,739,404,907,405,780,327,699,412,2184,786,3098,879,4238,861,3834,853,3840,993,4903,1143,8942,1023,44244,2925,8740,1359,3582,862,343,298,0,292,51,82,420,326,652,448,103,120,58,97,345,309,45,78,0,292,335,297,497,324,199,206,196,261,179,176,159,187,5158,1103,437,383,177,196,434,334,345,331,46,78,282,246,418,385,106,119,284,303,495,253,143,136,819,457,226,300,0,292,617,412,329,296,35504,2451,17749,1770,4223,1075,2552,837,1290,535,1150,612,1200,568,1158,590,667,374,513,418,1235,613,1172,599,941,378,457,337,550,305,274,268,249,186,118,139,17755,1799,1965,734,1154,516,686,370,998,521,880,408,822,541,713,401,460,315,918,383,1719,614,2188,660,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
34692,2863,15440,2228,6471,1325,4395,906,2529,727,0400000US12,4556930,26451,3307884,24015,1141058,16403,27376,2898,25694,2709,33746,3635,42898,3442,43147,3728,49850,4213,50073,3769,53174,4575,47811,4029,103573,5485,140348,6667,194721,7494,128681,6971,69165,3955,64943,4189,65858,3765,2166826,17861,54282,3615,51305,4295,64268,4065,98099,5630,111684,6071,116197,5037,122193,5459,111926,5566,114696,4874,215118,6889,264868,8735,311534,7886,200633,7516,110985,4176,105984,5535,113054,6018,1249046,18326,313305,10773,140444,7156,16661,2473,10939,1792,11899,1992,13395,1928,11354,1855,9283,1824,9158,1822,10143,1917,6258,1487,11626,1855,11406,1996,8707,1647,4562,1150,1625,849,1706,802,1722,565,172861,7341,13166,1900,9399,1797,10316,1606,10148,1941,10643,2075,12394,2198,11399,1688,10765,1753,11189,2061,19461,2616,18217,2595,17890,2377,8002,1482,3945,1175,3918,1267,2009,804,935741,13120,508724,11409,108544,6046,47849,3807,54827,3921,50758,4034,46257,3797,37765,3528,32039,3542,25739,2572,21698,2764,27751,2846,23871,3097,19415,2434,6433,1292,2623,1023,1568,668,1587,679,427017,10396,33330,3015,30351,2720,33695,2828,36010,3061,32502,2701,33406,3244,27152,3034,27983,2725,24712,2711,42876,3382,41473,3940,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
