GEO_ID,B25006_001E,B25006_001M,B25006_002E,B25006_002M,B25006_003E,B25006_003M,B25006_004E,B25006_004M,B25006_005E,B25006_005M,B25006_006E,B25006_006M,B25006_007E,B25006_007M,B25006_008E,B25006_008M,B25006_009E,B25006_009M,B25006_010E,B25006_010M,NAME,B25006_001MA,B25006_001EA,B25006_002EA,B25006_002MA,B25006_003MA,B25006_003EA,B25006_004EA,B25006_004MA,B25006_005EA,B25006_005MA,B25006_006MA,B25006_006EA,B25006_007MA,B25006_007EA,B25006_008MA,B25006_008EA,B25006_009MA,B25006_009EA,B25006_010EA,B25006_010MA,state
0400000US01,1815152,10938,1311821,8656,450206,6620,8457,1271,17410,1597,159,108,11978,1716,15121,1754,665,360,14456,1682,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,254610,2804,191655,2636,8707,974,30918,1708,9261,1132,1591,489,1978,721,10500,1452,463,301,10037,1469,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2334050,12895,1963161,11524,92299,3213,76283,3494,54262,2757,3056,851,107890,5669,37099,3025,7392,1350,29707,2852,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1114902,8104,905918,6959,163728,3787,6184,1076,9653,1369,655,214,14838,1766,13926,1754,760,343,13166,1710,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,12406475,16820,8422400,21278,818644,8988,95234,4015,1514791,11176,36150,2617,1168222,16233,351034,9243,80177,4716,270857,7674,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1960585,9151,1702454,10472,73238,2714,17653,2039,43796,2346,1456,509,78968,4655,43020,3446,8818,1547,34202,3053,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1358809,7109,1117760,7836,120392,3375,2246,698,42773,1938,690,428,56052,3611,18896,2252,4064,1079,14832,2012,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,328765,4178,244876,3857,64340,2369,704,324,8880,787,471,316,4644,1059,4850,1027,1043,576,3807,833,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,252388,3730,111490,3335,121175,3683,838,419,10137,1311,44,73,3962,1061,4742,1141,682,347,4060,1118,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7035068,25739,5712179,20245,943114,10383,23174,2273,129832,4256,3777,1143,126755,6622,96237,5552,20339,2039,75898,5146,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
