GEO_ID,C08124_001E,C08124_001M,C08124_002E,C08124_002M,C08124_003E,C08124_003M,C08124_004E,C08124_004M,C08124_005E,C08124_005M,C08124_006E,C08124_006M,C08124_007E,C08124_007M,C08124_008E,C08124_008M,C08124_009E,C08124_009M,C08124_010E,C08124_010M,C08124_011E,C08124_011M,C08124_012E,C08124_012M,C08124_013E,C08124_013M,C08124_014E,C08124_014M,C08124_015E,C08124_015M,C08124_016E,C08124_016M,C08124_017E,C08124_017M,C08124_018E,C08124_018M,C08124_019E,C08124_019M,C08124_020E,C08124_020M,C08124_021E,C08124_021M,C08124_022E,C08124_022M,C08124_023E,C08124_023M,C08124_024E,C08124_024M,C08124_025E,C08124_025M,C08124_026E,C08124_026M,C08124_027E,C08124_027M,C08124_028E,C08124_028M,C08124_029E,C08124_029M,C08124_030E,C08124_030M,C08124_031E,C08124_031M,C08124_032E,C08124_032M,C08124_033E,C08124_033M,C08124_034E,C08124_034M,C08124_035E,C08124_035M,C08124_036E,C08124_036M,C08124_037E,C08124_037M,C08124_038E,C08124_038M,C08124_039E,C08124_039M,C08124_040E,C08124_040M,C08124_041E,C08124_041M,C08124_042E,C08124_042M,NAME,C08124_001EA,C08124_001MA,C08124_002EA,C08124_002MA,C08124_003EA,C08124_003MA,C08124_004EA,C08124_004MA,C08124_005MA,C08124_005EA,C08124_006MA,C08124_006EA,C08124_007EA,C08124_007MA,C08124_008EA,C08124_008MA,C08124_009EA,C08124_009MA,C08124_010MA,C08124_010EA,C08124_011MA,C08124_011EA,C08124_012EA,C08124_012MA,C08124_013MA,C08124_013EA,C08124_014EA,C08124_014MA,C08124_015MA,C08124_015EA,C08124_016EA,C08124_016MA,C08124_017MA,C08124_017EA,C08124_018MA,C08124_018EA,C08124_019EA,C08124_019MA,C08124_020MA,C08124_020EA,C08124_021EA,C08124_021MA,C08124_022EA,C08124_022MA,C08124_023MA,C08124_023EA,C08124_024EA,C08124_024MA,C08124_025MA,C08124_025EA,C08124_026EA,C08124_026MA,C08124_027EA,C08124_027MA,C08124_028MA,C08124_028EA,C08124_029EA,C08124_029MA,C08124_030EA,C08124_030MA,C08124_031EA,C08124_031MA,C08124_032MA,C08124_032EA,C08124_033EA,C08124_033MA,C08124_034MA,C08124_034EA,C08124_035MA,C08124_035EA,C08124_036EA,C08124_036MA,C08124_037MA,C08124_037EA,C08124_038MA,C08124_038EA,C08124_039MA,C08124_039EA,C08124_040EA,C08124_040MA,C08124_041EA,C08124_041MA,C08124_042EA,C08124_042MA,state
0400000US01,1951769,16535,620794,13841,325235,9602,490513,13215,201693,7099,304384,10464,9150,1525,1648706,17854,539081,13623,265977,8171,431333,12391,153303,6640,252046,9128,6966,1462,195292,9369,45824,3599,38288,3839,36082,3206,37522,3823,37335,4184,241,215,7964,2010,1723,836,4010,1237,982,547,305,245,944,449,0,273,44025,3838,10750,1813,8856,1512,8713,1734,5733,1387,8330,1614,1643,737,55782,4508,23416,2441,8104,1584,13403,1663,4830,1324,5729,1465,300,246,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,343424,5810,117592,4575,59041,4022,76743,4450,41500,3846,40387,2631,8161,1645,230116,5965,83579,4095,37656,3025,54613,4169,26173,2689,21847,2300,6248,1457,45376,4438,14460,1987,8462,1749,10673,2129,5968,1559,4821,1056,992,508,4034,1011,609,304,1184,559,1192,673,563,367,486,313,0,246,45093,2792,12739,1648,7947,1119,6627,1263,6440,1177,10952,1681,388,382,18805,3141,6205,1302,3792,1038,3638,1155,2356,760,2281,931,533,1056,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2621839,20723,926507,15991,505029,14831,703275,14189,234724,8448,244103,10441,8201,1674,2005289,19912,718133,14245,364936,11192,548926,12003,180791,7487,186865,9081,5638,1576,305162,11371,95031,6096,72702,6241,71439,5450,32755,3644,32236,3964,999,717,46829,4262,10343,1595,13598,2289,14409,2218,3480,1118,4999,1431,0,305,113670,6737,33388,2920,32529,3415,23823,2702,9900,2115,12532,2270,1498,1410,150889,6705,69612,4549,21264,3331,44678,3905,7798,1698,7471,1779,66,107,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1225968,11423,377491,8295,216025,6945,294826,9139,133918,5855,201473,7703,2235,735,1005284,11655,318334,7830,166123,6614,250642,8490,103149,4905,165025,6804,2011,702,138346,6434,34331,3270,30696,3259,25967,2674,22074,2577,25106,3017,172,171,6058,1619,1419,855,1607,835,1549,669,520,420,963,489,0,273,40021,4352,9434,1470,9375,1838,8325,2292,4901,1396,7934,1402,52,133,36259,3465,13973,1860,8224,2012,8343,1599,3274,936,2445,695,0,273,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,15921475,45956,5782139,37782,2891528,33767,3985234,30222,1485325,23675,1706846,24168,70403,5172,11650145,48881,4379825,36592,1927124,26500,3018436,27989,1031348,16795,1257570,20157,35842,3274,1831538,25012,518889,13045,363003,11377,407152,11622,291241,12439,243538,9706,7715,1592,820349,17602,256085,8936,226228,9553,203301,8090,42398,3996,90472,5547,1865,1153,795138,16954,244790,8000,204543,9628,167771,7735,81506,6399,82291,4684,14237,2377,824305,17515,382550,11172,170630,8697,188574,7347,38832,3261,32975,2940,10744,3597,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2428102,16248,955899,14051,410694,11557,598556,12648,226855,8114,217411,8091,18687,2198,1832425,17344,725544,12895,300914,9671,464190,10415,163806,7501,167635,7148,10336,1643,243835,10203,75341,4300,43805,3898,51992,4098,42938,4073,28821,3247,938,578,71917,4654,24467,2392,20882,2758,17712,2411,3461,1152,5286,1187,109,134,124793,7000,45338,3390,27846,3468,25540,2956,9399,1963,9504,1623,7166,1622,155132,7501,85209,5000,17247,2356,39122,3482,7251,1283,6165,1864,138,130,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1707618,10144,693416,11963,304903,10088,418657,10034,125020,6264,161218,6496,4404,1074,1360587,13792,569177,11466,226278,7826,334971,9273,101027,4941,127223,5344,1911,673,135921,6670,38654,3330,32513,3691,29686,2434,15722,2833,18991,2831,355,318,76791,5513,27825,2974,18164,2811,20877,2696,1959,777,7966,1671,0,281,67104,4740,21294,2965,20067,3291,16041,2162,3620,1227,4649,1024,1433,931,67215,4129,36466,2728,7881,1489,17082,2103,2692,926,2389,677,705,600,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,404044,6800,151885,5334,70750,4487,102027,4976,36949,3208,41410,3448,1023,425,324776,7163,124636,4533,53466,3580,83460,4516,30243,3117,32023,3053,948,409,38268,3154,12039,1682,8971,1634,8356,1506,4100,1025,4727,1114,75,113,12113,1864,3765,916,2145,700,3818,1125,854,688,1531,740,0,265,14125,2144,4093,983,4328,1198,3115,914,733,416,1856,1208,0,265,14762,1986,7352,1324,1840,599,3278,821,1019,442,1273,645,0,265,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,296717,5055,175498,4746,45360,4164,51172,3740,9035,1627,14280,2204,1372,786,103239,4438,60947,3650,12694,1910,17352,2435,3627,833,8266,1749,353,257,17630,2165,9977,1821,3241,856,2824,965,1230,764,311,257,47,81,113648,5057,63724,3521,20856,2909,21725,2530,3040,1005,4262,1179,41,68,47330,4016,31441,3390,6613,1373,6927,1522,1138,624,1140,599,71,119,14870,2071,9409,1556,1956,848,2344,815,0,292,301,369,860,719,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7865975,28271,2616877,25773,1598634,20846,2188566,27290,724711,17951,705847,14250,31340,2641,6286833,33757,2158277,23197,1216624,18289,1801950,25391,531853,14216,563845,12969,14284,2403,757260,18804,200872,9203,186417,9684,183919,8651,111073,8142,73202,5106,1777,799,161012,10861,25377,3047,58811,5332,37962,3797,24704,6910,13455,2364,703,837,298039,13310,67630,5653,92055,7163,63193,4690,32614,3894,38660,3912,3887,1497,362831,11267,164721,6879,44727,5045,101542,5780,24467,3536,16685,2849,10689,2156,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
