GEO_ID,C19001A_001E,C19001A_001M,C19001A_002E,C19001A_002M,C19001A_003E,C19001A_003M,C19001A_004E,C19001A_004M,C19001A_005E,C19001A_005M,C19001A_006E,C19001A_006M,C19001A_007E,C19001A_007M,C19001A_008E,C19001A_008M,C19001A_009E,C19001A_009M,C19001A_010E,C19001A_010M,C19001A_011E,C19001A_011M,NAME,C19001A_001MA,C19001A_001EA,C19001A_002EA,C19001A_002MA,C19001A_003MA,C19001A_003EA,C19001A_004MA,C19001A_004EA,C19001A_005EA,C19001A_005MA,C19001A_006MA,C19001A_006EA,C19001A_007MA,C19001A_007EA,C19001A_008MA,C19001A_008EA,C19001A_009MA,C19001A_009EA,C19001A_010EA,C19001A_010MA,C19001A_011MA,C19001A_011EA,state
0400000US01,1311821,8656,105222,5136,85179,3985,160166,5911,150614,6054,201823,7078,240637,7528,145086,6390,140654,4718,47985,3001,34455,2904,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,191655,2636,6565,1203,7201,1162,12345,1645,15440,1771,22244,2177,36648,2874,27427,2627,38628,2872,14280,2081,10877,1389,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1963161,11524,140719,6300,108743,4908,219656,8327,228147,7701,307470,8008,371623,8713,227828,8109,227073,7012,68874,3760,63028,3396,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,905918,6959,74528,4040,64219,3963,125815,5253,122337,5659,144348,5336,165092,6206,90684,4277,78302,3845,22656,2364,17937,2107,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8422400,21278,440500,10742,416823,10010,833165,14746,769175,14972,1082894,16586,1464658,17060,1058858,15838,1249024,16787,537324,10184,569979,10703,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1702454,10472,105193,5291,81266,4356,164025,6900,166992,5953,231744,7413,319005,8185,224376,5576,244519,6848,87026,4607,78308,3627,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1117760,7836,51558,3577,43040,3635,89821,4794,85451,4805,133096,5235,192047,7201,154536,5662,189284,6275,82564,3238,96363,4281,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,244876,3857,11741,1557,9553,1662,21248,2577,22763,2155,33346,2330,50576,2813,33546,2629,38837,3106,13010,1308,10256,1241,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,111490,3335,5793,1070,2334,970,5030,1181,5116,888,8620,1330,16935,1957,14003,1812,19593,1881,12884,1421,21182,1719,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,5712179,20245,419471,8925,338739,9390,690507,13954,673143,13169,895070,15556,1067564,16928,636841,13686,595134,13035,194084,7063,201626,7287,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2234071,10715,144959,5787,112496,4929,236869,7316,238298,8552,311130,8859,424688,9949,275491,8912,290780,8505,103808,5123,95552,3915,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,151792,4175,9493,1570,5785,1144,12927,1945,12320,1818,19343,1950,27596,2521,23110,2367,24485,2225,7385,1373,9348,1384,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,542518,5569,40889,3222,36462,2676,64656,3972,71337,4233,86535,4669,112521,4919,62357,3096,44819,3050,12966,1696,9976,1555,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,3641258,12552,196129,6889,157366,5913,371307,8170,366164,8360,491112,10746,683032,11770,489765,9775,516622,9179,186546,5418,183215,5199,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,2161152,9793,143092,5639,123371,6005,268382,6321,260237,7001,347297,8683,428633,9062,263313,6660,222079,6503,57459,3398,47289,2751,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,1150330,6168,66170,2720,64298,3096,136554,4968,133391,4771,183583,5819,239456,5675,146372,4193,123222,4618,32836,2297,24448,1665,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,973878,7528,58142,3955,52723,3405,113203,4399,110491,4852,150907,5428,194923,6651,121930,5163,111983,4706,32194,2330,27382,1866,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,1514253,9643,145465,6527,117939,5688,208057,7450,180138,6173,228100,7321,271881,8547,164667,5548,131771,5570,35509,2736,30726,2148,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1123462,7510,77097,4099,68564,4570,126941,4799,114140,5228,162411,6642,206691,6408,142941,5769,141136,5826,44678,3147,38863,3103,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,528114,5426,36291,2197,36095,2920,65601,3874,61032,3772,81374,3668,106956,4392,62885,3278,51946,2860,15234,1962,10700,1207,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,1333035,8220,55248,3464,39213,2734,90730,4134,95688,5182,136916,4802,235494,7473,186825,6040,252666,6792,116771,4282,123484,4433,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,2130179,10332,128242,5898,107391,5150,183398,6386,165684,6466,239650,7218,363266,9089,282586,8225,361872,8033,147308,5397,150782,4918,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,3124044,10401,204696,6928,177886,5441,387840,9569,355634,8580,488349,10567,614521,10419,375555,7936,335420,7867,103958,4111,80185,3522,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,1883418,8332,92946,4295,92403,3961,180301,5570,185421,5155,264035,5855,378566,6509,270921,6183,261022,5440,86422,3185,71381,3477,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,685806,5751,51697,3973,47188,3483,88575,4746,77688,3954,106434,5066,129336,5709,84095,4186,67079,3228,17626,2027,16088,1725,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,2002879,9625,144714,5638,122233,5731,246342,7663,230472,6538,312176,7996,382067,8289,238078,6036,213503,6864,59147,3433,54147,3571,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
