GEO_ID,B17020H_001E,B17020H_001M,B17020H_002E,B17020H_002M,B17020H_003E,B17020H_003M,B17020H_004E,B17020H_004M,B17020H_005E,B17020H_005M,B17020H_006E,B17020H_006M,B17020H_007E,B17020H_007M,B17020H_008E,B17020H_008M,B17020H_009E,B17020H_009M,B17020H_010E,B17020H_010M,B17020H_011E,B17020H_011M,B17020H_012E,B17020H_012M,B17020H_013E,B17020H_013M,B17020H_014E,B17020H_014M,B17020H_015E,B17020H_015M,B17020H_016E,B17020H_016M,B17020H_017E,B17020H_017M,NAME,B17020H_001EA,B17020H_001MA,B17020H_002EA,B17020H_002MA,B17020H_003EA,B17020H_003MA,B17020H_004EA,B17020H_004MA,B17020H_005MA,B17020H_005EA,B17020H_006MA,B17020H_006EA,B17020H_007MA,B17020H_007EA,B17020H_008MA,B17020H_008EA,B17020H_009EA,B17020H_009MA,B17020H_010MA,B17020H_010EA,B17020H_011EA,B17020H_011MA,B17020H_012MA,B17020H_012EA,B17020H_013MA,B17020H_013EA,B17020H_014EA,B17020H_014MA,B17020H_015MA,B17020H_015EA,B17020H_016MA,B17020H_016EA,B17020H_017MA,B17020H_017EA,state
0400000US01,3143931,4295,412021,17173,32622,3871,6705,1426,38839,4274,36875,4020,256414,10400,20539,2450,20027,2039,2731910,17367,138584,4208,27337,2301,185106,5466,198712,4825,1709519,11225,273670,2668,198982,2091,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,447762,1285,31176,4170,3922,1299,356,258,2455,934,1928,731,20515,2633,1370,920,630,379,416586,4589,23033,1400,5201,1214,28033,1863,32198,2251,290755,2808,24633,1166,12733,767,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3638511,4365,406995,17658,27679,3652,5553,1387,30315,3836,30757,3914,273170,10789,20858,2731,18663,2403,3231516,17457,150285,3761,30539,3027,191473,5855,201677,5551,1973670,10701,383530,2662,300342,2703,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2120165,4148,304692,11732,26395,2728,6134,1192,30933,3255,26757,3362,182507,7149,14778,2103,17188,1831,1815473,12009,94554,2912,20482,2395,123703,4053,128286,4068,1121166,7318,191037,2130,136245,2393,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,14651142,9970,1410920,29179,66512,5355,14568,2020,75666,5900,91018,6580,983209,20201,82596,4621,97351,5634,13240222,30280,567421,5330,117014,4921,735332,11301,836264,12419,8583839,20889,1257214,5179,1143138,7001,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3465807,4024,323115,13898,22077,2740,3716,1011,22280,3434,17902,2747,227252,9481,14466,1944,15422,1665,3142692,14387,168252,2771,34759,2642,221394,5612,215380,5460,2079140,10193,243143,2173,180624,1874,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2469867,5103,146727,9888,9150,1950,911,490,6909,1658,8933,2032,99320,6712,8769,1477,12735,1789,2323140,10609,99947,2383,23986,2338,162210,4156,179651,3795,1455229,7308,204978,1611,197139,2055,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,574976,1572,45286,4782,4025,1260,820,405,3208,935,2566,820,27865,3202,3851,1155,2951,629,529690,4858,23241,1284,4779,1107,31681,2060,37462,2116,335379,3292,54437,1163,42711,637,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,192065,1411,16327,1909,60,102,0,292,0,292,0,292,15526,1835,278,180,463,431,175738,2145,7600,230,1250,440,4761,628,3712,461,138363,2002,11542,380,8510,476,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,10675274,13324,1223852,23019,74281,5056,13184,2323,87365,5604,83337,6669,798483,14991,81819,5380,85383,5559,9451422,27077,379776,5223,83688,4733,494931,9318,573162,8706,5613526,17558,1212367,5764,1093972,6699,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,5299018,6828,592696,17803,47717,3964,10413,1570,48954,4223,49256,4337,382532,12801,27379,2873,26445,2535,4706322,18858,251124,4311,54748,4162,342255,6882,349683,6187,3007986,12858,415590,3204,284936,3175,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,296514,1612,34540,3588,1566,1076,51,87,1369,852,1463,672,26790,3131,1478,552,1823,660,261974,3598,10173,1298,1403,523,11469,1215,10915,1235,183930,3165,26767,696,17317,851,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
