GEO_ID,B08503_001E,B08503_001M,B08503_002E,B08503_002M,B08503_003E,B08503_003M,B08503_004E,B08503_004M,B08503_005E,B08503_005M,B08503_006E,B08503_006M,B08503_007E,B08503_007M,NAME,B08503_001EA,B08503_001MA,B08503_002EA,B08503_002MA,B08503_003EA,B08503_003MA,B08503_004EA,B08503_004MA,B08503_005EA,B08503_005MA,B08503_006EA,B08503_006MA,B08503_007EA,B08503_007MA,state
0400000US01,42.2,0.3,42.6,0.3,37.7,0.9,40.8,2.0,31.7,4.6,38.9,3.2,48.0,1.8,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,42.2,0.5,42.5,0.7,39.6,1.2,41.4,6.8,41.4,2.8,41.8,2.4,48.6,3.2,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,41.0,0.2,41.2,0.3,37.5,0.7,35.2,2.0,34.9,3.2,39.0,1.7,48.5,0.8,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,41.9,0.3,42.6,0.4,37.4,1.1,36.6,3.4,36.1,5.4,36.8,2.9,48.4,1.4,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,41.0,0.2,41.5,0.2,38.9,0.3,37.6,0.4,34.9,0.8,36.6,0.5,47.1,0.4,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,41.3,0.2,41.8,0.3,37.9,0.9,36.8,2.1,30.2,1.0,37.2,1.3,46.7,0.8,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,44.1,0.2,44.9,0.2,40.0,0.8,37.8,3.3,28.4,2.6,33.6,4.1,49.2,1.2,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,43.2,0.4,43.6,0.5,40.1,1.6,39.3,2.7,38.4,4.8,39.7,6.8,47.9,1.1,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,41.8,0.3,44.0,0.6,43.0,1.7,39.7,0.6,31.3,1.3,38.8,3.8,47.3,2.9,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,43.0,0.1,43.4,0.2,39.0,0.5,38.1,1.6,37.2,1.8,38.6,0.9,47.6,0.5,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,41.4,0.2,41.9,0.2,37.8,0.6,38.1,1.4,31.5,2.5,38.8,1.8,44.5,0.9,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,42.9,0.3,43.1,0.6,42.1,1.5,45.8,2.2,36.3,3.5,35.9,3.4,48.6,4.0,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,40.9,0.3,41.1,0.4,39.4,1.4,45.9,4.6,34.8,6.4,37.2,3.6,44.0,1.8,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,41.9,0.2,42.6,0.2,39.5,0.5,37.7,0.6,33.1,0.9,39.8,1.1,46.0,0.6,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,42.3,0.2,42.8,0.2,38.7,0.8,34.0,4.4,29.9,2.0,41.1,2.4,46.3,0.9,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,42.5,0.3,43.2,0.3,38.9,1.0,32.0,4.7,32.9,2.0,38.0,2.6,47.4,0.9,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,42.0,0.3,42.4,0.3,38.4,0.9,35.9,10.2,34.7,3.3,39.8,4.0,47.5,1.1,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,41.5,0.2,41.9,0.3,38.8,0.8,38.6,3.3,34.1,3.2,42.4,4.9,42.5,2.1,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,41.4,0.2,42.1,0.3,37.0,0.9,35.6,2.3,36.2,3.4,38.2,1.4,49.3,1.6,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,44.7,0.2,45.0,0.3,41.6,1.3,43.2,8.8,32.8,4.8,39.3,4.1,49.3,1.4,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,42.8,0.2,43.4,0.3,38.9,1.0,36.7,1.3,30.4,1.4,39.5,2.7,47.7,1.0,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,43.1,0.2,44.5,0.2,40.4,0.7,36.0,0.7,30.2,0.9,35.1,2.0,46.5,0.9,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,42.7,0.1,43.1,0.2,39.3,0.7,33.8,2.9,30.6,1.9,39.4,2.8,48.2,0.7,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,42.3,0.2,42.6,0.2,40.0,0.8,36.0,1.5,34.1,1.9,42.4,2.5,46.8,0.7,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,41.8,0.3,42.1,0.3,39.0,1.0,39.4,8.2,33.6,4.9,43.2,3.3,48.3,1.8,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,42.1,0.2,42.6,0.2,39.3,0.7,38.2,1.9,30.5,1.5,38.3,2.8,45.9,1.1,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,43.8,0.4,44.0,0.5,40.2,1.0,36.5,13.4,42.9,1.8,40.3,5.2,50.1,1.4,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,42.3,0.3,42.5,0.3,37.8,1.5,36.3,1.7,41.1,2.9,40.2,4.2,48.5,1.3,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,40.9,0.3,41.0,0.3,39.7,0.9,36.4,1.6,38.5,3.8,40.1,2.6,48.2,1.9,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,44.4,0.3,44.6,0.4,37.6,3.4,42.8,7.1,38.8,9.9,46.5,5.1,48.8,1.5,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,43.8,0.2,44.5,0.2,41.0,0.7,38.5,0.9,37.6,1.1,37.1,1.7,48.3,0.6,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,42.3,0.4,42.4,0.4,39.0,0.9,41.9,4.7,41.6,2.8,38.7,4.6,50.4,1.3,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,42.5,0.2,44.6,0.2,41.5,0.6,39.2,0.2,37.0,0.7,38.8,0.9,47.1,0.6,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,41.6,0.2,42.1,0.2,37.5,0.6,35.9,2.6,28.6,1.3,39.3,1.9,45.9,0.9,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,42.0,0.4,42.1,0.5,39.4,1.8,37.6,10.9,43.7,4.0,37.6,3.9,48.3,1.6,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,43.1,0.2,43.5,0.2,39.5,0.4,41.0,1.6,30.8,2.0,39.3,2.0,47.4,1.0,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,41.1,0.3,41.6,0.3,38.0,0.9,31.7,3.1,31.5,3.2,37.9,3.3,46.0,1.7,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,42.2,0.2,43.1,0.3,38.1,0.7,36.1,1.3,33.9,1.9,36.6,1.8,48.3,1.0,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,43.6,0.2,44.3,0.2,40.2,0.5,39.7,0.6,33.5,1.5,39.5,1.5,47.8,0.6,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,42.9,0.3,43.6,0.4,40.9,2.0,38.1,6.5,27.2,3.7,29.8,2.0,47.8,1.8,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,41.8,0.3,42.5,0.3,37.9,0.8,35.7,4.4,26.7,4.0,33.0,4.6,44.7,2.1,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,42.6,0.5,42.4,0.5,39.6,1.1,44.0,21.1,39.5,3.8,41.9,9.7,52.2,1.8,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,42.2,0.2,42.4,0.3,38.5,0.8,43.3,2.4,35.1,3.8,41.4,2.8,47.2,0.7,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,40.5,0.1,40.9,0.2,37.3,0.3,39.3,0.8,32.1,1.7,36.5,0.8,46.1,0.6,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,37.3,0.3,37.8,0.4,35.1,0.9,35.7,3.5,26.1,1.2,35.6,2.7,44.0,1.4,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,45.0,0.4,45.8,0.5,40.8,1.9,32.4,4.6,34.1,6.0,34.6,6.4,48.9,1.5,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
