GEO_ID,B14007G_001E,B14007G_001M,B14007G_002E,B14007G_002M,B14007G_003E,B14007G_003M,B14007G_004E,B14007G_004M,B14007G_005E,B14007G_005M,B14007G_006E,B14007G_006M,B14007G_007E,B14007G_007M,B14007G_008E,B14007G_008M,B14007G_009E,B14007G_009M,B14007G_010E,B14007G_010M,B14007G_011E,B14007G_011M,B14007G_012E,B14007G_012M,B14007G_013E,B14007G_013M,B14007G_014E,B14007G_014M,B14007G_015E,B14007G_015M,B14007G_016E,B14007G_016M,B14007G_017E,B14007G_017M,B14007G_018E,B14007G_018M,B14007G_019E,B14007G_019M,NAME,B14007G_001EA,B14007G_001MA,B14007G_002MA,B14007G_002EA,B14007G_003EA,B14007G_003MA,B14007G_004EA,B14007G_004MA,B14007G_005MA,B14007G_005EA,B14007G_006EA,B14007G_006MA,B14007G_007MA,B14007G_007EA,B14007G_008EA,B14007G_008MA,B14007G_009MA,B14007G_009EA,B14007G_010MA,B14007G_010EA,B14007G_011EA,B14007G_011MA,B14007G_012EA,B14007G_012MA,B14007G_013MA,B14007G_013EA,B14007G_014EA,B14007G_014MA,B14007G_015EA,B14007G_015MA,B14007G_016EA,B14007G_016MA,B14007G_017EA,B14007G_017MA,B14007G_018MA,B14007G_018EA,B14007G_019MA,B14007G_019EA,state
0400000US01,57801,4238,27664,3430,2106,750,2207,753,2317,886,848,501,1902,785,1927,914,2013,677,1026,463,1492,726,1318,629,993,494,1254,573,1813,886,1301,607,4490,1194,657,334,30137,2878,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,45154,3993,22833,2677,944,391,1402,565,1134,519,1548,746,1273,507,1035,377,1930,548,1958,694,928,492,1336,535,1008,642,1913,762,1012,503,1261,519,3737,924,414,257,22321,2350,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,149660,9221,75012,6551,5180,1161,4936,1498,4405,1018,4474,1277,6176,1658,3805,934,4703,1245,3547,1080,4158,1049,4392,1337,3782,872,4840,1200,3006,878,3567,1189,12532,2152,1509,616,74648,5080,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,44502,4102,21699,3050,2102,741,1542,654,825,373,1280,560,1441,604,1170,497,1116,528,1251,615,2489,875,1460,619,334,246,1042,463,1200,557,1092,674,2849,1155,506,407,22803,2461,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1437531,30187,691934,20000,54638,3775,42475,3620,40833,3471,36770,3728,40091,3875,36135,3149,33210,3067,35401,2920,34646,3323,33831,3452,33243,3542,34460,2921,38969,3369,35434,2837,141084,7974,20714,2685,745597,17135,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,156892,8008,81103,6087,5341,1117,4399,1026,5941,1307,4445,900,3604,843,5008,961,5049,1134,4930,1044,3711,842,5509,1315,4246,1083,3284,892,4541,1322,4191,963,14226,2283,2678,890,75789,4845,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,81086,5822,42774,3839,3425,1051,3620,1083,1772,673,2904,1001,2685,865,2166,784,2687,835,2588,773,3284,997,1541,543,2893,981,2811,724,1389,729,1373,575,6084,1207,1552,657,38312,3717,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,20731,2981,10789,2079,1694,674,1131,701,520,340,744,496,250,209,843,632,45,63,780,435,287,232,350,263,772,524,955,567,535,368,582,368,1164,594,137,164,9942,1740,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,370166,15116,173556,10238,14420,2281,9032,1626,8725,1568,10047,1591,8358,1838,10683,1978,10371,2007,9067,1843,10119,1642,9154,1682,9794,1696,7564,1480,8164,1576,7316,1556,35275,3795,5467,1179,196610,8549,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
