GEO_ID,B25116_001E,B25116_001M,B25116_002E,B25116_002M,B25116_003E,B25116_003M,B25116_004E,B25116_004M,B25116_005E,B25116_005M,B25116_006E,B25116_006M,B25116_007E,B25116_007M,B25116_008E,B25116_008M,B25116_009E,B25116_009M,B25116_010E,B25116_010M,B25116_011E,B25116_011M,B25116_012E,B25116_012M,B25116_013E,B25116_013M,B25116_014E,B25116_014M,B25116_015E,B25116_015M,B25116_016E,B25116_016M,B25116_017E,B25116_017M,B25116_018E,B25116_018M,B25116_019E,B25116_019M,B25116_020E,B25116_020M,B25116_021E,B25116_021M,B25116_022E,B25116_022M,B25116_023E,B25116_023M,NAME,B25116_001MA,B25116_001EA,B25116_002MA,B25116_002EA,B25116_003EA,B25116_003MA,B25116_004MA,B25116_004EA,B25116_005EA,B25116_005MA,B25116_006EA,B25116_006MA,B25116_007MA,B25116_007EA,B25116_008MA,B25116_008EA,B25116_009EA,B25116_009MA,B25116_010EA,B25116_010MA,B25116_011MA,B25116_011EA,B25116_012EA,B25116_012MA,B25116_013MA,B25116_013EA,B25116_014MA,B25116_014EA,B25116_015EA,B25116_015MA,B25116_016EA,B25116_016MA,B25116_017MA,B25116_017EA,B25116_018EA,B25116_018MA,B25116_019MA,B25116_019EA,B25116_020EA,B25116_020MA,B25116_021EA,B25116_021MA,B25116_022EA,B25116_022MA,B25116_023MA,B25116_023EA,state
0400000US01,1815152,10938,1272846,12811,308488,8380,99535,5879,71818,4007,64579,3752,72556,3272,964358,12349,534743,9907,212396,5284,137877,3879,79342,2987,542306,10228,203220,7251,122028,5955,35837,2990,19205,1907,26150,2394,339086,9502,289604,8742,27558,2444,13455,1526,8469,1280,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,254610,2804,162785,3878,33202,2824,13783,1909,10090,1483,6020,1079,3309,732,129583,4563,82105,3753,30911,1878,11545,1339,5022,742,91825,3849,30496,2672,20081,2182,5883,1188,2172,648,2360,800,61329,3083,54132,2900,5370,1037,1481,621,346,197,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2334050,12895,1522938,13309,348474,9423,114651,6078,81913,4808,69582,3626,82328,3688,1174464,11434,634792,9156,247738,5252,180102,3868,111832,3745,811112,13574,272817,8871,171867,6975,43381,3594,25176,2587,32393,2742,538295,13151,456592,12165,49034,3314,20236,2429,12433,1629,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1114902,8104,751568,9191,173496,5897,55407,3911,39263,2972,34085,2278,44741,2848,578072,8735,316719,7712,123387,3607,89365,2630,48601,2230,363334,8761,128631,4839,71645,4167,23857,2405,13442,1596,19687,1874,234703,7223,202667,6805,18268,1902,7777,1277,5991,1041,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,12406475,16820,6903175,27402,1376362,17209,415657,8824,333191,8790,265979,7639,361535,9261,5526813,24929,3111274,21506,1230751,13450,699433,8792,485355,7119,5503300,25377,1624945,20619,946306,16043,278562,8536,175414,6805,224663,5978,3878355,26442,3251412,23878,378353,7979,151362,6525,97228,3753,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1960585,9151,1292792,11248,300468,7946,118957,5332,77138,3731,50653,2789,53720,2991,992324,11072,606105,9187,213417,4115,110970,2835,61832,2496,667793,12023,254612,7985,166370,6170,36690,2646,21603,1909,29949,2318,413181,11118,364568,9598,30803,2838,9239,1313,8571,1274,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1358809,7109,923617,8286,201512,6501,68015,4197,43813,2923,36115,2703,53569,3104,722105,8744,417048,7159,158127,3813,87525,2835,59405,2668,435192,8295,182870,6082,97600,5326,30298,2609,21124,2148,33848,2790,252322,7589,210285,6362,23286,2328,10695,1360,8056,1205,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,328765,4178,239884,4113,55706,3268,18705,2069,12448,1863,10850,1542,13703,1363,184178,4576,101649,3414,41487,2197,26441,1520,14601,1237,88881,3899,31284,2604,18456,2210,4351,1038,4053,851,4424,820,57597,3225,49422,3048,4550,930,2335,761,1290,492,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,252388,3730,107193,3924,45465,3173,22163,2355,9754,1394,6458,1255,7090,896,61728,3067,34195,2424,12237,1460,8222,972,7074,917,145195,4932,75571,4187,50376,3807,10563,1673,7278,1117,7354,1137,69624,3683,57765,3157,7210,1433,3276,871,1373,454,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7035068,25739,4794130,25332,1224732,18705,349507,11874,273325,8039,260332,7895,341568,8826,3569398,25498,1782987,20032,759086,10215,607751,8562,419574,8746,2240938,20709,788296,12103,452423,10225,130662,5862,83246,4308,121965,5359,1452642,18708,1202391,18837,143274,5927,62499,3879,44478,3272,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
