GEO_ID,C17001C_001E,C17001C_001M,C17001C_002E,C17001C_002M,C17001C_003E,C17001C_003M,C17001C_004E,C17001C_004M,C17001C_005E,C17001C_005M,C17001C_006E,C17001C_006M,C17001C_007E,C17001C_007M,C17001C_008E,C17001C_008M,C17001C_009E,C17001C_009M,C17001C_010E,C17001C_010M,C17001C_011E,C17001C_011M,C17001C_012E,C17001C_012M,C17001C_013E,C17001C_013M,C17001C_014E,C17001C_014M,C17001C_015E,C17001C_015M,C17001C_016E,C17001C_016M,C17001C_017E,C17001C_017M,C17001C_018E,C17001C_018M,C17001C_019E,C17001C_019M,NAME,C17001C_001EA,C17001C_001MA,C17001C_002EA,C17001C_002MA,C17001C_003EA,C17001C_003MA,C17001C_004EA,C17001C_004MA,C17001C_005EA,C17001C_005MA,C17001C_006EA,C17001C_006MA,C17001C_007EA,C17001C_007MA,C17001C_008EA,C17001C_008MA,C17001C_009MA,C17001C_009EA,C17001C_010EA,C17001C_010MA,C17001C_011EA,C17001C_011MA,C17001C_012EA,C17001C_012MA,C17001C_013EA,C17001C_013MA,C17001C_014MA,C17001C_014EA,C17001C_015EA,C17001C_015MA,C17001C_016MA,C17001C_016EA,C17001C_017EA,C17001C_017MA,C17001C_018MA,C17001C_018EA,C17001C_019EA,C17001C_019MA,state
0400000US01,26823,2997,7540,2603,3119,1200,1167,562,1916,873,36,46,4421,1769,1483,1044,2749,937,189,189,19283,2485,9419,1549,2833,995,5969,1203,617,346,9864,1475,2325,778,6594,1195,945,430,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,100154,3465,21841,2829,9557,1402,4221,932,5097,794,239,161,12284,1823,3704,754,8145,1435,435,257,78313,3560,39069,2351,13747,1764,22983,1694,2339,389,39244,2294,12047,1008,23791,1724,3406,447,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,275136,7261,101556,8425,49333,4757,19808,2676,26793,3255,2732,638,52223,4536,18331,2632,30022,3066,3870,607,173580,8506,82892,4692,26120,2737,51493,3874,5279,809,90688,4862,25725,2566,57268,3355,7695,863,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,18092,2283,2826,1057,978,545,218,285,692,449,68,106,1848,744,695,595,1144,495,9,15,15266,2209,6946,1326,2188,820,4639,1020,119,102,8320,1599,1533,602,6254,1222,533,312,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,272623,12438,67510,7103,31825,3705,11789,2214,19148,2285,888,458,35685,4273,10026,2237,24195,2935,1464,544,205113,10361,101060,6017,23605,3130,68129,4192,9326,1289,104053,6136,24750,3412,69254,4132,10049,1395,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,46972,5457,12166,3103,6373,1695,1993,978,4300,1160,80,101,5793,1736,1828,762,3692,1156,273,274,34806,4011,17725,2320,4156,1268,12205,1518,1364,406,17081,2278,3623,924,12248,1883,1210,460,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,66527,6982,13734,3988,6649,2211,2007,1104,4642,1516,0,310,7085,2274,2389,1212,4303,1272,393,296,52793,5861,29117,4022,6754,2287,20039,3078,2324,939,23676,3310,4928,1413,17332,2640,1416,537,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
