GEO_ID,B01001I_001E,B01001I_001M,B01001I_002E,B01001I_002M,B01001I_003E,B01001I_003M,B01001I_004E,B01001I_004M,B01001I_005E,B01001I_005M,B01001I_006E,B01001I_006M,B01001I_007E,B01001I_007M,B01001I_008E,B01001I_008M,B01001I_009E,B01001I_009M,B01001I_010E,B01001I_010M,B01001I_011E,B01001I_011M,B01001I_012E,B01001I_012M,B01001I_013E,B01001I_013M,B01001I_014E,B01001I_014M,B01001I_015E,B01001I_015M,B01001I_016E,B01001I_016M,B01001I_017E,B01001I_017M,B01001I_018E,B01001I_018M,B01001I_019E,B01001I_019M,B01001I_020E,B01001I_020M,B01001I_021E,B01001I_021M,B01001I_022E,B01001I_022M,B01001I_023E,B01001I_023M,B01001I_024E,B01001I_024M,B01001I_025E,B01001I_025M,B01001I_026E,B01001I_026M,B01001I_027E,B01001I_027M,B01001I_028E,B01001I_028M,B01001I_029E,B01001I_029M,B01001I_030E,B01001I_030M,B01001I_031E,B01001I_031M,NAME,B01001I_001MA,B01001I_001EA,B01001I_002EA,B01001I_002MA,B01001I_003EA,B01001I_003MA,B01001I_004MA,B01001I_004EA,B01001I_005MA,B01001I_005EA,B01001I_006MA,B01001I_006EA,B01001I_007MA,B01001I_007EA,B01001I_008EA,B01001I_008MA,B01001I_009MA,B01001I_009EA,B01001I_010MA,B01001I_010EA,B01001I_011MA,B01001I_011EA,B01001I_012MA,B01001I_012EA,B01001I_013MA,B01001I_013EA,B01001I_014EA,B01001I_014MA,B01001I_015MA,B01001I_015EA,B01001I_016MA,B01001I_016EA,B01001I_017MA,B01001I_017EA,B01001I_018EA,B01001I_018MA,B01001I_019MA,B01001I_019EA,B01001I_020EA,B01001I_020MA,B01001I_021MA,B01001I_021EA,B01001I_022MA,B01001I_022EA,B01001I_023EA,B01001I_023MA,B01001I_024MA,B01001I_024EA,B01001I_025MA,B01001I_025EA,B01001I_026MA,B01001I_026EA,B01001I_027MA,B01001I_027EA,B01001I_028EA,B01001I_028MA,B01001I_029MA,B01001I_029EA,B01001I_030MA,B01001I_030EA,B01001I_031EA,B01001I_031MA,state
0400000US01,182795,2389,98816,3262,12800,1607,8503,1649,7708,1571,4083,1257,2575,943,12943,1500,13366,1721,9863,1467,15046,2163,7039,1301,2981,832,1184,505,716,479,9,19,83979,3457,11553,1464,11148,2078,7852,1600,3568,1028,2138,759,8984,1367,10969,1739,6388,1580,11129,1820,5819,1249,2112,633,815,350,1299,635,205,231,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,40705,1527,21763,1656,2301,375,1724,603,2732,661,830,313,687,551,2904,692,2266,1053,1090,478,3244,528,2226,414,1362,455,283,241,0,246,114,139,18942,866,2515,429,1617,520,2251,501,962,337,827,320,1690,385,1645,307,943,425,2694,625,2141,578,1055,366,372,296,169,142,61,81,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1908914,-555555555,958177,1355,105127,699,93322,3896,105934,3947,56183,980,37261,949,84154,1237,76826,1124,74391,951,129071,1274,97127,1132,55928,396,27619,1014,12577,1049,2657,595,950737,1354,100610,707,100367,4320,91819,4281,55199,875,35336,982,77525,1360,73763,1233,71031,701,130927,1267,98215,1291,60968,346,33030,786,16586,1176,5361,1125,Arizona,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,182674,1776,97770,2638,13498,1576,11347,1747,8801,1528,4515,868,4065,1068,9783,1554,10395,1637,8267,1318,14783,1599,7198,1275,3817,727,772,396,408,336,121,150,84904,2680,10188,1426,10534,1708,8827,1256,5233,856,2838,780,7878,1759,7405,1383,7007,1177,12073,1543,7173,1281,3562,804,1277,526,745,487,164,179,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,14089411,-555555555,7120073,1924,690642,1028,665110,12159,666175,12180,417972,1124,282352,1392,645955,1646,610117,1178,570753,1182,1044449,1747,777321,1631,429397,1331,194926,1038,95401,2543,29503,2733,6969338,1925,662333,1069,648610,9825,632258,9886,394510,838,260545,1756,582682,1886,556340,1152,538735,1036,1007941,1786,777259,1344,470225,1036,247695,1296,135870,3439,54335,3242,California,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1047700,-555555555,534464,2201,59377,1347,56246,2656,50442,2707,28845,1097,19026,1134,42790,1308,46215,1750,44776,1621,75620,1914,54467,1434,31992,981,15869,975,6842,827,1957,602,513236,2204,53651,1332,55221,2640,47090,2669,26623,1103,18274,1165,41496,1315,41540,1919,41590,1299,71342,1659,52901,1143,33761,855,17202,918,8700,944,3845,923,Colorado,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,481901,-555555555,239045,932,23265,387,21948,1954,22563,1903,13276,540,9593,507,22117,754,20619,629,20695,781,35573,630,26498,710,13962,380,6984,574,1236,475,716,450,242856,932,23997,405,22429,1772,20906,1702,12634,537,8811,575,20082,720,20257,533,19927,742,37126,749,28306,789,15577,418,8079,564,4110,654,615,306,Connecticut,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,73842,-555555555,38170,799,4644,525,3825,784,3361,656,2360,501,1927,669,3738,691,3685,111,3700,441,4808,530,3734,638,1298,423,958,367,62,103,70,117,35672,799,4445,527,4534,956,2500,844,1691,400,2032,558,2578,842,3330,552,2884,134,5682,805,2701,810,1887,522,576,334,525,353,307,285,Delaware,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,55256,-555555555,28823,477,2291,-555555555,2056,504,1062,504,1126,477,490,339,3731,339,3807,-555555555,3470,-555555555,4962,-555555555,3146,-555555555,1633,-555555555,908,168,141,167,0,292,26433,477,2244,-555555555,2066,551,840,551,573,477,1189,580,2724,580,3442,-555555555,2924,-555555555,4014,-555555555,2801,-555555555,1896,-555555555,1096,293,286,229,338,275,District of Columbia,*****,null,null,null,null,*****,null,null,null,null,null,null,null,null,null,null,*****,null,*****,null,*****,null,*****,null,*****,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,null,null,*****,null,*****,null,*****,null,*****,null,null,*****,null,null,null,null,null,null,11
0400000US12,4253197,-555555555,2103194,4246,158724,2045,157346,6059,155072,5366,98573,1891,68295,2058,177409,4682,163198,2445,162642,2155,330147,2969,281751,1994,166632,1597,105592,1180,62001,2944,15812,2310,2150003,4244,153582,1782,144321,5194,153563,4939,88633,1850,64684,2128,155563,2428,149531,1384,156904,1844,333059,2334,293356,1799,198352,1109,138285,1364,86039,2797,34131,2705,Florida,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
