B27008_014M,B27008_015E,B27008_015M,B27008_016E,B27008_016M,B27008_017E,B27008_017M,B27008_018E,B27008_018M,B27008_019E,B27008_019M,B27008_020E,B27008_020M,B27008_021E,B27008_021M,B27008_022E,B27008_022M,B27008_023E,B27008_023M,B27008_024E,B27008_024M,B27008_025E,B27008_025M,B27008_026E,B27008_026M,B27008_027E,B27008_027M,B27008_028E,B27008_028M,B27008_029E,B27008_029M,B27008_030E,B27008_030M,B27008_031E,B27008_031M,B27008_032E,B27008_032M,B27008_033E,B27008_033M,B27008_034E,B27008_034M,B27008_035E,B27008_035M,B27008_036E,B27008_036M,B27008_037E,B27008_037M,B27008_038E,B27008_038M,B27008_039E,B27008_039M,B27008_040E,B27008_040M,B27008_041E,B27008_041M,B27008_042E,B27008_042M,B27008_043E,B27008_043M,B27008_044E,B27008_044M,B27008_045E,B27008_045M,B27008_046E,B27008_046M,B27008_047E,B27008_047M,B27008_048E,B27008_048M,B27008_049E,B27008_049M,B27008_050E,B27008_050M,B27008_051E,B27008_051M,B27008_052E,B27008_052M,B27008_053E,B27008_053M,B27008_054E,B27008_054M,B27008_055E,B27008_055M,B27008_056E,B27008_056M,B27008_057E,B27008_057M,GEO_ID,B27008_001E,B27008_001M,B27008_002E,B27008_002M,B27008_003E,B27008_003M,B27008_004E,B27008_004M,B27008_005E,B27008_005M,B27008_006E,B27008_006M,B27008_007E,B27008_007M,B27008_008E,B27008_008M,B27008_009E,B27008_009M,B27008_010E,B27008_010M,B27008_011E,B27008_011M,B27008_012E,B27008_012M,B27008_013E,B27008_013M,B27008_014E,B27008_014MA,B27008_015EA,B27008_015MA,B27008_016EA,B27008_016MA,B27008_017MA,B27008_017EA,B27008_018EA,B27008_018MA,B27008_019EA,B27008_019MA,B27008_020MA,B27008_020EA,B27008_021EA,B27008_021MA,B27008_022MA,B27008_022EA,B27008_023MA,B27008_023EA,B27008_024EA,B27008_024MA,B27008_025EA,B27008_025MA,B27008_026EA,B27008_026MA,B27008_027EA,B27008_027MA,B27008_028MA,B27008_028EA,B27008_029MA,B27008_029EA,B27008_030MA,B27008_030EA,B27008_031EA,B27008_031MA,B27008_032EA,B27008_032MA,B27008_033MA,B27008_033EA,B27008_034MA,B27008_034EA,B27008_035MA,B27008_035EA,B27008_036EA,B27008_036MA,B27008_037EA,B27008_037MA,B27008_038EA,B27008_038MA,B27008_039MA,B27008_039EA,B27008_040MA,B27008_040EA,B27008_041MA,B27008_041EA,B27008_042EA,B27008_042MA,B27008_043EA,B27008_043MA,B27008_044MA,B27008_044EA,B27008_045MA,B27008_045EA,B27008_046MA,B27008_046EA,B27008_047EA,B27008_047MA,B27008_048EA,B27008_048MA,B27008_049MA,B27008_049EA,B27008_050MA,B27008_050EA,B27008_051MA,B27008_051EA,B27008_052EA,B27008_052MA,B27008_053EA,B27008_053MA,B27008_054EA,B27008_054MA,B27008_055MA,B27008_055EA,B27008_056MA,B27008_056EA,B27008_057EA,B27008_057MA,NAME,B27008_001EA,B27008_001MA,B27008_002EA,B27008_002MA,B27008_003EA,B27008_003MA,B27008_004MA,B27008_004EA,B27008_005EA,B27008_005MA,B27008_006MA,B27008_006EA,B27008_007MA,B27008_007EA,B27008_008EA,B27008_008MA,B27008_009EA,B27008_009MA,B27008_010EA,B27008_010MA,B27008_011MA,B27008_011EA,B27008_012MA,B27008_012EA,B27008_013MA,B27008_013EA,B27008_014EA,state
4193,292383,4241,4319,1167,288064,4257,327871,3597,9294,1579,318577,3869,278439,2068,19176,1769,259263,2974,167773,1670,19633,2095,148140,2474,104404,1650,16788,1395,87616,1617,2438487,5571,178951,3512,6783,1504,172168,3690,374278,4155,12319,2048,361959,4229,242582,2992,6610,1322,235972,3372,305380,3742,7952,1439,297428,3694,312342,3234,6454,1141,305888,3516,350702,2437,12348,1903,338354,2884,308834,1550,18195,1634,290639,2393,198107,1475,19490,1880,178617,2252,167311,1992,17073,1795,150238,2215,0400000US01,4702769,1669,2264282,5426,188286,3666,6844,1474,181442,3876,392123,4605,12137,1989,379986,4826,236302,3998,5797,1242,230505,4103,276701,4038,4622,1115,272079,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
1809,45510,1647,2818,974,42692,1594,56100,1441,3377,995,52723,1699,46546,828,3132,642,43414,1009,17286,721,2292,587,14994,876,7716,531,1120,392,6596,608,338129,1869,30792,1532,5447,1113,25345,1703,59125,1729,7873,1620,51252,2260,33878,1226,4079,1073,29799,1459,47646,1232,7205,1528,40441,1740,44094,1124,3924,1133,40170,1414,54924,1223,4431,1051,50493,1610,40842,895,2134,607,38708,977,16632,733,873,345,15759,840,10196,716,1113,378,9083,674,0400000US02,689249,1872,351120,2257,33667,1374,5711,1127,27956,1653,64400,2292,6342,1517,58058,2473,31899,1604,2053,672,29846,1731,47996,1811,2583,1029,45413,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
3338,397024,2712,4114,1210,392910,2951,405281,2351,9956,1532,395325,2814,345382,1304,14690,1752,330692,2042,236711,1478,20669,1832,216042,2432,163821,1344,18302,1986,145519,2165,3204789,3753,266773,4076,7017,1684,259756,4191,527809,3948,11792,2008,516017,4503,301742,2276,6108,1439,295634,2803,419039,2229,8374,1610,410665,2915,403764,2259,7183,1574,396581,2733,427190,2282,10973,2085,416217,3230,383444,1067,14296,1849,369148,2029,262884,1449,16255,1829,246629,2245,212144,1791,17145,1744,194999,2345,0400000US04,6310174,2001,3105385,4053,280992,4198,6833,1448,274159,4469,554357,3998,13445,2780,540912,4738,311034,2932,5245,1279,305789,3238,410783,3438,5801,1361,404982,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
4368,176951,3383,2022,756,174929,3436,194640,2628,4039,1056,190601,2789,167002,1479,7330,1208,159672,1927,110609,1659,10939,1425,99670,1989,69077,1312,8556,1278,60521,1499,1472078,6426,114999,2861,2647,1000,112352,2880,234308,3343,4584,1070,229724,3473,143662,3459,4036,1359,139626,3666,180206,3706,3279,858,176927,3792,185609,2837,2806,807,182803,2758,204804,2473,4842,979,199962,2621,183372,1520,7565,1360,175807,1979,122305,1789,10079,1477,112226,2043,102813,1833,8154,1469,94659,2448,0400000US05,2867611,1672,1395533,6537,123400,3855,2416,912,120984,3952,236667,4150,5370,1009,231297,4474,141178,3650,3175,1162,138003,3759,176009,4209,2615,822,173394,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
7135,2529992,6352,16761,2454,2513231,6633,2548771,5249,29821,3191,2518950,5638,1945031,2998,44536,3255,1900495,4632,1048445,2855,48705,3108,999740,4322,776866,2601,53732,3113,723134,4313,18663090,7973,1485825,6604,32797,2690,1453028,6839,3053666,6254,42431,3730,3011235,6852,1877834,4146,32715,3191,1845119,5280,2591500,4970,38350,3277,2553150,5221,2573727,4032,27675,2384,2546052,4258,2633301,3387,29308,2687,2603993,3835,2095577,3072,36730,2657,2058847,3765,1221552,2250,49785,3099,1171767,3825,1130108,5102,56909,3161,1073199,5931,0400000US06,36815569,4634,18152479,9393,1561392,7583,33366,3666,1528026,8083,3187808,8503,44679,4679,3143129,8804,1955217,5842,24670,2341,1930547,6626,2598957,6290,26099,3125,2572858,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
3623,343914,3236,6312,1201,337602,3248,360658,2825,9359,1252,351299,2929,293958,1614,14367,1694,279591,2312,146421,1406,12251,1293,134170,2003,93179,1394,11574,1166,81605,1593,2494633,6292,201887,3482,8758,1436,193129,3405,394482,3430,15061,2315,379421,4529,234438,2515,8724,1306,225714,3034,347950,3192,9972,1440,337978,3336,343257,2746,10145,1427,333112,2904,370437,2084,11559,1884,358878,2761,305647,1338,13728,1438,291919,1971,161686,1503,11571,1257,150115,1959,134849,1680,12110,1435,122739,2009,0400000US08,4956873,2211,2462240,6565,211470,3516,10197,1390,201273,3866,418369,3965,16672,2614,401697,4576,238879,3036,5926,1475,232953,3190,355392,3429,5138,1263,350254,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
2091,230998,1889,1083,383,229915,1959,275921,1397,1750,551,274171,1569,212900,922,2862,780,210038,1170,118138,1194,3501,768,114637,1326,89184,946,4507,817,84677,1169,1815796,2076,119947,1900,2545,909,117402,2165,278918,1811,2600,746,276318,1987,158570,1138,1527,577,157043,1283,210731,1611,2902,809,207829,1841,246441,1323,1697,615,244744,1522,293984,1363,1957,676,292027,1522,229702,936,2095,638,227607,1136,137034,1007,3171,724,133863,1268,140469,1476,2628,623,137841,1621,0400000US09,3519913,989,1704117,2239,122941,2309,2816,1033,120125,2316,293204,2575,2864,1228,290340,2890,159817,1219,1942,1414,157875,1685,201014,1967,1318,696,199696,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
1245,53961,1172,1809,704,52152,1383,63102,1088,1785,574,61317,1267,51844,537,1396,472,50448,579,33638,645,2200,694,31438,849,21834,430,2259,567,19575,790,459027,1568,33216,1216,1244,458,31972,1347,67347,1258,2898,948,64449,1697,45443,839,872,540,44571,976,55722,869,1444,481,54278,981,60068,1086,2084,632,57984,1278,68267,1034,1580,766,66687,1179,59019,642,1861,585,57158,744,38261,534,1791,518,36470,707,31684,603,1766,637,29918,880,0400000US10,885232,820,426205,1636,33808,1245,1493,717,32315,1299,71675,1300,1834,667,69841,1438,45213,1107,1160,518,44053,1167,51130,1188,424,304,50706,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
729,39492,482,331,229,39161,564,36965,472,788,452,36177,696,28562,707,534,337,28028,715,16043,328,842,507,15201,613,10693,299,925,433,9768,498,315912,1126,18119,842,700,413,17419,981,31652,1067,907,504,30745,1210,47566,165,769,450,46797,463,66057,135,378,225,65679,246,40470,649,433,228,40037,698,37367,444,461,304,36906,531,34300,418,331,207,33969,470,20849,634,421,275,20428,681,19532,939,603,354,18929,978,0400000US11,594282,401,278370,1152,19737,841,225,213,19512,867,31482,1086,0,292,31482,1086,37037,748,226,276,36811,798,58359,713,187,204,58172,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
6220,1160503,5173,14939,2155,1145564,5478,1306011,3636,38046,3242,1267965,4621,1096600,3232,50510,3234,1046090,4144,803499,3244,62589,3097,740910,4724,632400,2822,65207,3060,567193,3973,9554571,6409,631346,6717,17423,2502,613923,6988,1318476,7586,36802,3918,1281674,8523,854559,4148,24799,3411,829760,5304,1118472,5184,20125,2552,1098347,5059,1224525,5011,25381,2717,1199144,4901,1394513,3995,35697,2731,1358816,4710,1240024,2596,50301,2911,1189723,3892,920438,2950,60125,3377,860313,4630,852218,3159,62614,3463,789604,4483,0400000US12,18534081,4456,8979510,7602,656093,6433,19697,3077,636396,6757,1384332,6378,34532,3711,1349800,7702,858468,6021,18311,2669,840157,6718,1081604,6473,13138,2165,1068466,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
