GEO_ID,C05003_001E,C05003_001M,C05003_002E,C05003_002M,C05003_003E,C05003_003M,C05003_004E,C05003_004M,C05003_005E,C05003_005M,C05003_006E,C05003_006M,C05003_007E,C05003_007M,C05003_008E,C05003_008M,C05003_009E,C05003_009M,C05003_010E,C05003_010M,C05003_011E,C05003_011M,C05003_012E,C05003_012M,C05003_013E,C05003_013M,C05003_014E,C05003_014M,C05003_015E,C05003_015M,NAME,C05003_001MA,C05003_001EA,C05003_002MA,C05003_002EA,C05003_003MA,C05003_003EA,C05003_004EA,C05003_004MA,C05003_005MA,C05003_005EA,C05003_006EA,C05003_006MA,C05003_007MA,C05003_007EA,C05003_008MA,C05003_008EA,C05003_009EA,C05003_009MA,C05003_010EA,C05003_010MA,C05003_011MA,C05003_011EA,C05003_012EA,C05003_012MA,C05003_013MA,C05003_013EA,C05003_014MA,C05003_014EA,C05003_015EA,C05003_015MA,state
0400000US01,4785298,-555555555,2322243,4446,582172,4168,572304,4163,9868,2203,1740071,2707,1662134,4451,77937,3929,2463055,4446,553256,3837,544673,3895,8583,2061,1909799,2111,1837591,3724,72208,3440,Alabama,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,713985,-555555555,372436,1772,98315,1802,97272,1966,1043,547,274121,911,250312,2103,23809,2346,341549,1772,90070,1594,88629,1592,1441,571,251479,691,228453,1925,23026,1867,Alaska,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6413737,-555555555,3190700,2757,836848,2347,804878,3720,31970,3442,2353852,1788,1971672,9198,382180,9247,3223037,2757,795563,2187,763338,4644,32225,3978,2427474,1483,2017186,10186,410288,9975,Arizona,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2921606,-555555555,1430837,4306,361533,3844,353859,3691,7674,1445,1069304,2970,1010217,4477,59087,4239,1490769,4306,349597,3779,342562,3902,7035,1380,1141172,2305,1083301,3267,57871,2920,Arkansas,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,37349363,-555555555,18570505,5032,4765530,3847,4475578,11603,289952,11235,13804975,3716,9145695,30655,4659280,30538,18778858,5032,4541699,3677,4260417,11818,281282,10763,14237159,3747,9317244,31883,4919915,31563,California,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5049071,-555555555,2531362,3639,631702,3008,609509,3841,22193,2651,1899660,2783,1673161,7309,226499,7324,2517709,3639,596976,3005,574117,3479,22859,2348,1920733,2037,1695179,7333,225554,7346,Colorado,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3577073,-555555555,1738918,1627,416344,1272,400196,2506,16148,2294,1322574,1220,1102507,7507,220067,7638,1838155,1627,398944,1288,379841,2392,19103,2458,1439211,1201,1207409,7416,231802,7380,Connecticut,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,899769,-555555555,436608,1451,105506,1060,102855,1326,2651,901,331102,968,299763,2341,31339,2239,463161,1451,100563,969,97523,1191,3040,726,362598,908,327760,2230,34838,2149,Delaware,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,604453,-555555555,285729,795,51496,652,49059,1019,2437,819,234233,366,194637,2848,39596,2855,318724,795,49771,582,48182,889,1589,908,268953,485,230841,3016,38112,2953,District of Columbia,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,18843326,-555555555,9212548,5887,2048698,4828,1931393,9676,117305,7862,7163850,5489,5544361,18106,1619489,17927,9630778,5887,1950821,4919,1844044,8561,106777,6613,7679957,3566,5865485,18934,1814472,18754,Florida,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
