GEO_ID,B24031_001E,B24031_001M,B24031_002E,B24031_002M,B24031_003E,B24031_003M,B24031_004E,B24031_004M,B24031_005E,B24031_005M,B24031_006E,B24031_006M,B24031_007E,B24031_007M,B24031_008E,B24031_008M,B24031_009E,B24031_009M,B24031_010E,B24031_010M,B24031_011E,B24031_011M,B24031_012E,B24031_012M,B24031_013E,B24031_013M,B24031_014E,B24031_014M,B24031_015E,B24031_015M,B24031_016E,B24031_016M,B24031_017E,B24031_017M,B24031_018E,B24031_018M,B24031_019E,B24031_019M,B24031_020E,B24031_020M,B24031_021E,B24031_021M,B24031_022E,B24031_022M,B24031_023E,B24031_023M,B24031_024E,B24031_024M,B24031_025E,B24031_025M,B24031_026E,B24031_026M,B24031_027E,B24031_027M,NAME,B24031_001EA,B24031_001MA,B24031_002EA,B24031_002MA,B24031_003EA,B24031_003MA,B24031_004MA,B24031_004EA,B24031_005EA,B24031_005MA,B24031_006MA,B24031_006EA,B24031_007EA,B24031_007MA,B24031_008MA,B24031_008EA,B24031_009EA,B24031_009MA,B24031_010MA,B24031_010EA,B24031_011MA,B24031_011EA,B24031_012MA,B24031_012EA,B24031_013EA,B24031_013MA,B24031_014MA,B24031_014EA,B24031_015MA,B24031_015EA,B24031_016EA,B24031_016MA,B24031_017MA,B24031_017EA,B24031_018MA,B24031_018EA,B24031_019EA,B24031_019MA,B24031_020EA,B24031_020MA,B24031_021MA,B24031_021EA,B24031_022MA,B24031_022EA,B24031_023MA,B24031_023EA,B24031_024MA,B24031_024EA,B24031_025EA,B24031_025MA,B24031_026MA,B24031_026EA,B24031_027MA,B24031_027EA,state
0400000US29,30190,177,26213,2402,23772,2059,46376,8702,33226,2176,36684,624,36899,1318,20241,543,40534,877,36276,1405,60275,4909,41834,2168,37853,1505,41049,909,30349,1788,32855,1908,46662,2156,50091,10603,22578,1487,30428,353,33355,1184,27630,889,12208,374,17997,1907,11745,363,21101,763,37412,1039,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,26950,668,29551,2433,25162,2558,50811,4938,33959,2327,32095,2197,32788,4325,19883,1663,40431,4578,36434,4832,58528,11345,30655,4745,30381,1850,32280,3890,24008,5375,30574,2004,40034,4479,19029,38591,20606,2057,26757,1126,27637,2865,26413,1106,12663,1103,14552,2673,12337,905,20628,1594,41148,1178,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,29999,413,30159,1549,29534,2198,45600,6002,32063,756,34301,2118,37175,2604,19766,876,47691,1992,46252,2142,55204,5959,37709,6006,36625,1200,38393,2690,31081,3401,31381,1284,44842,3383,46018,8106,20476,1614,28735,1499,31418,955,27021,823,11380,688,12123,3712,11232,756,21721,1252,35602,1361,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,31523,294,60804,2728,22056,2138,67140,8743,36618,2041,37155,2438,40683,4791,22623,1458,40140,2766,35234,4283,64388,6653,42271,4987,36125,1443,40228,4236,32388,3652,32476,2623,45964,4091,40434,26272,25368,1737,37603,1480,38842,2344,36974,1368,27008,474,30676,898,25866,617,21915,1113,55402,3610,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,35728,524,25979,8015,24957,7920,200163,310627,36578,2563,46779,2162,45834,5368,24445,1846,50419,1788,47230,4793,72028,11100,46289,5624,44110,3146,48899,4043,33029,5514,44248,4409,58663,5488,56627,14931,25063,1876,35297,1276,36861,1713,33790,2206,15068,1970,16546,4362,14638,2081,22398,2298,47426,2887,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,41212,205,31924,4581,29672,5189,49603,36114,41288,653,51621,790,44550,2394,25204,726,44191,2352,40607,903,70883,3075,62411,4149,62429,2768,71888,1597,40399,1889,50496,674,65526,1953,87064,16113,25900,1082,41075,487,47126,915,36735,638,19417,835,22326,1394,17947,1014,24776,1401,61888,1219,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,28281,1097,35268,2807,25538,2244,45297,6242,26428,2295,34777,3302,31873,4290,20323,1262,39659,3824,37161,3442,43856,5185,29150,4141,29546,2495,31339,4213,26704,2798,39724,3092,59102,3374,26028,18971,19763,2699,30647,672,31637,893,28982,2695,15295,799,20515,2550,13471,1368,20292,1692,42038,1320,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,36187,156,22344,1642,20529,1537,45598,9858,36545,599,40312,487,41105,714,21665,384,41719,434,40227,559,61917,2355,51742,803,51276,457,60818,748,37747,1579,45714,735,56992,1228,60575,11245,27130,762,36846,293,42145,467,34355,697,18775,634,25245,1404,17101,367,21363,443,56757,782,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,29968,311,21066,1518,19523,2471,41441,10388,26252,470,34390,1009,36882,1535,21222,428,37224,1875,34073,2369,51950,2644,40432,1855,39594,1430,42109,747,30608,1396,35167,1203,50479,1018,32221,9797,21699,782,31340,309,33489,1064,30260,425,12167,386,16936,1698,11848,387,21507,760,40633,618,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,30301,337,40847,1296,31496,2849,66255,8301,35975,2364,35885,1603,38790,4483,20570,1492,45078,3846,39568,4146,62020,8120,35188,6206,31170,1002,31298,1066,30698,4688,28418,3736,38679,4293,31441,1576,19946,3902,28960,1550,33886,3247,26309,841,12579,1870,16622,2720,11875,1178,21847,2302,40475,1781,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
