GEO_ID,B17001H_001E,B17001H_001M,B17001H_002E,B17001H_002M,B17001H_003E,B17001H_003M,B17001H_004E,B17001H_004M,B17001H_005E,B17001H_005M,B17001H_006E,B17001H_006M,B17001H_007E,B17001H_007M,B17001H_008E,B17001H_008M,B17001H_009E,B17001H_009M,B17001H_010E,B17001H_010M,B17001H_011E,B17001H_011M,B17001H_012E,B17001H_012M,B17001H_013E,B17001H_013M,B17001H_014E,B17001H_014M,B17001H_015E,B17001H_015M,B17001H_016E,B17001H_016M,B17001H_017E,B17001H_017M,B17001H_018E,B17001H_018M,B17001H_019E,B17001H_019M,B17001H_020E,B17001H_020M,B17001H_021E,B17001H_021M,B17001H_022E,B17001H_022M,B17001H_023E,B17001H_023M,B17001H_024E,B17001H_024M,B17001H_025E,B17001H_025M,B17001H_026E,B17001H_026M,B17001H_027E,B17001H_027M,B17001H_028E,B17001H_028M,B17001H_029E,B17001H_029M,B17001H_030E,B17001H_030M,B17001H_031E,B17001H_031M,B17001H_032E,B17001H_032M,B17001H_033E,B17001H_033M,B17001H_034E,B17001H_034M,B17001H_035E,B17001H_035M,B17001H_036E,B17001H_036M,B17001H_037E,B17001H_037M,B17001H_038E,B17001H_038M,B17001H_039E,B17001H_039M,B17001H_040E,B17001H_040M,B17001H_041E,B17001H_041M,B17001H_042E,B17001H_042M,B17001H_043E,B17001H_043M,B17001H_044E,B17001H_044M,B17001H_045E,B17001H_045M,B17001H_046E,B17001H_046M,B17001H_047E,B17001H_047M,B17001H_048E,B17001H_048M,B17001H_049E,B17001H_049M,B17001H_050E,B17001H_050M,B17001H_051E,B17001H_051M,B17001H_052E,B17001H_052M,B17001H_053E,B17001H_053M,B17001H_054E,B17001H_054M,B17001H_055E,B17001H_055M,B17001H_056E,B17001H_056M,B17001H_057E,B17001H_057M,B17001H_058E,B17001H_058M,B17001H_059E,B17001H_059M,NAME,B17001H_001MA,B17001H_001EA,B17001H_002EA,B17001H_002MA,B17001H_003EA,B17001H_003MA,B17001H_004MA,B17001H_004EA,B17001H_005MA,B17001H_005EA,B17001H_006MA,B17001H_006EA,B17001H_007EA,B17001H_007MA,B17001H_008EA,B17001H_008MA,B17001H_009MA,B17001H_009EA,B17001H_010MA,B17001H_010EA,B17001H_011EA,B17001H_011MA,B17001H_012MA,B17001H_012EA,B17001H_013EA,B17001H_013MA,B17001H_014EA,B17001H_014MA,B17001H_015EA,B17001H_015MA,B17001H_016EA,B17001H_016MA,B17001H_017MA,B17001H_017EA,B17001H_018EA,B17001H_018MA,B17001H_019MA,B17001H_019EA,B17001H_020EA,B17001H_020MA,B17001H_021EA,B17001H_021MA,B17001H_022MA,B17001H_022EA,B17001H_023EA,B17001H_023MA,B17001H_024EA,B17001H_024MA,B17001H_025EA,B17001H_025MA,B17001H_026EA,B17001H_026MA,B17001H_027MA,B17001H_027EA,B17001H_028EA,B17001H_028MA,B17001H_029EA,B17001H_029MA,B17001H_030MA,B17001H_030EA,B17001H_031EA,B17001H_031MA,B17001H_032MA,B17001H_032EA,B17001H_033EA,B17001H_033MA,B17001H_034EA,B17001H_034MA,B17001H_035MA,B17001H_035EA,B17001H_036EA,B17001H_036MA,B17001H_037MA,B17001H_037EA,B17001H_038MA,B17001H_038EA,B17001H_039EA,B17001H_039MA,B17001H_040MA,B17001H_040EA,B17001H_041EA,B17001H_041MA,B17001H_042MA,B17001H_042EA,B17001H_043MA,B17001H_043EA,B17001H_044EA,B17001H_044MA,B17001H_045EA,B17001H_045MA,B17001H_046EA,B17001H_046MA,B17001H_047EA,B17001H_047MA,B17001H_048MA,B17001H_048EA,B17001H_049EA,B17001H_049MA,B17001H_050EA,B17001H_050MA,B17001H_051MA,B17001H_051EA,B17001H_052MA,B17001H_052EA,B17001H_053EA,B17001H_053MA,B17001H_054EA,B17001H_054MA,B17001H_055EA,B17001H_055MA,B17001H_056MA,B17001H_056EA,B17001H_057MA,B17001H_057EA,B17001H_058MA,B17001H_058EA,B17001H_059MA,B17001H_059EA,state
0400000US01,3143931,4295,412021,17173,183629,9139,17642,2741,3322,1010,20973,2934,8424,1669,4612,1174,5578,1159,32137,3157,18755,2345,21101,2809,23309,2510,15925,1671,7265,1321,4586,852,228392,10480,14980,2070,3383,989,17866,2672,10197,1942,2411,811,5653,1248,34054,3043,30830,2733,27453,2403,31159,2738,21691,2135,13274,1827,15441,1683,2731910,17367,1356420,8999,69490,2999,14508,1853,92041,3831,52670,2981,17509,1983,35247,2173,106250,3327,162543,3019,184316,3108,215230,2688,194427,1901,129783,1528,82406,1083,1375490,11176,69094,2455,12829,1728,93065,3712,45040,3053,15852,1626,32394,1964,96551,4399,156275,3313,178100,2844,212770,2852,203057,2081,143887,1925,116576,1788,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,447762,1285,31176,4170,14298,1929,2292,925,144,115,1075,638,403,271,275,273,193,161,2046,755,2116,660,1796,629,1634,603,1472,529,697,542,155,183,16878,3020,1630,759,212,225,1380,579,450,317,131,159,476,402,3669,1209,3699,1023,1256,543,1375,580,1452,551,673,481,475,252,416586,4589,221016,2416,11826,1049,2986,845,14104,1410,8606,1396,3458,810,4849,758,16993,1050,33455,987,30846,1101,40230,767,34607,578,13101,669,5955,427,195570,3124,11207,830,2215,832,13929,1440,6979,1630,2742,795,5564,815,14359,1336,27462,1161,28229,559,35980,684,28594,613,11532,640,6778,535,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3638511,4365,406995,17658,187526,10142,14070,2787,3100,1255,15645,2387,8203,1931,2824,845,5214,1355,30776,3383,24147,2414,22965,2657,24728,2809,22455,2749,7279,1359,6120,1227,219469,10590,13609,2147,2453,848,14670,2448,5968,1547,2317,859,6231,1282,35766,3507,29905,2962,27437,3350,28835,3105,26156,2974,13579,1967,12543,1655,3231516,17457,1604384,10618,77412,2857,14550,1978,96456,4054,52652,3190,16999,2052,36522,2488,112364,3197,193543,3051,201803,3022,242331,3104,238053,2710,186765,1398,134934,1444,1627132,10277,72873,2400,15989,2094,95017,3755,47398,3516,17282,1879,30824,2193,100248,3656,183448,3058,191878,3268,249193,3197,260809,3009,196765,1993,165408,2029,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2120165,4148,304692,11732,133703,6067,13997,1705,3666,928,15575,2257,6805,1403,1962,841,4702,1192,19405,2251,14583,1928,14161,1867,15935,1759,12991,1538,5411,1233,4510,928,170989,7724,12398,1780,2468,877,15358,2120,6912,1477,2055,764,4321,1079,28037,2882,23624,2450,20662,2211,17809,2237,15300,1686,9367,1350,12678,1529,1815473,12009,908691,7170,49538,2112,10743,1763,62135,3209,32635,2284,12378,1558,21133,1818,71270,2879,111557,3172,119805,2511,139381,2144,127021,1767,92430,1321,58665,1180,906782,8729,45016,1816,9739,1388,61568,2763,29843,2487,11257,1610,21040,1750,58837,3238,102008,3240,115759,2586,140815,2349,134713,1776,98607,1597,77580,2057,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,14651142,9970,1410920,29179,671278,17807,33677,3338,7425,1404,39647,3996,22017,2691,7337,1638,18527,2740,119440,6504,91527,5463,70252,4080,104886,5306,93764,4924,33752,2892,29027,2512,739642,15871,32835,3508,7143,1307,36019,3847,17514,2499,6161,1074,19462,2820,129466,5122,91350,5451,82125,4540,108301,6548,92098,4624,48844,3276,68324,4584,13240222,30280,6590046,19772,290205,3610,58990,3458,375392,8387,207620,7293,70749,4002,151851,4428,473104,8762,835673,6278,888386,4652,1137648,5647,1014925,5364,603935,3263,481568,3069,6650176,17438,277216,3441,58024,3754,359940,7071,197167,7106,70347,3542,138530,4165,438676,7632,789720,5434,841618,4927,1117316,6678,1046773,4847,653279,3465,661570,5552,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3465807,4024,323115,13898,152869,8605,11185,1899,1710,691,12025,2052,4351,1374,1660,677,4032,970,37466,4040,20847,2594,14076,2083,17497,2031,17196,1902,6580,1252,4244,872,170246,8709,10892,1723,2006,802,10255,1915,3550,1061,1560,576,2749,686,34939,3296,26345,2241,18891,2245,21494,2533,18501,1948,7886,1157,11178,1327,3142692,14387,1572276,9333,87109,2133,16197,1825,114983,3975,52872,3043,18594,1814,38010,2049,111001,3937,222713,3123,229580,2247,263183,2331,225881,2026,116423,1351,75730,1090,1570416,9364,81143,1759,18562,2314,106411,3597,51701,3277,18847,1828,35356,1955,103124,3318,208157,2639,217696,2658,265584,2660,232221,2027,126720,1286,104894,1496,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2469867,5103,146727,9888,64431,5317,4532,1169,484,379,3730,1046,2192,833,1077,612,1506,828,10561,2463,9423,1761,5805,1122,10930,1744,8177,1599,2708,776,3306,827,82296,6515,4618,1293,427,360,3179,1075,2217,874,529,309,1412,605,13424,2254,9552,1633,8865,1767,12978,1934,9605,1468,6061,1099,9429,1529,2323140,10609,1136249,6036,51227,1585,11853,1705,83532,2760,44629,2258,15179,1520,32532,1325,74683,2678,116266,2108,153407,1407,206053,1829,170377,1696,97002,811,79509,903,1186891,6600,48720,1467,12133,1482,78678,2822,42155,2468,14388,1620,30768,1858,68209,2550,116605,1835,157807,1786,212946,2028,178876,1621,107976,1245,117630,1927,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,574976,1572,45286,4782,20719,3257,2643,1134,368,277,1859,707,916,429,218,221,297,307,4123,1677,1846,598,2066,702,1940,872,2122,702,1889,735,432,272,24567,2553,1382,504,452,297,1349,528,584,433,0,265,551,367,4066,1196,2544,721,1944,748,3293,940,3921,1186,1962,766,2519,557,529690,4858,257838,3295,11349,1116,2142,759,15911,1464,9255,1228,3613,772,6425,703,20595,1818,29899,668,32687,738,43510,906,38428,720,25327,734,18697,355,271852,2639,11892,601,2637,700,15770,1260,8584,1304,3986,791,5599,822,20187,1291,30096,725,34458,754,44833,940,40686,1182,29110,807,24014,604,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,192065,1411,16327,1909,6170,1538,0,292,0,292,0,292,0,292,0,292,0,292,1318,638,2575,1042,396,258,569,308,993,492,89,104,230,213,10157,1526,60,102,0,292,0,292,0,292,0,292,0,292,5410,1310,3067,894,254,198,708,384,236,184,189,152,233,246,175738,2145,87875,1904,3948,72,630,298,2594,445,847,357,293,188,548,188,6624,1256,26776,1083,16052,297,11067,318,8952,546,5712,336,3832,213,87863,1602,3652,221,620,331,2167,399,1167,304,251,158,606,158,8203,1292,29067,860,13167,279,8392,384,10063,198,5830,152,4678,306,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,10675274,13324,1223852,23019,563872,13938,39022,3575,6540,1460,43952,3930,21070,2982,7733,1784,13770,2531,79295,4699,68403,5295,58404,4951,90339,5725,76020,5118,34160,3052,25164,2404,659980,13858,35259,3040,6644,1583,43413,3526,20044,2815,6373,1270,14347,2089,92133,5194,81772,4303,75342,4104,88191,5519,88584,4873,47659,3774,60219,4543,9451422,27077,4649770,15608,191286,4085,42420,3559,251131,7005,149338,5781,49289,3349,102679,3209,313233,6741,482811,5781,567753,5082,727325,6309,702812,5364,581372,3353,488321,2929,4801652,16208,188490,3643,41268,3473,243800,6109,130504,5224,45679,3146,95673,3090,294389,5785,465036,4709,548747,4087,747889,5890,763531,4969,630995,3988,605651,5183,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
