GEO_ID,B05003A_001E,B05003A_001M,B05003A_002E,B05003A_002M,B05003A_003E,B05003A_003M,B05003A_004E,B05003A_004M,B05003A_005E,B05003A_005M,B05003A_006E,B05003A_006M,B05003A_007E,B05003A_007M,B05003A_008E,B05003A_008M,B05003A_009E,B05003A_009M,B05003A_010E,B05003A_010M,B05003A_011E,B05003A_011M,B05003A_012E,B05003A_012M,B05003A_013E,B05003A_013M,B05003A_014E,B05003A_014M,B05003A_015E,B05003A_015M,B05003A_016E,B05003A_016M,B05003A_017E,B05003A_017M,B05003A_018E,B05003A_018M,B05003A_019E,B05003A_019M,B05003A_020E,B05003A_020M,B05003A_021E,B05003A_021M,B05003A_022E,B05003A_022M,B05003A_023E,B05003A_023M,NAME,B05003A_001EA,B05003A_001MA,B05003A_002EA,B05003A_002MA,B05003A_003MA,B05003A_003EA,B05003A_004MA,B05003A_004EA,B05003A_005EA,B05003A_005MA,B05003A_006EA,B05003A_006MA,B05003A_007MA,B05003A_007EA,B05003A_008EA,B05003A_008MA,B05003A_009MA,B05003A_009EA,B05003A_010EA,B05003A_010MA,B05003A_011EA,B05003A_011MA,B05003A_012MA,B05003A_012EA,B05003A_013EA,B05003A_013MA,B05003A_014MA,B05003A_014EA,B05003A_015MA,B05003A_015EA,B05003A_016EA,B05003A_016MA,B05003A_017EA,B05003A_017MA,B05003A_018EA,B05003A_018MA,B05003A_019EA,B05003A_019MA,B05003A_020MA,B05003A_020EA,B05003A_021EA,B05003A_021MA,B05003A_022EA,B05003A_022MA,B05003A_023MA,B05003A_023EA,state
0400000US01,3324276,6847,1632612,5012,367497,3274,362556,3012,4941,1880,1672,1014,3269,1281,1265115,3173,1225683,2780,39432,3562,8139,1691,31293,3487,1691664,4081,348158,2768,343886,2880,4272,1347,777,416,3495,1262,1343506,2440,1307506,2558,36000,3023,12033,1699,23967,2774,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,481446,2499,256403,2111,55587,1173,55123,1220,464,362,86,145,378,343,200816,1828,192347,1750,8469,2037,3366,1105,5103,1596,225043,1352,51174,942,50932,953,242,220,92,110,150,181,173869,880,165845,1528,8024,1377,3698,1079,4326,961,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5095378,24661,2531075,13774,610158,7151,590010,7357,20148,3053,1795,850,18353,2853,1920917,8668,1663751,8085,257166,9980,86402,5991,170764,8620,2564303,13404,583147,6550,564440,5911,18707,3507,1524,667,17183,3385,1981156,8595,1710254,9420,270902,10517,101963,5345,168939,7851,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2289695,6567,1130166,4929,262795,2990,259548,2861,3247,1070,438,305,2809,1013,867371,3113,835195,3481,32176,3363,8236,1770,23940,3290,1159529,3968,246500,2866,243386,3117,3114,1132,1076,612,2038,985,913029,2566,883439,2801,29590,2708,9728,1659,19862,2404,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,23322954,69327,11649682,40547,2739100,17835,2608149,17836,130951,7477,17578,2282,113373,7175,8910582,28903,6812702,24349,2097880,26766,824922,18437,1272958,26482,11673272,34047,2621014,15992,2497292,16063,123722,6800,17158,2449,106564,6576,9052258,23981,6929470,25769,2122788,22323,961642,16206,1161146,19233,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4208365,17302,2103940,9337,489153,5557,478426,5575,10727,1872,1724,776,9003,1711,1614787,5950,1485625,7218,129162,6119,40878,3610,88284,4882,2104425,9635,459365,5694,448259,6065,11106,2029,2395,950,8711,1720,1645060,5690,1520894,6543,124166,6375,47291,3598,76875,5160,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2797956,10233,1360038,6035,297854,2983,289770,3279,8084,1502,2401,799,5683,1576,1062184,4663,951024,5950,111160,6427,57787,3716,53373,4938,1437918,5323,284437,2703,278201,2957,6236,1225,2207,716,4029,1059,1153481,3648,1035025,5513,118456,5325,66149,3642,52307,4133,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,636052,4915,310249,2514,64763,1312,63536,1249,1227,772,182,154,1045,737,245486,1592,232163,1509,13323,2102,4423,937,8900,1916,325803,2806,61070,1605,59836,1672,1234,628,106,132,1128,573,264733,1756,250408,1599,14325,1897,6845,1227,7480,1503,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,242905,4030,120535,2115,12986,906,11987,818,999,541,182,188,817,551,107549,1680,89330,1623,18219,2137,4835,967,13384,1906,122370,2275,11775,982,11366,915,409,308,99,89,310,330,110595,1569,92491,1946,18104,2217,6209,1354,11895,1964,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,14411461,32433,7066879,18536,1395540,8598,1318996,9013,76544,5592,11179,1762,65365,5294,5671339,13263,4613009,16185,1058330,13560,493817,10448,564513,13135,7344582,17092,1317677,7462,1252301,8589,65376,5110,11161,1919,54215,4782,6026905,12290,4837290,15815,1189615,15461,626520,12451,563095,13175,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
