GEO_ID,C27001A_001E,C27001A_001M,C27001A_002E,C27001A_002M,C27001A_003E,C27001A_003M,C27001A_004E,C27001A_004M,C27001A_005E,C27001A_005M,C27001A_006E,C27001A_006M,C27001A_007E,C27001A_007M,C27001A_008E,C27001A_008M,C27001A_009E,C27001A_009M,C27001A_010E,C27001A_010M,NAME,C27001A_001MA,C27001A_001EA,C27001A_002MA,C27001A_002EA,C27001A_003EA,C27001A_003MA,C27001A_004EA,C27001A_004MA,C27001A_005MA,C27001A_005EA,C27001A_006MA,C27001A_006EA,C27001A_007MA,C27001A_007EA,C27001A_008EA,C27001A_008MA,C27001A_009EA,C27001A_009MA,C27001A_010MA,C27001A_010EA,state
0400000US01,3277164,6976,714735,3202,677799,5224,36936,5243,2046374,4649,1670309,11878,376065,11394,516055,1678,515481,1708,574,381,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,463025,3095,106522,1328,98138,2536,8384,2020,316711,2823,256148,5261,60563,4850,39792,431,39296,501,496,374,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5022807,24298,1192155,11522,1046879,12981,145276,9809,3033196,14440,2399636,16702,633560,15251,797456,2983,791665,3320,5791,1485,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2250470,6814,508265,3172,476391,4948,31874,4499,1380876,4597,1049201,12249,331675,12105,361329,1721,360645,1905,684,585,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,22998619,69063,5351514,27899,4884871,27632,466643,15466,14555022,46213,11182138,39678,3372884,39950,3092083,9132,3056838,9929,35245,3691,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4139741,17290,946793,9442,854295,11038,92498,7662,2700310,9219,2190895,13995,509415,15320,492638,2698,490575,2751,2063,829,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2759067,10541,582169,4403,569007,4817,13162,2351,1739293,7559,1557734,11030,181559,7950,437605,1807,435914,1885,1691,620,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,627148,4834,125833,2507,118200,3151,7633,2143,395413,2927,343758,4193,51655,4854,105902,812,105854,820,48,85,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,240292,4058,24761,1681,24546,1643,215,243,192753,2656,179299,3291,13454,2818,22778,457,22569,452,209,233,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,14222212,32761,2709277,13075,2381097,18365,328180,14525,8647137,21522,6236590,38131,2410547,38341,2865798,6161,2837670,7296,28128,3845,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,5798121,17245,1343143,8668,1228860,10191,114283,8420,3686803,11126,2856490,19339,830313,19830,768175,2672,763752,3060,4423,1388,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,310774,4546,46087,1974,43252,1972,2835,1136,215805,3207,188406,4246,27399,2470,48882,707,48408,768,474,333,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1431716,5789,382915,3032,344044,5436,38871,4888,861788,3477,657721,7882,204067,8330,187013,1299,186760,1307,253,191,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
