GEO_ID,B14006_001E,B14006_001M,B14006_002E,B14006_002M,B14006_003E,B14006_003M,B14006_004E,B14006_004M,B14006_005E,B14006_005M,B14006_006E,B14006_006M,B14006_007E,B14006_007M,B14006_008E,B14006_008M,B14006_009E,B14006_009M,B14006_010E,B14006_010M,B14006_011E,B14006_011M,B14006_012E,B14006_012M,B14006_013E,B14006_013M,B14006_014E,B14006_014M,B14006_015E,B14006_015M,B14006_016E,B14006_016M,B14006_017E,B14006_017M,B14006_018E,B14006_018M,B14006_019E,B14006_019M,B14006_020E,B14006_020M,B14006_021E,B14006_021M,NAME,B14006_001MA,B14006_001EA,B14006_002EA,B14006_002MA,B14006_003EA,B14006_003MA,B14006_004MA,B14006_004EA,B14006_005EA,B14006_005MA,B14006_006MA,B14006_006EA,B14006_007EA,B14006_007MA,B14006_008EA,B14006_008MA,B14006_009MA,B14006_009EA,B14006_010MA,B14006_010EA,B14006_011EA,B14006_011MA,B14006_012EA,B14006_012MA,B14006_013EA,B14006_013MA,B14006_014EA,B14006_014MA,B14006_015EA,B14006_015MA,B14006_016EA,B14006_016MA,B14006_017MA,B14006_017EA,B14006_018EA,B14006_018MA,B14006_019EA,B14006_019MA,B14006_020MA,B14006_020EA,B14006_021EA,B14006_021MA,state
0400000US01,4486574,5893,830041,21170,306179,11472,16181,2472,23071,3377,71776,4591,64717,5215,54342,4201,68097,5113,7995,1520,523862,13763,3656533,20651,884361,12830,51603,3510,44950,3740,169417,5953,192720,7237,200351,5877,181691,6767,43629,3720,2772172,15397,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,665142,2172,62941,5805,21819,3676,1614,617,1297,348,4487,1045,3575,908,4484,1021,5999,1926,363,292,41122,3634,602201,5943,165799,5652,8386,1356,8995,1484,34418,2451,35563,2854,38252,2310,30360,2829,9825,1640,436402,4900,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6007123,7108,1017203,30944,373628,15875,14913,2012,21675,2580,84405,6136,82309,5541,77206,5688,83766,6770,9354,2012,643575,20512,4989920,31566,1304434,18966,67337,4376,66513,4717,266315,9387,271598,8196,280432,7865,288344,9441,63895,5109,3685486,22697,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2726433,3350,496198,15305,185000,8759,14131,1971,13129,1939,41949,3516,40499,3485,31848,3237,38270,3719,5174,1568,311198,10286,2230235,15317,538417,11100,38386,3605,26575,2343,111012,4582,117933,5003,120324,4398,102373,4996,21814,2412,1691818,11078,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,35148530,16420,5432646,68969,2154987,35302,102772,6477,117760,6091,444276,13813,416225,13221,488996,14337,515904,13532,69054,5237,3277659,40995,29715884,71939,8189828,48990,476167,10253,402391,11074,1549326,19311,1594304,20744,1788696,17508,1960543,25485,418401,11795,21526056,42987,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4735659,5830,616194,21417,233108,13156,12730,2233,11725,1870,47620,4461,38206,3726,39478,3896,71861,5956,11488,1708,383086,12761,4119465,21641,1075150,13409,75631,4253,54896,3757,233388,6476,222365,7428,224861,4787,198018,8162,65991,4456,3044315,16774,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3351753,4056,329943,14868,110746,8515,4911,1136,5655,1326,21819,3576,23010,2797,22959,2696,22773,3912,9619,2458,219197,10243,3021810,14685,779783,10879,53518,3161,36695,2991,158636,4551,164960,5035,183640,4363,131729,6228,50605,4677,2242027,11271,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,842556,1878,95853,7309,35762,3918,2178,824,2300,954,8213,1753,6897,1475,5965,1329,8950,2251,1259,603,60091,5129,746703,7631,187250,5765,13447,1721,9302,1432,35950,2532,35735,2836,45081,2423,37509,2807,10226,1483,559453,4965,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,549919,1260,103606,7075,44605,4458,1733,707,1392,626,7032,1460,7293,1382,8407,1570,10179,2032,8569,1624,59001,4079,446313,7025,89281,4946,7554,1262,4544,963,14432,1841,12173,1595,17090,2030,16061,2627,17427,1873,357032,5609,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,17820670,9496,2880411,39219,982067,22213,64432,5219,53870,4868,210458,8998,192367,8623,188381,8103,232265,10022,40294,3564,1898344,29228,14940259,40841,3491339,30848,220174,7660,162852,6734,654790,13010,710451,13613,742107,11563,832615,17637,168350,7487,11448920,32616,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
