B99163_001E,B99163_002E,B99163_003E,B99163_004E,B99163_005E,GEO_ID,B99163_001EA,B99163_002EA,B99163_003EA,B99163_004EA,B99163_005EA,NAME,state
4477229,4246569,230660,12279,218381,0400000US01,null,null,null,null,null,Alabama,01
660403,551159,109244,3093,106151,0400000US02,null,null,null,null,null,Alaska,02
5957961,4365286,1592675,83273,1509402,0400000US04,null,null,null,null,null,Arizona,04
2727155,2539497,187658,7275,180383,0400000US05,null,null,null,null,null,Arkansas,05
34820465,19588115,15232350,579464,14652886,0400000US06,null,null,null,null,null,California,06
4706794,3901647,805147,33284,771863,0400000US08,null,null,null,null,null,Colorado,08
3375388,2657608,717780,28956,688824,0400000US09,null,null,null,null,null,Connecticut,09
843674,742113,101561,3852,97709,0400000US10,null,null,null,null,null,Delaware,10
571592,488519,83073,5404,77669,0400000US11,null,null,null,null,null,District of Columbia,11
17775340,12907073,4868267,192808,4675459,0400000US12,null,null,null,null,null,Florida,12
9030273,7848274,1181999,53291,1128708,0400000US13,null,null,null,null,null,Georgia,13
1276928,946335,330593,16830,313763,0400000US15,null,null,null,null,null,Hawaii,15
1450742,1298303,152439,5874,146565,0400000US16,null,null,null,null,null,Idaho,16
12010235,9366090,2644145,90439,2553706,0400000US17,null,null,null,null,null,Illinois,17
6057306,5570100,487206,25318,461888,0400000US18,null,null,null,null,null,Indiana,18
2850218,2639788,210430,11706,198724,0400000US19,null,null,null,null,null,Iowa,19
2654069,2362453,291616,12935,278681,0400000US20,null,null,null,null,null,Kansas,20
4066511,3871484,195027,8759,186268,0400000US21,null,null,null,null,null,Kentucky,21
4230220,3853543,376677,14213,362464,0400000US22,null,null,null,null,null,Louisiana,22
1258997,1174945,84052,3924,80128,0400000US23,null,null,null,null,null,Maine,23
5421054,4525048,896006,36304,859702,0400000US24,null,null,null,null,null,Maryland,24
6190919,4849884,1341035,61608,1279427,0400000US25,null,null,null,null,null,Massachusetts,25
9285194,8486434,798760,35250,763510,0400000US26,null,null,null,null,null,Michigan,26
4954466,4433116,521350,25962,495388,0400000US27,null,null,null,null,null,Minnesota,27
2760957,2660577,100380,4200,96180,0400000US28,null,null,null,null,null,Mississippi,28
5608805,5266944,341861,17811,324050,0400000US29,null,null,null,null,null,Missouri,29
929026,885917,43109,1828,41281,0400000US30,null,null,null,null,null,Montana,30
1698792,1522943,175849,7745,168104,0400000US31,null,null,null,null,null,Nebraska,31
2517937,1798946,718991,17479,701512,0400000US32,null,null,null,null,null,Nevada,32
1247886,1150751,97135,4042,93093,0400000US33,null,null,null,null,null,New Hampshire,33
8263053,5811022,2452031,94126,2357905,0400000US34,null,null,null,null,null,New Jersey,34
1921916,1220244,701672,22996,678676,0400000US35,null,null,null,null,null,New Mexico,35
18241464,12777066,5464398,272040,5192358,0400000US36,null,null,null,null,null,New York,36
8929538,7959103,970435,37383,933052,0400000US37,null,null,null,null,null,North Carolina,37
630058,598131,31927,919,31008,0400000US38,null,null,null,null,null,North Dakota,38
10820130,10100586,719544,34370,685174,0400000US39,null,null,null,null,null,Ohio,39
3497798,3178243,319555,13504,306051,0400000US40,null,null,null,null,null,Oklahoma,40
3602925,3085410,517515,19426,498089,0400000US41,null,null,null,null,null,Oregon,41
11983239,10772132,1211107,68758,1142349,0400000US42,null,null,null,null,null,Pennsylvania,42
995774,787329,208445,7502,200943,0400000US44,null,null,null,null,null,Rhode Island,44
4334519,4039601,294918,15449,279469,0400000US45,null,null,null,null,null,South Carolina,45
758975,702280,56695,2277,54418,0400000US46,null,null,null,null,null,South Dakota,46
5950484,5568239,382245,18702,363543,0400000US47,null,null,null,null,null,Tennessee,47
23327776,15208179,8119597,231644,7887953,0400000US48,null,null,null,null,null,Texas,48
2512866,2155172,357694,11315,346379,0400000US49,null,null,null,null,null,Utah,49
593692,560687,33005,1716,31289,0400000US50,null,null,null,null,null,Vermont,50
7517185,6404486,1112699,45325,1067374,0400000US51,null,null,null,null,null,Virginia,51
6306287,5152038,1154249,50064,1104185,0400000US53,null,null,null,null,null,Washington,53
1752096,1713135,38961,1462,37499,0400000US54,null,null,null,null,null,West Virginia,54
5335995,4890474,445521,22394,423127,0400000US55,null,null,null,null,null,Wisconsin,55
523440,490132,33308,1695,31613,0400000US56,null,null,null,null,null,Wyoming,56
3498886,143968,3354918,65460,3289458,0400000US72,null,null,null,null,null,Puerto Rico,72
