GEO_ID,B13002G_001E,B13002G_001M,B13002G_002E,B13002G_002M,B13002G_003E,B13002G_003M,B13002G_004E,B13002G_004M,B13002G_005E,B13002G_005M,B13002G_006E,B13002G_006M,B13002G_007E,B13002G_007M,NAME,B13002G_001MA,B13002G_001EA,B13002G_002EA,B13002G_002MA,B13002G_003MA,B13002G_003EA,B13002G_004MA,B13002G_004EA,B13002G_005MA,B13002G_005EA,B13002G_006EA,B13002G_006MA,B13002G_007MA,B13002G_007EA,state
0400000US01,13542,1972,578,378,263,272,315,256,12964,1891,3469,838,9495,1621,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,12293,1942,900,495,413,341,487,297,11393,1954,3591,994,7802,1666,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,37974,3219,2484,720,1466,507,1018,604,35490,3185,12120,1981,23370,2544,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,10372,1822,381,357,43,60,338,354,9991,1847,2971,736,7020,1659,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,377440,12192,17698,2304,10102,1523,7596,1561,359742,11404,115405,5110,244337,10361,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,41031,3638,2689,964,1591,621,1098,654,38342,3508,14474,1872,23868,2791,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,21559,2711,1286,620,566,364,720,514,20273,2651,5506,1058,14767,2462,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,4276,1242,257,260,0,265,257,260,4019,1224,1498,502,2521,1063,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,2889,829,246,231,246,231,0,292,2643,823,784,356,1859,719,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,95871,6130,5120,1615,2219,801,2901,1214,90751,5827,32835,3072,57916,4919,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,41098,3708,2958,1080,1569,600,1389,705,38140,3553,13321,1650,24819,2953,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,77012,4409,5177,1166,2342,804,2835,857,71835,4512,26035,2689,45800,3733,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,8538,1650,599,439,448,393,151,205,7939,1508,2963,868,4976,1363,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,52633,4134,2808,731,1057,430,1751,663,49825,4054,15941,2097,33884,3274,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,24457,2781,1381,500,420,286,961,416,23076,2681,6634,1098,16442,2188,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,11652,1691,1085,509,401,361,684,396,10567,1646,3665,931,6902,1251,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,20296,2415,849,471,439,262,410,338,19447,2419,6730,1249,12717,1821,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,13674,1971,1116,576,685,491,431,327,12558,1884,4551,910,8007,1634,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,13389,1965,787,382,250,175,537,327,12602,2004,4953,1041,7649,1767,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,5326,1029,239,211,52,72,187,197,5087,1078,1668,634,3419,957,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,37675,3313,1960,965,692,448,1268,803,35715,3218,10751,1513,24964,2963,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,49220,4086,2867,887,1229,610,1638,698,46353,3921,14163,2184,32190,2791,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,52098,3830,2095,849,889,482,1206,757,50003,3592,14781,1690,35222,3224,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,29462,2803,2099,827,583,335,1516,761,27363,2567,6728,1077,20635,2481,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
