GEO_ID,C05003F_001E,C05003F_001M,C05003F_002E,C05003F_002M,C05003F_003E,C05003F_003M,C05003F_004E,C05003F_004M,C05003F_005E,C05003F_005M,C05003F_006E,C05003F_006M,C05003F_007E,C05003F_007M,C05003F_008E,C05003F_008M,C05003F_009E,C05003F_009M,C05003F_010E,C05003F_010M,C05003F_011E,C05003F_011M,C05003F_012E,C05003F_012M,C05003F_013E,C05003F_013M,C05003F_014E,C05003F_014M,C05003F_015E,C05003F_015M,NAME,C05003F_001EA,C05003F_001MA,C05003F_002MA,C05003F_002EA,C05003F_003EA,C05003F_003MA,C05003F_004EA,C05003F_004MA,C05003F_005EA,C05003F_005MA,C05003F_006MA,C05003F_006EA,C05003F_007EA,C05003F_007MA,C05003F_008MA,C05003F_008EA,C05003F_009EA,C05003F_009MA,C05003F_010EA,C05003F_010MA,C05003F_011MA,C05003F_011EA,C05003F_012EA,C05003F_012MA,C05003F_013MA,C05003F_013EA,C05003F_014EA,C05003F_014MA,C05003F_015EA,C05003F_015MA,state
0400000US01,51693,6476,29486,4288,9092,2002,6715,1576,2377,1094,20394,3109,4303,1440,16091,3046,22207,3038,8898,1518,7298,1446,1600,827,13309,2112,3289,1077,10020,1888,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,6496,1747,2860,1079,405,271,405,271,0,246,2455,1003,1147,439,1308,881,3636,1023,847,482,847,482,0,246,2789,786,1270,523,1519,647,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,412806,22842,206335,12400,69787,6096,64731,5652,5056,1562,136548,8053,76355,6633,60193,4957,206471,12380,70172,5861,64939,5590,5233,1338,136299,8010,76522,5888,59777,4422,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,61388,6531,31956,3971,11374,1790,8724,1574,2650,950,20582,2808,5284,1625,15298,2473,29432,3635,10946,2151,9031,1813,1915,768,18486,2105,4170,1036,14316,1887,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,4885973,67184,2492177,39987,807335,17146,744354,17100,62981,4588,1684842,29175,664770,18461,1020072,22925,2393796,32166,772276,15189,708492,14440,63784,5309,1621520,21877,673014,16937,948506,17576,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,282026,15805,148408,8418,51080,4948,46088,4889,4992,1485,97328,5587,49485,4510,47843,3992,133618,8934,48382,4927,44545,4903,3837,1371,85236,5082,46964,3706,38272,3421,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,189961,10472,96431,6360,28160,3183,27125,3099,1035,632,68271,4693,35190,3475,33081,4430,93530,5529,27294,2656,24890,2710,2404,904,66236,3915,39693,3641,26543,3485,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,17852,3914,9390,2178,3507,1022,3069,1056,438,418,5883,1462,1975,699,3908,1377,8462,2344,3146,1201,2728,1015,418,359,5316,1536,1961,937,3355,1063,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,16825,3775,9318,2150,2067,987,1404,757,663,516,7251,1657,2637,841,4614,1301,7507,2105,2167,1152,2088,1128,79,134,5340,1287,2000,940,3340,1089,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,495530,25289,254843,14912,63385,6076,57421,5674,5964,1654,191458,12982,70661,5462,120797,12172,240687,13712,71447,6077,64287,5615,7160,2130,169240,9593,73346,5740,95894,7149,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
