GEO_ID,B25098_001E,B25098_001M,B25098_002E,B25098_002M,B25098_003E,B25098_003M,B25098_004E,B25098_004M,B25098_005E,B25098_005M,B25098_006E,B25098_006M,B25098_007E,B25098_007M,B25098_008E,B25098_008M,B25098_009E,B25098_009M,B25098_010E,B25098_010M,B25098_011E,B25098_011M,B25098_012E,B25098_012M,B25098_013E,B25098_013M,B25098_014E,B25098_014M,B25098_015E,B25098_015M,B25098_016E,B25098_016M,B25098_017E,B25098_017M,B25098_018E,B25098_018M,B25098_019E,B25098_019M,NAME,B25098_001EA,B25098_001MA,B25098_002MA,B25098_002EA,B25098_003MA,B25098_003EA,B25098_004MA,B25098_004EA,B25098_005EA,B25098_005MA,B25098_006MA,B25098_006EA,B25098_007EA,B25098_007MA,B25098_008EA,B25098_008MA,B25098_009MA,B25098_009EA,B25098_010MA,B25098_010EA,B25098_011MA,B25098_011EA,B25098_012EA,B25098_012MA,B25098_013MA,B25098_013EA,B25098_014MA,B25098_014EA,B25098_015MA,B25098_015EA,B25098_016MA,B25098_016EA,B25098_017EA,B25098_017MA,B25098_018EA,B25098_018MA,B25098_019MA,B25098_019EA,state
0400000US01,1272846,12811,774408,11811,30587,2943,80177,3967,67304,3590,119834,5322,167745,6706,121089,5977,120656,4952,67016,3861,498438,9912,48439,3429,131153,5282,70045,4292,80998,4807,80273,4278,34771,2827,31502,3060,21257,2363,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,162785,3878,112659,3658,1381,590,4523,928,5787,1131,9487,1405,20097,2129,19179,2060,30728,2617,21477,2250,50126,2618,3085,912,8000,1278,4972,854,6194,926,9492,1276,6845,1205,7390,1210,4148,866,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1522938,13309,1065003,11608,29873,3110,93262,4552,87849,4859,149706,5757,240567,7197,172204,7052,183043,6300,108499,5066,457935,8752,36183,3299,103792,4253,68168,3736,76141,4326,76466,4111,39024,3020,34442,2738,23719,2232,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,751568,9191,433218,8521,12018,1945,47012,3042,45780,3337,72607,4470,98608,4602,65220,3955,61066,4001,30907,2886,318350,6991,26365,2539,84962,3373,49726,3121,52267,3605,49795,3337,26516,2333,18326,2023,10393,1396,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,6903175,27402,5183554,27183,106699,5258,305447,9127,270655,7777,516394,12349,918757,14448,822768,12683,1143568,16292,1099266,14955,1719621,18951,100929,5128,338739,8415,204617,5934,247450,8072,289259,7825,186068,6606,185943,6788,166616,5901,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1292792,11248,974765,10769,23309,2391,63933,3638,62653,4478,114633,5260,196363,6375,171054,6029,203218,6375,139602,5043,318027,6814,17938,1946,65753,4152,39754,2713,50228,3013,56570,3254,31250,2417,31828,2177,24706,2378,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,923617,8286,660057,8447,10231,1563,26094,2665,28649,2478,56297,3256,117036,5565,114612,5797,156761,5467,150377,4859,263560,6166,10359,1603,45755,3292,28258,2501,40313,2712,45612,3200,29001,1884,31336,2353,32926,2457,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,239884,4113,170847,3770,4284,1141,10636,1573,10403,1543,20750,1867,36448,2706,29737,2856,36466,2390,22123,1637,69037,2701,3784,713,14898,1720,8300,1333,10834,1154,12927,1585,6665,1086,6683,1146,4946,904,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,107193,3924,82658,3696,3076,780,3652,981,3108,789,5768,1210,11175,1648,9883,1347,15832,1647,30164,2161,24535,1627,1699,668,3221,754,1967,652,3319,747,4032,702,2186,552,4080,916,4031,817,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4794130,25332,3064955,23728,113371,5412,321545,9333,278911,8380,463150,10997,660472,14918,465085,11486,471230,12210,291191,8058,1729175,14629,141428,5742,404948,9610,244039,6555,274647,7002,291809,6765,146931,5160,123063,5207,102310,5190,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
