GEO_ID,B16006_001E,B16006_001M,B16006_002E,B16006_002M,B16006_003E,B16006_003M,B16006_004E,B16006_004M,B16006_005E,B16006_005M,B16006_006E,B16006_006M,B16006_007E,B16006_007M,B16006_008E,B16006_008M,NAME,B16006_001MA,B16006_001EA,B16006_002EA,B16006_002MA,B16006_003EA,B16006_003MA,B16006_004MA,B16006_004EA,B16006_005EA,B16006_005MA,B16006_006EA,B16006_006MA,B16006_007MA,B16006_007EA,B16006_008EA,B16006_008MA,state
0400000US01,158442,2906,38519,4711,119011,4891,41089,4155,19713,2584,38828,3887,19381,3139,912,724,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,35889,1575,19794,2045,14478,2370,8163,1226,3168,1158,1927,768,1220,747,1617,1198,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1703177,382,555191,18147,1144225,18176,688106,18540,178983,9641,173410,8038,103726,7725,3761,1188,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,158988,2301,40260,4138,118146,4273,53717,4027,25113,2883,25927,3009,13389,2412,582,629,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,12736436,526,3013915,43043,9682559,42774,5095565,37366,1799136,25562,1746779,22236,1041079,22033,39962,3838,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,934672,749,416418,14933,515524,14929,282511,11411,94978,6361,100590,6018,37445,4240,2730,958,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,434639,354,103070,7067,328595,7180,174735,7837,66856,4645,62554,4947,24450,3023,2974,1074,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,64753,-555555555,16574,3402,48155,3398,22842,3009,9941,1791,9826,2279,5546,1719,24,41,Delaware,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,50721,-555555555,20390,3351,29844,3358,18902,2720,4698,1175,4472,1236,1772,930,487,325,District of Columbia,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3940891,2089,587535,16693,3332670,16817,1762977,22809,619658,14472,578010,14996,372025,16901,20686,3818,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,750516,2627,128437,8040,617879,8273,282131,8112,127663,6813,139267,7824,68818,5168,4200,1090,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,106347,123,80732,3384,19159,3154,14446,2781,3942,1214,748,417,23,41,6456,1780,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,154178,693,54824,4365,98789,4435,58082,3778,14199,1920,19858,2722,6650,1267,565,410,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,1825482,2244,353121,13784,1465230,13614,756437,14838,291862,10832,285623,8954,131308,6978,7131,1327,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,339009,1638,116597,6315,221128,6162,110844,5983,46256,4045,46955,4216,17073,2694,1284,726,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,132602,1168,40701,3946,91465,3886,44989,3226,16315,2164,20405,2466,9756,1739,436,346,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,261926,1396,91750,6831,168961,6833,84189,5623,36585,3762,33782,3812,14405,2582,1215,623,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,114151,3188,38906,3924,75002,4554,34038,3522,15020,2115,17185,2491,8759,2040,243,235,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,173763,2237,55243,5643,116445,5109,56089,4404,25984,2933,23082,3575,11290,2601,2075,789,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
