GEO_ID,C25074_001E,C25074_001M,C25074_002E,C25074_002M,C25074_003E,C25074_003M,C25074_004E,C25074_004M,C25074_005E,C25074_005M,C25074_006E,C25074_006M,C25074_007E,C25074_007M,C25074_008E,C25074_008M,C25074_009E,C25074_009M,C25074_010E,C25074_010M,C25074_011E,C25074_011M,C25074_012E,C25074_012M,C25074_013E,C25074_013M,C25074_014E,C25074_014M,C25074_015E,C25074_015M,C25074_016E,C25074_016M,C25074_017E,C25074_017M,C25074_018E,C25074_018M,C25074_019E,C25074_019M,C25074_020E,C25074_020M,C25074_021E,C25074_021M,C25074_022E,C25074_022M,C25074_023E,C25074_023M,C25074_024E,C25074_024M,C25074_025E,C25074_025M,NAME,C25074_001EA,C25074_001MA,C25074_002EA,C25074_002MA,C25074_003MA,C25074_003EA,C25074_004EA,C25074_004MA,C25074_005MA,C25074_005EA,C25074_006MA,C25074_006EA,C25074_007EA,C25074_007MA,C25074_008EA,C25074_008MA,C25074_009MA,C25074_009EA,C25074_010MA,C25074_010EA,C25074_011MA,C25074_011EA,C25074_012MA,C25074_012EA,C25074_013EA,C25074_013MA,C25074_014MA,C25074_014EA,C25074_015MA,C25074_015EA,C25074_016MA,C25074_016EA,C25074_017MA,C25074_017EA,C25074_018EA,C25074_018MA,C25074_019EA,C25074_019MA,C25074_020EA,C25074_020MA,C25074_021MA,C25074_021EA,C25074_022EA,C25074_022MA,C25074_023MA,C25074_023EA,C25074_024EA,C25074_024MA,C25074_025MA,C25074_025EA,state
0400000US01,542306,10228,117227,5872,7008,1322,80828,5165,29391,3024,120479,5812,18977,2203,88383,4674,13119,1667,130201,6460,49424,3412,66824,4567,13953,2269,75976,4675,55396,3916,12696,2122,7884,1508,59958,4417,51467,4160,3284,1012,5207,1342,38465,3810,32940,3433,1132,651,4393,1158,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,91825,3849,6188,1251,383,314,3965,1041,1840,597,13482,1626,1033,403,11044,1645,1405,542,18551,1870,4025,1035,12286,1767,2240,728,15499,2085,7540,1433,5623,1097,2336,899,19027,1857,12727,1582,4519,1133,1781,676,19078,2376,16394,2273,693,468,1991,696,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,811112,13574,120266,6088,5773,1289,81756,4763,32737,3359,134889,5911,8977,1636,118596,5785,7316,1247,193370,8041,54817,4401,128577,6898,9976,1614,136064,6684,81833,5560,49056,3419,5175,1144,121433,6120,99684,5128,17448,2958,4301,1175,105090,5894,99145,5632,2748,1035,3197,1119,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,363334,8761,71237,4705,4211,907,50071,3994,16955,2038,84470,4572,12744,2055,62041,3644,9685,1388,91976,4876,43921,3327,38249,2980,9806,1602,49898,3373,39965,2987,5457,1106,4476,1148,42703,3667,38252,3579,1136,590,3315,1023,23050,2968,20439,2826,549,530,2062,658,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,5503300,25377,534236,11770,16066,2330,389175,9422,128995,7677,880915,14137,85896,4733,758118,13643,36901,2909,1083944,18032,135050,6493,916883,15978,32011,2692,850314,13565,309099,9086,516804,11182,24411,2691,960557,13935,616578,11593,321093,9507,22886,2526,1193334,19600,1075277,18947,91962,4950,26095,2425,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,667793,12023,92545,5146,6809,1406,64175,4045,21561,2460,113574,4908,12116,1716,97945,4708,3513,852,153473,6970,40267,3199,107435,5739,5771,894,109115,6576,67160,4755,38977,3315,2978,907,108704,4965,88651,4635,15773,2400,4280,1137,90382,4577,84172,4304,2944,737,3266,789,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,435192,8295,58615,3862,5803,1282,41182,3420,11630,1835,78214,4489,11950,1741,62654,3716,3610,1059,86006,4776,17303,2447,65568,4365,3135,789,71387,4052,34422,3047,35160,3188,1805,647,68304,4177,53534,3904,12657,1991,2113,654,72666,4492,66701,4280,2608,880,3357,866,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,88881,3899,11697,1507,795,392,7812,1499,3090,742,15307,2021,2055,824,12144,1897,1108,489,20663,2976,2851,902,17020,2613,792,430,14133,1927,7532,1564,5953,1272,648,323,15097,1873,12603,1838,2127,843,367,219,11984,2012,10908,2024,208,176,868,602,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,145195,4932,21497,2434,1793,635,14048,1979,5656,1361,19211,2304,3601,947,14959,2129,651,382,22621,2493,4620,1034,17241,2259,760,458,17375,1783,7644,1130,9351,1420,380,241,24475,2661,15764,2077,8156,1403,555,358,40016,3033,33625,2866,5189,1031,1202,638,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2240938,20709,332548,8907,16854,2037,226890,7177,88804,5515,417048,9541,31820,2863,361284,9396,23944,2468,525054,13486,85041,5409,415062,12166,24951,2759,369704,12187,188722,8258,165307,8989,15675,1853,332647,10486,252463,8980,67987,4952,12197,1781,263937,8275,241688,7669,10303,1557,11946,2063,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
