GEO_ID,B24082_001E,B24082_001M,B24082_002E,B24082_002M,B24082_003E,B24082_003M,B24082_004E,B24082_004M,B24082_005E,B24082_005M,B24082_006E,B24082_006M,B24082_007E,B24082_007M,B24082_008E,B24082_008M,B24082_009E,B24082_009M,B24082_010E,B24082_010M,B24082_011E,B24082_011M,B24082_012E,B24082_012M,B24082_013E,B24082_013M,B24082_014E,B24082_014M,B24082_015E,B24082_015M,B24082_016E,B24082_016M,B24082_017E,B24082_017M,B24082_018E,B24082_018M,NAME,B24082_001EA,B24082_001MA,B24082_002EA,B24082_002MA,B24082_003EA,B24082_003MA,B24082_004EA,B24082_004MA,B24082_005EA,B24082_005MA,B24082_006EA,B24082_006MA,B24082_007EA,B24082_007MA,B24082_008EA,B24082_008MA,B24082_009EA,B24082_009MA,B24082_010EA,B24082_010MA,B24082_011EA,B24082_011MA,B24082_012EA,B24082_012MA,B24082_013EA,B24082_013MA,B24082_014EA,B24082_014MA,B24082_015MA,B24082_015EA,B24082_016EA,B24082_016MA,B24082_017MA,B24082_017EA,B24082_018EA,B24082_018MA,state
0400000US01,34592,1056,32395,600,32002,400,51262,1996,37327,3852,38313,1581,40993,2212,65105,5520,26692,1274,23664,499,21733,325,21622,329,30510,6224,25518,1375,33830,2387,35554,1664,44230,3167,15215,1812,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,47515,3203,41752,1192,40978,1278,71906,6997,35922,3538,50681,3112,60681,1514,62383,5294,35537,12118,30941,888,26258,1299,25860,1398,46288,11905,33669,4242,32684,3121,45620,4912,45680,3325,18466,3116,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,35915,444,34882,1130,33374,1304,49971,3084,35411,3562,44197,2431,42731,2090,52332,2453,24894,1902,26859,304,25380,382,25320,390,26827,2928,34483,2671,34367,1692,33385,1862,42167,3168,15349,1524,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,31534,410,31181,456,30832,465,42422,4612,31511,2874,36094,1648,39765,4281,50234,4719,23924,2389,22003,305,20715,388,20689,389,21518,2927,25374,1824,27950,2780,31927,1530,38103,6884,13715,1458,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,37732,472,35985,211,35100,219,61857,585,41220,808,60506,613,56643,2090,55855,977,30222,374,29599,368,26601,213,26350,214,37836,2722,37326,645,41612,452,38754,1287,49182,2099,17306,583,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,40394,358,40029,766,38099,1216,51177,881,39938,2898,49758,2089,40452,3171,57316,3960,27963,2098,28313,649,26716,388,26450,423,32136,1960,32520,1586,34820,1685,36188,1825,50518,2410,14634,1394,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,49131,1390,48630,1797,47117,851,67420,7230,45596,4529,55776,3092,58585,3261,61780,2949,32233,2939,32462,713,31144,490,31122,490,32342,5283,37858,1826,41404,1619,50516,1850,54421,5452,19846,1981,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,40853,906,40244,1985,38771,2972,52298,13675,40288,5299,47065,5314,45588,6541,60988,8474,29684,2427,30701,649,27047,1003,27047,1011,27040,9870,32463,3097,40359,3322,38244,2901,46006,12124,14367,4201,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,50312,2008,44383,3017,43596,2981,58313,19184,51546,7697,55474,6014,51017,18606,76479,6681,35233,9466,45484,1648,34324,4142,33052,4268,66514,61109,47617,3727,46971,5374,40750,15987,67940,5047,25614,4771,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,31903,183,31092,225,30376,246,41773,676,34137,1954,43680,1348,40156,1265,52585,1560,21148,682,25710,215,23773,363,23463,372,30552,902,30608,492,37299,548,34632,1328,43674,2820,13890,978,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
