GEO_ID,B15010_001E,B15010_001M,B15010_002E,B15010_002M,B15010_003E,B15010_003M,B15010_004E,B15010_004M,B15010_005E,B15010_005M,B15010_006E,B15010_006M,B15010_007E,B15010_007M,B15010_008E,B15010_008M,B15010_009E,B15010_009M,B15010_010E,B15010_010M,B15010_011E,B15010_011M,B15010_012E,B15010_012M,B15010_013E,B15010_013M,B15010_014E,B15010_014M,B15010_015E,B15010_015M,B15010_016E,B15010_016M,NAME,B15010_001EA,B15010_001MA,B15010_002EA,B15010_002MA,B15010_003MA,B15010_003EA,B15010_004MA,B15010_004EA,B15010_005MA,B15010_005EA,B15010_006EA,B15010_006MA,B15010_007MA,B15010_007EA,B15010_008MA,B15010_008EA,B15010_009EA,B15010_009MA,B15010_010MA,B15010_010EA,B15010_011MA,B15010_011EA,B15010_012MA,B15010_012EA,B15010_013EA,B15010_013MA,B15010_014EA,B15010_014MA,B15010_015MA,B15010_015EA,B15010_016EA,B15010_016MA,state
0400000US01,692695,11928,26984,2639,36402,2757,20224,2233,24022,2485,31683,2791,59778,4573,2422,690,68348,4216,162391,7230,128767,5836,21891,2152,29512,2723,16102,2321,18817,2491,45352,3266,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,125823,5649,3445,991,13704,2066,5854,1197,5295,1129,10096,1322,11279,1675,416,257,12632,1713,17959,2298,15798,1788,5302,1085,7273,1415,3834,1011,4553,1077,8383,1531,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1074035,15474,45079,4159,56054,4050,34611,3691,46026,3236,71681,4685,87570,5163,7199,1403,98546,5109,233934,8031,165344,7789,36814,2690,49561,3508,38189,2948,39844,3569,63583,4608,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,374018,10531,14753,1985,28964,2910,12662,1660,13870,1819,18439,2328,19402,2265,1136,514,35729,3012,80015,4341,78616,4329,10665,1876,19682,2310,9464,1393,11180,1444,19441,2062,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,7251271,41850,333656,8636,469618,12662,256002,8704,366379,10816,730037,14188,727361,14815,49147,3648,562328,11263,1341061,19458,573113,10758,391628,10713,427848,11154,394704,11569,284224,8900,344165,10095,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1211230,15523,54813,3901,83389,4892,45246,3771,67722,4458,96466,5078,102737,4616,8924,1335,100953,5109,240308,8013,137906,6074,51754,3772,59087,3040,49526,2975,48113,3541,64286,4395,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,865299,14071,33219,3136,48534,3623,26738,2098,48933,3448,84761,4228,66847,3396,3374,847,70049,4205,173551,6797,101255,5134,52767,3428,49335,3406,38084,3206,29338,2909,38514,3222,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,167068,5686,5944,1331,10275,1751,9149,1340,7705,1262,12428,1698,12683,1582,1823,614,14811,1500,34735,2705,22167,1816,7667,1490,9176,1653,4559,1032,3480,839,10466,1720,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,208824,4572,7700,1417,13360,2189,4442,918,8163,1288,54906,4236,8759,1252,2340,643,6961,1531,23382,2926,9693,1640,19019,1986,21223,2402,7713,1166,12707,1780,8456,1314,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3371251,27946,109360,5640,152467,7071,105901,6397,153689,6923,234209,6001,284741,8207,16943,2102,320944,9067,814554,11996,521145,12418,122404,5839,147565,6067,104141,5755,118047,5467,165141,5935,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
