GEO_ID,B19080_001E,B19080_001M,B19080_002E,B19080_002M,B19080_003E,B19080_003M,B19080_004E,B19080_004M,B19080_005E,B19080_005M,NAME,B19080_001EA,B19080_001MA,B19080_002MA,B19080_002EA,B19080_003EA,B19080_003MA,B19080_004MA,B19080_004EA,B19080_005EA,B19080_005MA,state
0400000US01,16156,284,31588,439,50897,642,83484,1180,150867,1793,Alabama,null,null,null,null,null,null,null,null,null,null,01
0400000US02,28087,1633,51773,1503,79311,2180,121340,2772,200458,7567,Alaska,null,null,null,null,null,null,null,null,null,null,02
0400000US04,20651,305,37257,435,58154,722,91770,816,163561,3042,Arizona,null,null,null,null,null,null,null,null,null,null,04
0400000US05,16571,385,30510,416,47820,863,77050,1020,138731,3853,Arkansas,null,null,null,null,null,null,null,null,null,null,05
0400000US06,23400,171,45174,236,72434,316,116181,545,211907,986,California,null,null,null,null,null,null,null,null,null,null,06
0400000US08,22729,422,42489,561,67507,780,105569,997,187442,3449,Colorado,null,null,null,null,null,null,null,null,null,null,08
0400000US09,25843,590,50256,659,80287,845,126934,1253,240868,5747,Connecticut,null,null,null,null,null,null,null,null,null,null,09
0400000US10,24162,1101,44955,1497,70190,1721,106393,2316,180654,6273,Delaware,null,null,null,null,null,null,null,null,null,null,10
0400000US11,20216,1354,46537,1650,78483,3181,137075,4986,250001,-333333333,District of Columbia,null,null,null,null,null,null,null,null,"250,000+",***,11
0400000US12,19276,178,35383,195,55013,343,88113,686,161876,1346,Florida,null,null,null,null,null,null,null,null,null,null,12
0400000US13,18836,335,36082,425,58190,679,92756,917,170304,2026,Georgia,null,null,null,null,null,null,null,null,null,null,13
0400000US15,26672,874,50518,856,78055,1995,117557,2739,201486,3904,Hawaii,null,null,null,null,null,null,null,null,null,null,15
0400000US16,19735,734,34987,766,53296,1011,81024,998,139573,3827,Idaho,null,null,null,null,null,null,null,null,null,null,16
0400000US17,22045,209,41702,214,66276,358,104028,736,189169,2006,Illinois,null,null,null,null,null,null,null,null,null,null,17
