GEO_ID,C20005I_001E,C20005I_001M,C20005I_002E,C20005I_002M,C20005I_003E,C20005I_003M,C20005I_004E,C20005I_004M,C20005I_005E,C20005I_005M,C20005I_006E,C20005I_006M,C20005I_007E,C20005I_007M,C20005I_008E,C20005I_008M,C20005I_009E,C20005I_009M,C20005I_010E,C20005I_010M,C20005I_011E,C20005I_011M,C20005I_012E,C20005I_012M,C20005I_013E,C20005I_013M,C20005I_014E,C20005I_014M,C20005I_015E,C20005I_015M,C20005I_016E,C20005I_016M,C20005I_017E,C20005I_017M,C20005I_018E,C20005I_018M,C20005I_019E,C20005I_019M,C20005I_020E,C20005I_020M,C20005I_021E,C20005I_021M,C20005I_022E,C20005I_022M,C20005I_023E,C20005I_023M,C20005I_024E,C20005I_024M,C20005I_025E,C20005I_025M,C20005I_026E,C20005I_026M,C20005I_027E,C20005I_027M,C20005I_028E,C20005I_028M,C20005I_029E,C20005I_029M,C20005I_030E,C20005I_030M,C20005I_031E,C20005I_031M,C20005I_032E,C20005I_032M,C20005I_033E,C20005I_033M,C20005I_034E,C20005I_034M,C20005I_035E,C20005I_035M,C20005I_036E,C20005I_036M,C20005I_037E,C20005I_037M,C20005I_038E,C20005I_038M,C20005I_039E,C20005I_039M,NAME,C20005I_001EA,C20005I_001MA,C20005I_002MA,C20005I_002EA,C20005I_003MA,C20005I_003EA,C20005I_004EA,C20005I_004MA,C20005I_005MA,C20005I_005EA,C20005I_006EA,C20005I_006MA,C20005I_007EA,C20005I_007MA,C20005I_008MA,C20005I_008EA,C20005I_009EA,C20005I_009MA,C20005I_010MA,C20005I_010EA,C20005I_011MA,C20005I_011EA,C20005I_012EA,C20005I_012MA,C20005I_013MA,C20005I_013EA,C20005I_014EA,C20005I_014MA,C20005I_015EA,C20005I_015MA,C20005I_016EA,C20005I_016MA,C20005I_017EA,C20005I_017MA,C20005I_018EA,C20005I_018MA,C20005I_019MA,C20005I_019EA,C20005I_020MA,C20005I_020EA,C20005I_021EA,C20005I_021MA,C20005I_022EA,C20005I_022MA,C20005I_023EA,C20005I_023MA,C20005I_024MA,C20005I_024EA,C20005I_025MA,C20005I_025EA,C20005I_026EA,C20005I_026MA,C20005I_027MA,C20005I_027EA,C20005I_028EA,C20005I_028MA,C20005I_029EA,C20005I_029MA,C20005I_030MA,C20005I_030EA,C20005I_031MA,C20005I_031EA,C20005I_032MA,C20005I_032EA,C20005I_033EA,C20005I_033MA,C20005I_034EA,C20005I_034MA,C20005I_035EA,C20005I_035MA,C20005I_036MA,C20005I_036EA,C20005I_037MA,C20005I_037EA,C20005I_038EA,C20005I_038MA,C20005I_039EA,C20005I_039MA,state
0400000US01,120960,2089,68975,1990,37359,2941,0,273,37359,2941,1362,680,16430,2585,9474,1697,5164,1339,2336,788,2593,930,31616,2575,7557,1502,24059,2692,10808,2187,7552,1866,3362,1378,1902,646,77,133,358,334,51985,1645,17257,2131,0,273,17257,2131,2095,918,6362,1459,5253,1199,1928,699,1166,579,453,380,34728,2596,20951,2343,13777,2133,8882,1669,3425,1169,260,236,719,427,340,246,151,244,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,27040,1550,14780,1597,8044,891,0,246,8044,891,174,221,601,355,1715,644,2333,808,2112,591,1109,445,6736,1708,1877,738,4859,1591,926,398,1480,1045,726,504,1158,679,520,361,49,71,12260,562,4801,942,0,246,4801,942,0,246,727,509,1168,520,1787,665,950,494,169,150,7459,1006,3752,729,3707,854,1553,595,1245,508,553,275,88,110,79,90,189,211,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1275829,2868,635942,2274,283547,8347,0,305,283547,8347,6000,1541,55583,5063,62652,4937,96166,5629,40727,4196,22419,2570,352395,8819,191300,7568,161095,6566,80197,5213,41916,3864,20256,2884,13461,2299,2870,935,2395,809,639887,2201,199675,7359,0,305,199675,7359,6182,1428,44188,3882,59685,4153,62441,4957,19284,2299,7895,1704,440212,7546,275881,7827,164331,5561,86231,4454,49111,3970,15353,2420,9717,1776,2880,1111,1039,647,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,116539,2201,62566,2202,34688,2321,0,273,34688,2321,1164,596,11875,2018,9304,1585,7991,1631,2628,887,1726,654,27878,2779,9144,1481,18734,2702,6443,1495,7470,1810,2753,778,1655,953,198,186,215,223,53973,2020,16390,2131,0,273,16390,2131,448,483,7436,1779,5601,1181,2387,878,289,201,229,241,37583,2386,25370,2311,12213,1941,6340,1451,3845,1242,1517,570,439,359,12,26,60,104,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,9858487,7650,4964204,5478,2230637,16954,51,84,2230586,16950,55620,5043,451407,13708,513988,14344,637064,15251,340375,9900,232132,8215,2733567,16689,1320939,16259,1412628,17945,585457,14456,436837,9943,186148,7666,136675,6831,44650,3830,22861,2352,4894283,5338,1405280,17245,0,294,1405280,17245,49580,3693,350447,12007,332803,10562,394910,10011,184702,7959,92838,5466,3489003,19071,2128406,19560,1360597,17736,693078,14123,408890,11160,132247,6516,80089,4424,31499,2845,14794,2041,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,707756,2207,358213,2006,165832,5146,0,279,165832,5146,2927,858,28462,3230,38293,3352,54356,3959,25139,2559,16655,2189,192381,5559,84706,4204,107675,4542,51228,3190,30641,2892,12279,2186,9683,1757,1483,566,2361,893,349543,1958,107144,4339,0,279,107144,4339,3990,986,23798,2931,29077,2957,31101,3179,13462,1894,5716,1367,242399,4601,132750,4649,109649,4639,60163,3631,30241,3037,10830,1515,6289,1210,1456,559,670,459,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,337330,1436,166645,1291,71066,4008,0,281,71066,4008,1821,969,10853,2126,16783,2494,20866,2116,11610,1936,9133,1444,95579,4182,45174,2869,50405,3433,23739,2686,11575,1813,7712,1460,5268,1373,1411,721,700,467,170685,1129,54839,3263,0,281,54839,3263,1027,420,11363,2220,12887,1859,16473,1891,8825,1562,4264,1011,115846,3500,61365,3434,54481,3372,29060,3064,14980,2023,5881,1302,2891,1032,1336,617,333,332,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,48744,453,25025,628,12216,1427,0,265,12216,1427,33,61,2321,931,3194,1016,4436,1033,1393,607,839,528,12809,1510,5375,1114,7434,1697,2521,990,2647,763,1499,680,353,304,414,349,0,265,23719,511,8003,1444,0,265,8003,1444,196,248,2191,865,3171,973,1411,604,611,352,423,316,15716,1555,9184,1463,6532,1467,3061,905,1992,858,650,521,658,492,46,78,125,167,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,44591,187,23308,454,13527,1139,0,292,13527,1139,257,331,1029,633,3440,1062,4651,911,1527,743,2623,816,9781,1237,3934,1163,5847,1221,1707,871,1469,750,976,505,1251,727,191,231,253,229,21283,477,8565,1186,0,292,8565,1186,0,292,1278,732,992,578,2177,953,1690,656,2428,782,12718,1296,6348,1566,6370,1439,1629,704,2444,1054,1071,598,475,266,565,366,186,182,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3269395,3758,1599768,4798,745639,10908,0,310,745639,10908,22885,4345,157948,8740,177164,7864,200582,8605,102826,6684,84234,4251,854129,11754,469630,9266,384499,10136,162563,8523,131523,7285,46902,4351,29828,3528,7126,1398,6557,1324,1669627,3224,563588,12068,0,310,563588,12068,18653,2610,142373,8031,144499,6573,158451,6481,65389,4546,34223,3267,1106039,12049,727543,12013,378496,10015,187989,8780,118457,6379,36853,3479,24056,2934,6605,1124,4536,1074,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
