GEO_ID,C19001H_001E,C19001H_001M,C19001H_002E,C19001H_002M,C19001H_003E,C19001H_003M,C19001H_004E,C19001H_004M,C19001H_005E,C19001H_005M,C19001H_006E,C19001H_006M,C19001H_007E,C19001H_007M,C19001H_008E,C19001H_008M,C19001H_009E,C19001H_009M,C19001H_010E,C19001H_010M,C19001H_011E,C19001H_011M,NAME,C19001H_001MA,C19001H_001EA,C19001H_002EA,C19001H_002MA,C19001H_003EA,C19001H_003MA,C19001H_004EA,C19001H_004MA,C19001H_005MA,C19001H_005EA,C19001H_006MA,C19001H_006EA,C19001H_007EA,C19001H_007MA,C19001H_008MA,C19001H_008EA,C19001H_009EA,C19001H_009MA,C19001H_010MA,C19001H_010EA,C19001H_011MA,C19001H_011EA,state
0400000US01,1284513,8267,102037,5028,82635,3905,156497,5791,145755,5850,197048,7054,236208,7492,143475,6301,139020,4667,47734,2987,34104,2917,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,184919,2724,6380,1185,7013,1152,11944,1667,14716,1755,21361,2164,35198,2935,25762,2552,37868,2917,14048,2042,10629,1358,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1597633,9807,102448,5514,83228,4163,165975,7124,170629,5983,246421,8445,305527,7565,197274,7208,202020,6435,64373,3556,59738,3329,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,876539,5776,72907,3932,61850,3954,119895,4953,117311,5349,139139,5067,160545,5937,88190,4072,77025,3820,22265,2367,17412,2087,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,6376703,16640,319093,9574,298686,8676,559182,11784,517074,11606,747037,13080,1065090,15196,827231,12918,1039185,14879,473064,9554,531061,10679,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1508651,9545,86603,4539,68681,3958,136558,6294,140831,5975,199844,6931,284626,7651,204990,5216,228805,6713,82424,4677,75289,3501,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1043557,6368,44032,3299,36900,3314,82465,4611,76697,4278,123885,5052,178406,6655,145475,5375,182247,6094,79430,3334,94020,4190,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,233707,3942,10892,1559,9448,1670,19147,2444,21778,2086,31342,2059,47823,2655,32828,2617,37784,2991,12555,1279,10110,1220,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,100088,3327,5236,1039,1982,857,3431,879,4462,890,7489,1275,15391,1857,12451,1634,17955,1785,11797,1290,19894,1714,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4642502,19113,313128,8194,255752,8696,538802,11443,533768,12500,722720,12582,878132,14955,543697,11587,510748,12279,168150,6307,177605,6829,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2120189,10685,134947,5589,104199,4690,217847,7422,222244,8445,292851,8272,402875,9529,266265,8448,282830,8443,102279,5033,93852,3897,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,141093,3668,8599,1511,5363,1138,11130,1661,11448,1759,17159,1868,26151,2511,21833,2272,22927,2060,7224,1331,9259,1377,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,509056,5077,37171,3158,33524,2689,59341,3765,66587,4032,79769,4422,107556,4593,59074,3067,43420,3018,12837,1710,9777,1540,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,3355982,11877,177520,6525,144817,5707,335573,6943,328074,6865,441955,11062,626627,12269,454996,9400,490945,9220,177803,5184,177672,4965,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,2100964,9384,137973,5529,118956,5532,256230,6509,250143,6823,338723,8406,419669,8776,258384,6595,217901,6476,56348,3320,46637,2749,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
