GEO_ID,C27004_001E,C27004_001M,C27004_002E,C27004_002M,C27004_003E,C27004_003M,C27004_004E,C27004_004M,C27004_005E,C27004_005M,C27004_006E,C27004_006M,C27004_007E,C27004_007M,C27004_008E,C27004_008M,C27004_009E,C27004_009M,C27004_010E,C27004_010M,C27004_011E,C27004_011M,C27004_012E,C27004_012M,C27004_013E,C27004_013M,C27004_014E,C27004_014M,C27004_015E,C27004_015M,C27004_016E,C27004_016M,C27004_017E,C27004_017M,C27004_018E,C27004_018M,C27004_019E,C27004_019M,C27004_020E,C27004_020M,C27004_021E,C27004_021M,NAME,C27004_001MA,C27004_001EA,C27004_002MA,C27004_002EA,C27004_003MA,C27004_003EA,C27004_004EA,C27004_004MA,C27004_005EA,C27004_005MA,C27004_006MA,C27004_006EA,C27004_007MA,C27004_007EA,C27004_008MA,C27004_008EA,C27004_009EA,C27004_009MA,C27004_010EA,C27004_010MA,C27004_011EA,C27004_011MA,C27004_012MA,C27004_012EA,C27004_013EA,C27004_013MA,C27004_014MA,C27004_014EA,C27004_015EA,C27004_015MA,C27004_016EA,C27004_016MA,C27004_017MA,C27004_017EA,C27004_018EA,C27004_018MA,C27004_019MA,C27004_019EA,C27004_020MA,C27004_020EA,C27004_021EA,C27004_021MA,state
0400000US01,4702769,1669,2264282,5426,580409,4165,279201,7028,301208,7910,1411696,4278,821140,11220,590556,11391,272177,2147,111979,3727,160198,4007,2438487,5571,553229,3838,273375,6599,279854,7064,1519840,3855,904310,11290,615530,11136,365418,2200,123073,4431,242345,4414,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,689249,1872,351120,2257,98067,1769,49043,3389,49024,2967,228051,1873,129654,4269,98397,4554,25002,744,11867,1268,13135,1244,338129,1869,89917,1576,45658,2958,44259,3085,221384,1182,128398,3635,92986,3632,26828,631,10734,1303,16094,1322,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6310174,2001,3105385,4053,835349,2384,392309,10366,443040,10251,1869504,3564,988381,12367,881123,12778,400532,1319,144039,4474,256493,4619,3204789,3753,794582,2245,365940,8279,428642,8333,1935179,2604,1053396,11964,881783,11792,475028,1801,147124,4495,327904,4917,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2867611,1672,1395533,6537,360067,3837,144535,5718,215532,6042,855780,5332,454670,7916,401110,8989,179686,1735,56713,2740,122973,2686,1472078,6426,349307,3824,141196,5269,208111,5888,897653,5403,490536,8945,407117,8625,225118,1959,60006,2720,165112,3007,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,36815569,4634,18152479,9393,4749200,4391,2237061,20387,2512139,20075,11577968,9176,6170808,38810,5407160,37505,1825311,3391,679945,10024,1145366,10170,18663090,7973,4539491,3888,2129351,19857,2410140,20272,11771939,6474,6475592,31633,5296347,31718,2351660,4990,731805,10087,1619855,10565,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4956873,2211,2462240,6565,629839,3148,332229,8603,297610,8098,1592801,5038,926473,12336,666328,11845,239600,1431,91902,3375,147698,3597,2494633,6292,596369,3090,322315,6379,274054,6651,1601729,4414,971680,10802,630049,10668,296535,1791,102799,3226,193736,3351,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3519913,989,1704117,2239,416145,1288,271983,5567,144162,5740,1080650,1981,737812,8221,342838,7983,207322,1165,98672,3225,108650,3267,1815796,2076,398865,1282,258950,5565,139915,5422,1139428,1712,790631,7786,348797,7802,277503,1289,113133,3741,164370,3821,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,885232,820,426205,1636,105483,1063,59495,3312,45988,3373,265250,1178,174353,4105,90897,4158,55472,575,29846,1707,25626,1782,459027,1568,100563,969,58207,3399,42356,3299,288519,1142,190589,4652,97930,4462,69945,566,35276,1869,34669,1751,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,594282,401,278370,1152,51219,734,26002,2256,25217,2212,200415,1083,127648,3575,72767,3565,26736,414,15638,1201,11098,1157,315912,1126,49771,582,23735,2257,26036,2190,225760,797,146123,4041,79637,3931,40381,1099,22511,1587,17870,1519,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,18534081,4456,8979510,7602,2040425,4878,884634,15061,1155791,16141,5503186,7114,2690771,21538,2812415,22348,1435899,3228,488064,7434,947835,8517,9554571,6409,1949822,4738,852708,14090,1097114,14114,5832093,4854,3062257,23376,2769836,23080,1772656,3805,504399,9833,1268257,9857,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,9519836,3059,4595689,7668,1275569,5860,593789,12590,681780,13763,2892009,5853,1606725,15688,1285284,16878,428111,2684,169228,5794,258883,6206,4924147,7623,1216712,5971,581056,12681,635656,13164,3132018,4795,1811000,17008,1321018,16562,575417,2855,185980,4895,389437,4955,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
