GEO_ID,C23002D_001E,C23002D_001M,C23002D_002E,C23002D_002M,C23002D_003E,C23002D_003M,C23002D_004E,C23002D_004M,C23002D_005E,C23002D_005M,C23002D_006E,C23002D_006M,C23002D_007E,C23002D_007M,C23002D_008E,C23002D_008M,C23002D_009E,C23002D_009M,C23002D_010E,C23002D_010M,C23002D_011E,C23002D_011M,C23002D_012E,C23002D_012M,C23002D_013E,C23002D_013M,C23002D_014E,C23002D_014M,C23002D_015E,C23002D_015M,C23002D_016E,C23002D_016M,C23002D_017E,C23002D_017M,C23002D_018E,C23002D_018M,C23002D_019E,C23002D_019M,C23002D_020E,C23002D_020M,C23002D_021E,C23002D_021M,C23002D_022E,C23002D_022M,C23002D_023E,C23002D_023M,C23002D_024E,C23002D_024M,C23002D_025E,C23002D_025M,C23002D_026E,C23002D_026M,C23002D_027E,C23002D_027M,NAME,C23002D_001MA,C23002D_001EA,C23002D_002MA,C23002D_002EA,C23002D_003EA,C23002D_003MA,C23002D_004EA,C23002D_004MA,C23002D_005EA,C23002D_005MA,C23002D_006MA,C23002D_006EA,C23002D_007MA,C23002D_007EA,C23002D_008EA,C23002D_008MA,C23002D_009EA,C23002D_009MA,C23002D_010EA,C23002D_010MA,C23002D_011EA,C23002D_011MA,C23002D_012EA,C23002D_012MA,C23002D_013MA,C23002D_013EA,C23002D_014EA,C23002D_014MA,C23002D_015EA,C23002D_015MA,C23002D_016MA,C23002D_016EA,C23002D_017EA,C23002D_017MA,C23002D_018EA,C23002D_018MA,C23002D_019MA,C23002D_019EA,C23002D_020EA,C23002D_020MA,C23002D_021MA,C23002D_021EA,C23002D_022EA,C23002D_022MA,C23002D_023MA,C23002D_023EA,C23002D_024MA,C23002D_024EA,C23002D_025MA,C23002D_025EA,C23002D_026MA,C23002D_026EA,C23002D_027EA,C23002D_027MA,state
0400000US01,41566,2104,18613,1255,17446,1272,13623,1304,144,155,13479,1310,12438,1268,1041,550,3823,872,1167,385,498,259,498,259,0,273,669,351,22953,1653,20778,1578,12930,1422,119,144,12811,1420,11949,1393,862,382,7848,1615,2175,622,186,117,186,117,0,273,1989,612,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,30064,2151,13890,1392,12900,1245,11496,1294,370,278,11126,1332,10719,1311,407,346,1404,554,990,508,686,408,686,408,0,246,304,268,16174,1150,14209,994,10036,1002,0,246,10036,1002,9780,992,256,228,4173,798,1965,439,338,254,338,254,0,246,1627,361,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,141521,3356,65551,2401,59615,2519,48438,2663,774,747,47664,2653,44521,2961,3143,1054,11177,2062,5936,609,1134,530,1012,547,122,139,4802,699,75970,2097,67094,2103,43896,2473,226,237,43670,2484,40670,2605,3000,1084,23198,2320,8876,828,631,372,559,388,72,122,8245,927,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,26294,1677,12007,1232,11502,1138,9069,950,0,273,9069,950,8570,1009,499,603,2433,983,505,372,140,178,140,178,0,273,365,346,14287,1228,13481,1375,9043,1250,0,273,9043,1250,7843,1186,1200,671,4438,1001,806,498,65,65,65,65,0,273,741,496,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,4011549,11495,1863471,6610,1620874,6430,1261592,8677,7333,1446,1254259,8852,1122507,10676,131752,6340,359282,8762,242597,1865,45464,3058,40346,3031,5118,1031,197133,3440,2148078,7764,1820170,7159,1232272,11083,917,532,1231355,11147,1117096,10422,114259,5952,587898,9868,327908,2304,33322,2497,30273,2441,3049,718,294586,2873,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,106461,3056,47399,2141,43616,2211,36878,2143,168,192,36710,2176,33311,2172,3399,1188,6738,1230,3783,557,940,468,940,468,0,279,2843,602,59062,1936,52805,1849,37053,2155,31,54,37022,2148,34430,2297,2592,636,15752,1828,6257,827,744,378,702,373,42,69,5513,775,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,103565,1926,49519,1233,45870,1256,39248,1584,380,198,38868,1601,35925,1744,2943,924,6622,1507,3649,443,670,389,439,223,231,344,2979,606,54046,1364,49812,1360,33388,1858,0,281,33388,1858,29954,2014,3434,1092,16424,1432,4234,523,414,309,375,299,39,63,3820,579,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,21898,972,10327,685,9371,666,7888,791,33,61,7855,793,7295,679,560,393,1483,568,956,209,283,162,283,162,0,265,673,261,11571,621,10284,603,6329,755,0,265,6329,755,5774,718,555,276,3955,806,1287,269,341,236,341,236,0,265,946,356,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,19932,968,8333,492,7880,499,5969,667,132,167,5837,676,5516,704,321,250,1911,722,453,220,207,156,207,156,0,292,246,213,11599,760,10695,769,7801,1064,0,292,7801,1064,7437,1148,364,262,2894,897,904,375,448,351,448,351,0,292,456,277,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,367352,5110,167140,3452,149236,3455,119824,3928,940,672,118884,3892,107021,3887,11863,1892,29412,2830,17904,1158,5176,1115,4663,1072,513,317,12728,1387,200212,3198,175911,3449,117951,3817,102,118,117849,3814,107719,3959,10130,1775,57960,3268,24301,1309,3776,1051,3384,984,392,342,20525,1302,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,247147,3877,118057,2806,109434,2575,85785,2938,798,449,84987,2990,79808,3260,5179,1184,23649,2457,8623,944,2261,726,2204,745,57,79,6362,1125,129090,2276,117574,2028,71473,3268,0,300,71473,3268,64279,3317,7194,1242,46101,3002,11516,1045,913,472,804,457,109,124,10603,1029,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,460912,7127,210758,4309,162993,3973,133293,3953,1545,614,131748,3863,124688,3728,7060,1158,29700,2613,47765,1068,8366,1347,7905,1310,461,244,39399,1440,250154,4098,182303,3666,139329,3324,210,225,139119,3321,133969,3371,5150,1091,42974,2943,67851,1298,10106,1422,9865,1447,241,195,57745,1873,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,14208,1336,5887,739,5079,716,4402,655,0,267,4402,655,3956,655,446,298,677,375,808,312,232,198,232,198,0,267,576,304,8321,1021,7355,912,4764,893,0,267,4764,893,4208,819,556,360,2591,725,966,488,199,339,199,339,0,267,767,311,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,473903,4328,224122,3951,199972,4044,163326,4508,0,267,163326,4508,149128,4562,14198,1848,36646,3021,24150,805,7205,1313,6823,1319,382,259,16945,1338,249781,4150,220519,4158,146351,4108,46,75,146305,4120,134410,4164,11895,1729,74168,4603,29262,929,4473,885,4205,907,268,248,24789,1213,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,80098,2631,38343,1848,36563,1774,25820,1766,0,267,25820,1766,24470,1656,1350,665,10743,1710,1780,440,542,311,542,311,0,267,1238,372,41755,1941,38997,1772,23516,1784,0,267,23516,1784,21587,1609,1929,686,15481,1862,2758,704,574,333,574,333,0,267,2184,608,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,39047,1677,19100,1298,18565,1267,16374,1246,46,76,16328,1253,15449,1229,879,474,2191,615,535,309,205,184,205,184,0,228,330,209,19947,1168,18567,1072,13555,1162,0,228,13555,1162,12820,1286,735,401,5012,834,1380,464,196,202,196,202,0,228,1184,405,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,53380,1835,25049,1130,23524,1296,18319,1251,80,134,18239,1255,16897,1262,1342,630,5205,1003,1525,530,210,178,210,178,0,248,1315,535,28331,1342,26195,1414,18097,1459,0,248,18097,1459,16467,1479,1630,646,8098,1186,2136,501,277,202,234,197,43,71,1859,531,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
