GEO_ID,C17001_001E,C17001_001M,C17001_002E,C17001_002M,C17001_003E,C17001_003M,C17001_004E,C17001_004M,C17001_005E,C17001_005M,C17001_006E,C17001_006M,C17001_007E,C17001_007M,C17001_008E,C17001_008M,C17001_009E,C17001_009M,C17001_010E,C17001_010M,C17001_011E,C17001_011M,C17001_012E,C17001_012M,C17001_013E,C17001_013M,C17001_014E,C17001_014M,C17001_015E,C17001_015M,C17001_016E,C17001_016M,C17001_017E,C17001_017M,C17001_018E,C17001_018M,C17001_019E,C17001_019M,NAME,C17001_001EA,C17001_001MA,C17001_002EA,C17001_002MA,C17001_003MA,C17001_003EA,C17001_004MA,C17001_004EA,C17001_005EA,C17001_005MA,C17001_006EA,C17001_006MA,C17001_007MA,C17001_007EA,C17001_008EA,C17001_008MA,C17001_009MA,C17001_009EA,C17001_010MA,C17001_010EA,C17001_011EA,C17001_011MA,C17001_012EA,C17001_012MA,C17001_013MA,C17001_013EA,C17001_014EA,C17001_014MA,C17001_015MA,C17001_015EA,C17001_016EA,C17001_016MA,C17001_017EA,C17001_017MA,C17001_018MA,C17001_018EA,C17001_019MA,C17001_019EA,state
0400000US01,4666970,2567,888290,22673,386449,12677,156936,7247,208983,8590,20530,1761,501841,14636,153654,7330,300511,9048,47676,3396,3778680,22820,1869842,12495,416605,7121,1201590,8796,251647,2564,1908838,14932,393273,7040,1197823,9924,317742,3147,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,696822,1573,69279,6120,32604,2868,12837,1753,18610,1840,1157,591,36675,4168,10936,1786,23965,2841,1774,635,627543,6406,328079,3648,83798,2745,220436,2142,23845,1012,299464,4479,76603,2416,197807,2977,25054,862,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6272686,3673,1094249,33633,514202,19097,200117,10776,288975,11114,25110,2434,580047,18739,192112,9716,345436,12101,42499,3264,5178437,33939,2578612,19836,623987,11597,1579203,11501,375422,2463,2599825,17918,589892,9891,1577404,12247,432529,3559,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2839798,2045,534898,16599,239146,8453,97720,5541,128445,5269,12981,1679,295752,10413,95361,5535,171996,6603,28395,1994,2304900,16402,1147139,11020,257082,5871,723352,7711,166705,2098,1157761,12019,249240,6293,711798,8286,196723,2573,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,36593372,8519,5783043,74336,2692153,43630,1022077,22458,1525423,26341,144653,5463,3090890,39177,990508,23065,1837792,21888,262590,8359,30810329,75605,15378038,43525,3659690,22195,10037690,27660,1680658,6941,15432291,42427,3485406,24599,9857815,23093,2089070,9194,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4934178,2454,659786,23009,313248,13560,111520,7316,185331,8342,16397,1813,346538,12951,99012,6247,220764,8239,26762,2141,4274392,23309,2145568,15240,512340,8188,1410025,9403,223203,2384,2128824,13051,490539,6190,1368512,8779,269773,2388,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3466977,2302,350145,15842,155499,8327,54022,4973,92118,5430,9359,1459,194646,10084,49476,4505,122596,6294,22574,2197,3116832,15723,1526148,8202,358238,5066,969947,5301,197963,1720,1590684,10404,344105,4452,991650,6779,254929,2604,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,874321,1107,103427,8098,46341,4353,19590,2379,23764,2901,2987,966,57086,4795,17065,2496,33320,2903,6701,1203,770894,8103,376073,4538,83820,2466,239768,3195,52485,1040,394821,5135,82124,2622,249453,3024,63244,1333,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,570953,564,109423,7577,45717,4777,15921,2292,27451,3495,2345,752,63706,4122,14634,2160,42649,2891,6423,972,461530,7527,221895,4927,34748,2288,162901,3775,24246,913,239635,4484,35050,2213,170627,3232,33958,1336,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,18436788,6230,3047343,41603,1400454,21771,469799,13074,817049,16123,113606,6062,1646889,27271,454164,14714,987709,18955,205016,6801,15389445,41453,7542486,21810,1543890,13469,4676303,17025,1322293,6067,7846959,26303,1468719,13532,4810600,18748,1567640,7338,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
