GEO_ID,C17024_001E,C17024_001M,C17024_002E,C17024_002M,C17024_003E,C17024_003M,C17024_004E,C17024_004M,C17024_005E,C17024_005M,C17024_006E,C17024_006M,C17024_007E,C17024_007M,C17024_008E,C17024_008M,C17024_009E,C17024_009M,C17024_010E,C17024_010M,C17024_011E,C17024_011M,C17024_012E,C17024_012M,C17024_013E,C17024_013M,C17024_014E,C17024_014M,C17024_015E,C17024_015M,C17024_016E,C17024_016M,C17024_017E,C17024_017M,C17024_018E,C17024_018M,C17024_019E,C17024_019M,C17024_020E,C17024_020M,C17024_021E,C17024_021M,C17024_022E,C17024_022M,C17024_023E,C17024_023M,C17024_024E,C17024_024M,C17024_025E,C17024_025M,C17024_026E,C17024_026M,C17024_027E,C17024_027M,C17024_028E,C17024_028M,NAME,C17024_001MA,C17024_001EA,C17024_002EA,C17024_002MA,C17024_003MA,C17024_003EA,C17024_004MA,C17024_004EA,C17024_005EA,C17024_005MA,C17024_006MA,C17024_006EA,C17024_007EA,C17024_007MA,C17024_008EA,C17024_008MA,C17024_009MA,C17024_009EA,C17024_010EA,C17024_010MA,C17024_011EA,C17024_011MA,C17024_012MA,C17024_012EA,C17024_013MA,C17024_013EA,C17024_014MA,C17024_014EA,C17024_015EA,C17024_015MA,C17024_016EA,C17024_016MA,C17024_017MA,C17024_017EA,C17024_018MA,C17024_018EA,C17024_019EA,C17024_019MA,C17024_020EA,C17024_020MA,C17024_021EA,C17024_021MA,C17024_022EA,C17024_022MA,C17024_023EA,C17024_023MA,C17024_024MA,C17024_024EA,C17024_025MA,C17024_025EA,C17024_026EA,C17024_026MA,C17024_027EA,C17024_027MA,C17024_028EA,C17024_028MA,state
0400000US01,4666970,2567,1120468,3595,144386,9478,166204,9483,72433,6869,183370,10900,190140,10295,130690,7410,91154,6281,142091,6616,2908907,3501,220378,8926,289116,11428,161163,9067,410030,14746,493803,16334,397221,10726,291205,13470,645991,13188,637595,2562,15553,2087,52653,3066,35631,2639,132030,4789,131775,5997,87862,5264,58216,4441,123875,5539,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,696822,1573,184174,1718,8330,1918,15443,2455,8711,2074,25561,3800,36084,4299,32781,3494,20467,3315,36797,3669,460818,1162,19691,2716,22884,2856,18494,2132,53196,4543,64686,4969,62579,4845,54245,4965,165043,6847,51830,1042,621,399,2310,959,1639,558,7297,1243,9537,1506,7658,1256,6543,1510,16225,1839,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6272686,3673,1606108,3804,187864,13702,204365,12616,132254,9627,303164,14215,286697,13634,181801,11404,109661,8305,200302,10215,3791018,2485,312235,13536,322176,13210,209956,11192,517784,18771,640687,19901,502824,17253,365646,13930,919710,17834,875560,2405,18400,1910,49209,4050,40291,3156,140930,6439,175256,7036,136539,7159,98013,6170,216922,6729,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2839798,2045,699403,3290,82847,6759,110234,7986,52592,5447,137222,7677,126261,7640,75643,4559,45832,4131,68772,5529,1735591,3155,129744,5962,170697,8444,93821,6867,271233,10597,324645,12945,232617,9281,173023,8474,339811,12797,404804,2660,9186,1301,32190,2473,26993,2743,87559,4298,87599,4544,53457,3917,37570,2402,70250,3869,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,36593372,8519,9157681,9562,847366,30777,1165219,28756,635966,22061,1585781,32862,1475720,28670,1009749,26379,700060,18008,1737820,23424,23258720,6873,1541797,28940,1821418,35839,1104028,25997,3191976,41612,3602197,51172,2836218,43326,2225523,34269,6935563,53787,4176971,6408,112100,5438,295143,8900,206596,8845,662057,14552,706472,14653,552796,14863,400762,11886,1241045,18051,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4934178,2454,1213411,3318,91476,7144,119056,9125,69687,7787,188659,10969,210246,9119,164118,8889,121079,8663,249090,10786,3184632,2891,194564,8625,211531,10518,128220,7660,365623,12793,487727,12312,429454,13697,348925,12487,1018588,15656,536135,2272,11880,1761,31279,2313,22551,2478,76316,3459,104833,5298,77981,4616,61517,4802,149778,5776,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3466977,2302,805841,2370,50340,6358,53158,6733,31544,4563,91032,6128,116509,7487,110957,7646,90215,6390,262086,6617,2176311,1656,104492,7068,110222,7512,56437,5460,181706,10031,271853,11761,280387,11237,258148,12990,913066,14665,484825,1411,9533,1870,22400,2428,17702,2170,72543,4936,86161,4258,69472,4861,49649,3378,157365,5370,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,874321,1107,202599,1292,15473,3368,21182,3988,5666,1802,33894,4668,38178,4780,28181,3528,21771,3088,38254,3244,546305,933,28741,3323,28343,3709,14654,2738,62435,5896,89361,6384,80979,5851,64716,6322,177076,7650,125417,821,2703,716,6985,1524,4323,1059,18816,2135,22912,2510,20313,2128,13291,1981,36074,2576,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,570953,564,100353,683,16257,3477,14298,2992,4394,1811,16126,3172,11691,3059,6238,1836,4662,1343,26687,2263,403628,1112,41360,4069,28740,3397,11587,2194,35264,3351,43405,4965,48961,5364,38254,3794,156057,5993,66972,946,3371,1059,5397,928,2796,824,8405,1319,8542,1569,8153,1323,6183,1140,24125,1745,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,18436788,6230,3936572,7482,411134,18090,512829,18559,266734,15619,705816,22331,695342,18602,478773,15047,307012,11566,558932,16986,11291661,5185,856262,23290,948496,23458,548677,19841,1648142,31870,1987831,37098,1605125,33853,1138951,27111,2558177,32210,3208555,3802,88928,6106,229694,8761,168079,6476,548774,13677,625058,12362,468795,12741,316972,10355,762255,14969,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
