GEO_ID,B17012_001E,B17012_001M,B17012_002E,B17012_002M,B17012_003E,B17012_003M,B17012_004E,B17012_004M,B17012_005E,B17012_005M,B17012_006E,B17012_006M,B17012_007E,B17012_007M,B17012_008E,B17012_008M,B17012_009E,B17012_009M,B17012_010E,B17012_010M,B17012_011E,B17012_011M,B17012_012E,B17012_012M,B17012_013E,B17012_013M,B17012_014E,B17012_014M,B17012_015E,B17012_015M,B17012_016E,B17012_016M,B17012_017E,B17012_017M,B17012_018E,B17012_018M,B17012_019E,B17012_019M,B17012_020E,B17012_020M,B17012_021E,B17012_021M,B17012_022E,B17012_022M,B17012_023E,B17012_023M,B17012_024E,B17012_024M,B17012_025E,B17012_025M,B17012_026E,B17012_026M,B17012_027E,B17012_027M,B17012_028E,B17012_028M,B17012_029E,B17012_029M,B17012_030E,B17012_030M,B17012_031E,B17012_031M,B17012_032E,B17012_032M,B17012_033E,B17012_033M,B17012_034E,B17012_034M,B17012_035E,B17012_035M,NAME,B17012_001EA,B17012_001MA,B17012_002EA,B17012_002MA,B17012_003MA,B17012_003EA,B17012_004EA,B17012_004MA,B17012_005EA,B17012_005MA,B17012_006EA,B17012_006MA,B17012_007EA,B17012_007MA,B17012_008EA,B17012_008MA,B17012_009EA,B17012_009MA,B17012_010EA,B17012_010MA,B17012_011MA,B17012_011EA,B17012_012MA,B17012_012EA,B17012_013MA,B17012_013EA,B17012_014EA,B17012_014MA,B17012_015MA,B17012_015EA,B17012_016EA,B17012_016MA,B17012_017MA,B17012_017EA,B17012_018MA,B17012_018EA,B17012_019EA,B17012_019MA,B17012_020MA,B17012_020EA,B17012_021MA,B17012_021EA,B17012_022MA,B17012_022EA,B17012_023EA,B17012_023MA,B17012_024EA,B17012_024MA,B17012_025MA,B17012_025EA,B17012_026EA,B17012_026MA,B17012_027MA,B17012_027EA,B17012_028MA,B17012_028EA,B17012_029EA,B17012_029MA,B17012_030EA,B17012_030MA,B17012_031MA,B17012_031EA,B17012_032MA,B17012_032EA,B17012_033EA,B17012_033MA,B17012_034EA,B17012_034MA,B17012_035MA,B17012_035EA,state
0400000US01,1227884,13886,180849,6757,56212,3459,22265,2221,22682,2701,9424,1776,1841,721,124637,6103,16878,2581,5165,1239,9395,2079,1857,920,461,417,107759,4952,15574,2164,68522,4736,20536,2758,3127,949,1047035,12901,812734,12086,493934,8638,264685,7572,51546,3499,2569,788,234301,7336,62430,4463,31234,3579,28327,2824,2808,768,61,86,171871,6410,77188,3762,84232,5386,10198,1696,253,321,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,170859,4484,12277,1505,3588,812,1045,450,1637,609,585,332,321,125,8689,1163,1709,583,260,225,1140,521,237,232,72,90,6980,1013,582,378,4397,885,1933,582,68,53,158582,4656,124381,4730,63205,3262,45123,3279,13671,1994,2382,679,34201,2515,12502,1832,4554,1020,6841,1375,1079,493,28,33,21699,2139,6010,1081,13255,1808,2182,747,252,261,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1548428,12546,194239,8312,81946,4465,25300,2266,28822,2595,22905,2816,4919,1360,112293,6405,23173,2641,5147,1300,12710,2018,4613,1341,703,468,89120,6024,11116,1820,50500,4656,23671,2753,3833,1017,1354189,11236,1052283,11352,633274,9113,319121,8817,91583,5241,8305,1788,301906,8970,100599,6134,42445,4040,47778,3802,9354,1948,1022,605,201307,6753,74174,4033,106273,5096,19492,2194,1368,719,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,761361,9102,107243,4728,37321,2720,14372,1809,14364,1892,6480,1515,2105,836,69922,4568,12037,2148,3319,1033,5710,1311,2488,878,520,469,57885,3869,6026,1053,35740,2728,14575,1996,1544,752,654118,7896,517625,8143,319233,6011,158312,5042,37168,2665,2912,892,136493,5972,39583,3040,20125,2247,17172,1983,1897,761,389,495,96910,4853,38682,2981,51398,3980,6480,1268,350,289,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8507856,27357,1003305,17807,437443,10169,114159,5148,178565,6925,122357,6293,22362,2507,565862,14438,121378,7334,25814,3107,62282,5436,29049,3066,4233,1283,444484,10980,63172,3914,244076,8585,118057,5767,19179,2266,7504551,26422,5645123,26318,2904405,19077,2179788,21259,516036,12077,44894,3370,1859428,20517,615248,12067,298387,8718,267086,8414,46399,3748,3376,903,1244180,18019,548980,11627,590751,15308,94348,5414,10101,2077,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1258885,11852,118446,6082,45684,3914,16045,1879,16546,2417,11615,1818,1478,743,72762,4791,13751,2325,2581,781,8106,1692,2799,1040,265,302,59011,3914,5898,1054,38201,3237,13501,2289,1411,731,1140439,10316,913940,10744,513081,8834,318343,8350,77322,4331,5194,1263,226499,6124,76767,4664,32136,2439,39930,3841,4216,1234,485,434,149732,5449,59692,3296,77511,3958,11715,1795,814,484,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,890770,9681,63695,4324,18642,2308,7826,1591,7417,1348,3187,1068,212,182,45053,3592,5956,1524,1369,719,3910,1250,677,517,0,281,39097,3313,4382,1021,24055,2817,9446,1656,1214,659,827075,9311,637987,8316,355979,6433,233810,6343,46559,3011,1639,739,189088,6835,52369,3990,27221,2668,21595,2682,3495,952,58,93,136719,6555,55104,4003,70767,4567,10537,1953,311,243,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,221233,4976,17881,2221,5527,1251,2000,664,1281,557,1962,851,284,305,12354,1739,1957,722,213,206,901,505,589,479,254,251,10397,1518,888,380,7300,1455,1625,617,584,444,203352,5101,156048,4811,92949,3466,50633,2845,11263,1587,1203,531,47304,3417,12167,1778,5600,1228,5945,1195,622,381,0,265,35137,3242,13330,1699,19422,2530,2374,745,11,18,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,101519,4051,14285,1749,1765,604,918,486,460,322,387,265,0,292,12520,1612,1209,562,397,391,433,321,182,178,197,238,11311,1444,2074,718,6054,1188,2342,847,841,409,87234,3887,55510,2748,33997,2626,18702,1818,2694,772,117,136,31724,2645,7531,1181,4065,964,3035,814,431,386,0,292,24193,2321,11591,1492,10506,1578,1882,635,214,233,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4556930,26451,548767,9830,218862,8016,95017,5791,86424,5121,32182,3721,5239,1321,329905,9401,58942,4362,19353,2358,31020,3170,7101,1621,1468,838,270963,8493,45011,3034,159237,6980,57370,4327,9345,1936,4008163,23287,3089022,22163,1978189,17253,928398,14695,173399,6674,9036,1578,919141,15599,254363,9459,128594,6888,111071,6584,14245,2131,453,402,664778,11688,289573,9008,332719,8508,39883,3216,2603,860,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
