GEO_ID,C16010_001E,C16010_001M,C16010_002E,C16010_002M,C16010_003E,C16010_003M,C16010_004E,C16010_004M,C16010_005E,C16010_005M,C16010_006E,C16010_006M,C16010_007E,C16010_007M,C16010_008E,C16010_008M,C16010_009E,C16010_009M,C16010_010E,C16010_010M,C16010_011E,C16010_011M,C16010_012E,C16010_012M,C16010_013E,C16010_013M,C16010_014E,C16010_014M,C16010_015E,C16010_015M,C16010_016E,C16010_016M,C16010_017E,C16010_017M,C16010_018E,C16010_018M,C16010_019E,C16010_019M,C16010_020E,C16010_020M,C16010_021E,C16010_021M,C16010_022E,C16010_022M,C16010_023E,C16010_023M,C16010_024E,C16010_024M,C16010_025E,C16010_025M,C16010_026E,C16010_026M,C16010_027E,C16010_027M,C16010_028E,C16010_028M,C16010_029E,C16010_029M,C16010_030E,C16010_030M,C16010_031E,C16010_031M,C16010_032E,C16010_032M,C16010_033E,C16010_033M,C16010_034E,C16010_034M,C16010_035E,C16010_035M,C16010_036E,C16010_036M,C16010_037E,C16010_037M,NAME,C16010_001EA,C16010_001MA,C16010_002EA,C16010_002MA,C16010_003MA,C16010_003EA,C16010_004EA,C16010_004MA,C16010_005EA,C16010_005MA,C16010_006MA,C16010_006EA,C16010_007EA,C16010_007MA,C16010_008MA,C16010_008EA,C16010_009EA,C16010_009MA,C16010_010EA,C16010_010MA,C16010_011EA,C16010_011MA,C16010_012EA,C16010_012MA,C16010_013MA,C16010_013EA,C16010_014EA,C16010_014MA,C16010_015MA,C16010_015EA,C16010_016EA,C16010_016MA,C16010_017EA,C16010_017MA,C16010_018MA,C16010_018EA,C16010_019EA,C16010_019MA,C16010_020MA,C16010_020EA,C16010_021EA,C16010_021MA,C16010_022MA,C16010_022EA,C16010_023MA,C16010_023EA,C16010_024MA,C16010_024EA,C16010_025MA,C16010_025EA,C16010_026MA,C16010_026EA,C16010_027EA,C16010_027MA,C16010_028MA,C16010_028EA,C16010_029MA,C16010_029EA,C16010_030EA,C16010_030MA,C16010_031MA,C16010_031EA,C16010_032EA,C16010_032MA,C16010_033EA,C16010_033MA,C16010_034MA,C16010_034EA,C16010_035MA,C16010_035EA,C16010_036EA,C16010_036MA,C16010_037EA,C16010_037MA,state
0400000US01,3161521,5158,564876,12447,213397,7970,178937,7353,30542,2865,3918,1097,351479,9461,337547,9741,10836,1972,3096,859,988205,14381,554137,11676,531288,11289,16208,2118,6641,1378,434068,9997,427157,9779,3402,976,3509,877,915745,11582,629270,9577,608320,9959,12719,2262,8231,1650,286475,8103,276737,8018,4430,1203,5308,1114,692695,11928,515564,11022,485099,10862,8760,1360,21705,2373,177131,5345,168574,5120,2493,744,6064,1095,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,450577,1719,40376,3291,21746,2669,11886,1993,4181,1184,5679,983,18630,1811,11676,1651,783,480,6171,825,114055,4615,74853,4157,62215,3846,1719,761,10919,1623,39202,2653,34328,2497,394,240,4480,655,170323,5464,128336,5397,107933,5240,3581,888,16822,2291,41987,2959,36617,2731,772,426,4598,1152,125823,5649,103836,5351,91376,4759,2888,1100,9572,1722,21987,1968,18537,1811,455,418,2995,1005,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,4146758,3096,595351,15037,277172,9767,92330,6211,169030,7096,15812,2275,318179,10174,146357,7326,137204,7552,34618,3149,1040197,18034,581177,13578,405699,11619,137947,7508,37531,3669,459020,10528,363761,8663,63613,4480,31646,2614,1437175,16443,947776,16341,764486,15324,130871,5976,52419,4547,489399,8600,419932,8748,44926,3768,24541,2613,1074035,15474,759638,12153,633805,12052,63233,5436,62600,4383,314397,8262,273610,7798,15156,1873,25631,2780,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1919422,5349,327424,8797,130914,5555,97224,4632,29859,2889,3831,1097,196510,7077,182432,6550,11478,1926,2600,1090,664076,10681,382696,9287,364733,8701,13803,2419,4160,853,281380,7741,275325,7561,3371,975,2684,947,553904,9835,377361,8540,363134,8702,9734,2041,4493,1034,176543,6761,170225,6383,3220,886,3098,1075,374018,10531,278705,8570,262103,8412,6036,1350,10566,2060,95313,4915,90175,4795,1667,611,3471,993,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,24097200,5727,4650042,39298,2538246,30536,423202,10846,1879614,27100,235430,9687,2111796,24615,651125,14212,1086753,18296,373918,9701,5012413,30126,3057633,24380,1634580,20644,1064341,19068,358712,11092,1954780,24459,1293045,20463,374014,9781,287721,9067,7183474,42324,4981792,39115,3353896,31807,985647,16844,642249,13823,2201682,23489,1658817,22021,254572,8426,288293,9864,7251271,41850,5498894,36608,3603990,33167,524813,12673,1370091,18901,1752377,19643,1194630,15825,111382,6187,446365,12108,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3328045,3818,343432,9805,179040,7607,73009,4911,96508,6267,9523,1718,164392,6115,92801,4804,59303,4424,12288,2023,759326,12524,483165,11408,393437,10159,66739,5148,22989,2735,276161,6823,240899,6471,24454,2384,10808,1714,1014057,15893,738613,13398,658752,13001,49540,3675,30321,3355,275444,7840,245982,7085,17782,2398,11680,1800,1211230,15523,943663,15332,847461,14102,40249,3454,55953,4260,267567,7754,239665,7204,8759,1455,19143,2546,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2434383,1628,277008,10135,127291,5666,54555,4226,48707,4402,24029,2797,149717,6919,84185,4616,34287,2870,31245,3482,687618,12666,435022,9773,331448,9392,55265,4037,48309,4221,252596,7246,210008,6598,18304,2104,24284,2053,604458,11174,453912,10958,375438,8766,40231,3923,38243,3427,150546,5133,128323,4750,7740,1323,14483,1795,865299,14071,671454,10936,561944,10182,27470,2711,82040,4556,193845,6903,164108,6148,6593,1551,23144,2567,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,600779,1136,74121,5051,32176,3425,22148,2937,8646,1521,1382,589,41945,2907,35023,2729,4806,1016,2116,744,196159,6003,115690,4709,106563,4373,6467,1538,2660,1031,80469,3683,76388,3879,1789,623,2292,734,163431,6398,115138,5198,106149,4824,5411,1611,3578,885,48293,3583,44535,3227,1996,717,1762,563,167068,5686,127579,5196,108142,4728,4432,1068,15005,1693,39489,2663,34234,2494,1222,553,4033,768,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,416824,662,52392,3736,24419,2741,18254,2664,4777,1286,1388,591,27973,2284,25547,2115,1621,564,805,490,84569,4333,50385,4024,43749,3784,4190,1355,2446,963,34184,2987,32564,3014,588,411,1032,540,71039,4697,49888,4200,43279,4089,3439,1150,3170,912,21151,2160,18483,2099,498,302,2170,777,208824,4572,172788,4608,144320,4326,9369,1430,19099,2355,36036,2884,28261,2309,2096,691,5679,1246,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,13077179,7576,1899051,24619,843967,17601,410340,11805,343743,11662,89884,5539,1055084,19215,643437,15238,322127,9688,89520,5722,3916584,29922,2226442,24180,1590068,22741,486809,13028,149565,7545,1690142,19958,1369082,17498,223788,8193,97272,5968,3890293,30180,2597761,27225,1953190,21897,473867,12706,170704,8450,1292532,18004,1072227,16693,146454,5723,73851,4469,3371251,27946,2344274,24226,1701299,19100,417996,12399,224979,8575,1026977,16160,816545,13922,119577,6045,90855,5005,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
