GEO_ID,B19101G_001E,B19101G_001M,B19101G_002E,B19101G_002M,B19101G_003E,B19101G_003M,B19101G_004E,B19101G_004M,B19101G_005E,B19101G_005M,B19101G_006E,B19101G_006M,B19101G_007E,B19101G_007M,B19101G_008E,B19101G_008M,B19101G_009E,B19101G_009M,B19101G_010E,B19101G_010M,B19101G_011E,B19101G_011M,B19101G_012E,B19101G_012M,B19101G_013E,B19101G_013M,B19101G_014E,B19101G_014M,B19101G_015E,B19101G_015M,B19101G_016E,B19101G_016M,B19101G_017E,B19101G_017M,NAME,B19101G_001EA,B19101G_001MA,B19101G_002MA,B19101G_002EA,B19101G_003MA,B19101G_003EA,B19101G_004MA,B19101G_004EA,B19101G_005MA,B19101G_005EA,B19101G_006EA,B19101G_006MA,B19101G_007MA,B19101G_007EA,B19101G_008MA,B19101G_008EA,B19101G_009EA,B19101G_009MA,B19101G_010EA,B19101G_010MA,B19101G_011MA,B19101G_011EA,B19101G_012MA,B19101G_012EA,B19101G_013MA,B19101G_013EA,B19101G_014EA,B19101G_014MA,B19101G_015EA,B19101G_015MA,B19101G_016EA,B19101G_016MA,B19101G_017EA,B19101G_017MA,state
0400000US01,9543,1358,1025,486,548,302,824,472,459,274,409,280,506,275,544,359,754,526,457,275,638,296,1069,458,959,423,369,265,316,318,87,118,579,406,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,6144,1195,286,211,340,289,202,169,405,356,302,187,203,172,165,150,291,254,183,173,721,509,528,308,1058,581,309,203,484,263,258,180,409,351,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,24226,2792,1390,731,852,437,1151,533,885,474,2030,733,1311,550,1062,476,1018,454,696,389,3467,1272,3229,833,2847,794,1033,434,1134,664,931,525,1190,705,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,8527,1357,689,338,1213,567,456,248,566,446,886,518,719,443,394,362,386,297,257,194,826,486,771,455,787,452,468,361,0,273,0,273,109,174,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,233936,6750,12501,1801,10366,1704,11501,1993,10285,1576,8714,1264,12242,1817,9560,1596,10586,1817,10418,1526,18460,1934,27227,2588,31470,2609,18863,2060,14108,1889,14867,1600,12768,1628,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,25829,2477,2039,812,798,387,1715,696,1350,643,1368,713,1190,433,1046,465,1570,688,961,483,1699,652,3060,951,3535,902,2163,631,1374,613,1196,497,765,420,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,12885,1800,962,430,561,509,1197,674,960,570,699,518,641,464,712,456,652,452,270,196,939,456,912,442,1610,739,1313,436,509,309,523,464,425,291,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,61896,3789,3828,996,3100,869,3004,791,4766,1214,3743,856,3313,1003,3198,898,4458,902,3046,847,4785,1223,6975,1492,7407,1551,4266,1013,2997,979,1775,625,1235,571,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,24927,2303,1301,586,1296,668,1413,518,1899,726,1161,526,1666,514,664,359,1780,797,847,436,2571,745,3201,864,2857,895,1555,634,893,397,1430,540,393,380,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,52190,3123,3361,962,1598,642,1607,752,2030,738,1634,643,2156,702,2314,668,1462,580,1327,459,4302,899,6079,1056,8919,1530,5441,1086,3576,946,3775,907,2609,697,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,6017,1128,1315,579,298,226,469,295,163,158,128,142,287,257,720,475,311,249,518,314,389,236,381,333,408,283,503,287,0,267,29,55,98,135,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,31103,3199,2208,946,963,506,1729,740,1532,468,1611,670,1721,608,1085,452,1456,552,974,407,2570,797,2424,637,5205,1185,3318,808,848,318,2107,792,1352,612,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,15012,1895,1292,527,775,409,689,418,893,474,1051,477,820,382,816,392,876,453,788,361,1384,490,1973,754,1660,663,1139,488,276,250,157,180,423,288,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,7439,1336,1008,447,358,302,823,449,304,259,511,325,538,380,747,539,272,246,297,197,523,349,753,395,928,504,85,71,139,109,153,209,0,228,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,13514,1642,1356,592,1202,615,813,498,913,388,682,346,560,249,1103,457,796,441,404,245,1307,638,1348,603,1008,398,630,321,634,355,429,279,329,235,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,10225,1534,1436,618,1069,622,1177,604,985,546,872,474,405,265,204,201,428,427,292,267,406,315,1151,540,749,390,441,286,289,383,223,277,98,168,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,9431,1427,401,220,205,178,865,539,429,360,630,294,553,351,330,257,264,210,604,548,898,392,1591,646,1019,494,713,330,197,196,270,175,462,264,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,3011,640,232,215,275,202,91,116,197,178,425,271,161,155,126,87,60,68,166,139,114,98,204,143,616,359,133,137,12,21,118,122,81,131,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,23045,2330,1551,671,356,371,850,540,789,434,540,354,1213,572,999,520,839,356,962,532,1660,561,3111,986,2902,892,2419,649,1735,739,2096,790,1023,441,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,30757,2839,3320,787,2320,923,1142,551,1547,643,2743,1004,1223,614,1491,666,1610,736,1119,574,2542,833,2838,964,2591,661,2394,764,851,476,1752,563,1274,614,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
