C17020A_006M,C17020A_007E,C17020A_007M,C17020A_008E,C17020A_008M,C17020A_009E,C17020A_009M,GEO_ID,C17020A_001E,C17020A_001M,C17020A_002E,C17020A_002M,C17020A_003E,C17020A_003M,C17020A_004E,C17020A_004M,C17020A_005E,C17020A_005M,C17020A_006E,C17020A_006MA,C17020A_007EA,C17020A_007MA,C17020A_008EA,C17020A_008MA,C17020A_009MA,C17020A_009EA,NAME,C17020A_001MA,C17020A_001EA,C17020A_002EA,C17020A_002MA,C17020A_003MA,C17020A_003EA,C17020A_004MA,C17020A_004EA,C17020A_005MA,C17020A_005EA,C17020A_006EA,state
18612,574604,9447,1758797,12079,475185,3333,0400000US01,3259636,8234,451050,17906,132136,9306,278044,10373,40870,3350,2808586,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,01
5541,96277,2929,305476,3380,37738,1075,0400000US02,471648,2756,32157,4253,8761,2028,21342,2671,2054,1008,439491,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,02
32795,910934,16556,2566170,19031,745546,4885,0400000US04,4995980,24595,773330,27539,264716,15071,456704,14784,51910,4246,4222650,null,null,null,null,null,null,null,Arizona,null,null,null,null,null,null,null,null,null,null,null,04
14621,393492,7880,1168547,8614,329129,3208,0400000US05,2229836,7460,338668,13786,107371,7226,199097,8422,32200,2531,1891168,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,05
75367,4226782,32874,12612928,49621,2842982,11316,0400000US06,22881667,67621,3198975,52083,1053054,26104,1896820,31123,249101,8956,19682692,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,null,06
21311,804406,10718,2383461,12956,455885,3414,0400000US08,4123278,16864,479526,19771,134391,9759,308382,12208,36753,3200,3643752,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,08
15425,530059,5789,1582442,10510,412669,3256,0400000US09,2721763,10885,196593,11747,46960,4660,124697,7434,24936,2724,2525170,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,09
6738,108332,3205,358563,4361,98708,1598,0400000US10,621871,4998,56268,6056,15473,3062,33601,3542,7194,1462,565603,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,10
4268,23013,1428,158741,3207,21568,660,0400000US11,224091,4390,20769,2823,1581,1041,18123,2442,1065,505,203322,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,11
39230,2180535,19662,7422298,25064,2615963,10233,0400000US12,14156654,33831,1937858,31775,492687,16673,1195336,20631,249835,8555,12218796,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,12
