GEO_ID,B17014_001E,B17014_001M,B17014_002E,B17014_002M,B17014_003E,B17014_003M,B17014_004E,B17014_004M,B17014_005E,B17014_005M,B17014_006E,B17014_006M,B17014_007E,B17014_007M,B17014_008E,B17014_008M,B17014_009E,B17014_009M,B17014_010E,B17014_010M,B17014_011E,B17014_011M,B17014_012E,B17014_012M,B17014_013E,B17014_013M,B17014_014E,B17014_014M,B17014_015E,B17014_015M,B17014_016E,B17014_016M,B17014_017E,B17014_017M,B17014_018E,B17014_018M,B17014_019E,B17014_019M,B17014_020E,B17014_020M,B17014_021E,B17014_021M,B17014_022E,B17014_022M,B17014_023E,B17014_023M,B17014_024E,B17014_024M,B17014_025E,B17014_025M,B17014_026E,B17014_026M,B17014_027E,B17014_027M,B17014_028E,B17014_028M,B17014_029E,B17014_029M,B17014_030E,B17014_030M,B17014_031E,B17014_031M,B17014_032E,B17014_032M,B17014_033E,B17014_033M,B17014_034E,B17014_034M,B17014_035E,B17014_035M,NAME,B17014_001MA,B17014_001EA,B17014_002EA,B17014_002MA,B17014_003MA,B17014_003EA,B17014_004EA,B17014_004MA,B17014_005MA,B17014_005EA,B17014_006EA,B17014_006MA,B17014_007MA,B17014_007EA,B17014_008EA,B17014_008MA,B17014_009EA,B17014_009MA,B17014_010MA,B17014_010EA,B17014_011EA,B17014_011MA,B17014_012EA,B17014_012MA,B17014_013EA,B17014_013MA,B17014_014EA,B17014_014MA,B17014_015MA,B17014_015EA,B17014_016EA,B17014_016MA,B17014_017EA,B17014_017MA,B17014_018EA,B17014_018MA,B17014_019EA,B17014_019MA,B17014_020EA,B17014_020MA,B17014_021EA,B17014_021MA,B17014_022MA,B17014_022EA,B17014_023MA,B17014_023EA,B17014_024EA,B17014_024MA,B17014_025MA,B17014_025EA,B17014_026EA,B17014_026MA,B17014_027MA,B17014_027EA,B17014_028EA,B17014_028MA,B17014_029EA,B17014_029MA,B17014_030MA,B17014_030EA,B17014_031EA,B17014_031MA,B17014_032EA,B17014_032MA,B17014_033MA,B17014_033EA,B17014_034EA,B17014_034MA,B17014_035EA,B17014_035MA,state
0400000US34,2185732,12750,170117,6629,55060,3808,18024,2198,25231,2679,10553,1372,1252,501,115057,6263,15416,2238,5760,1267,8268,1680,1182,428,206,255,99641,5522,44998,3447,46513,3646,7076,1477,1054,617,2015615,12335,1559170,11881,163484,4654,390522,8423,753771,11872,251393,7115,456445,9525,138620,4557,10949,1724,66536,3586,46166,3000,14969,1894,317825,8958,27913,2619,160306,6236,95290,5287,34316,3067,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,501092,8213,78817,4704,31673,3060,8607,1360,15481,2444,6723,1374,862,630,47144,3398,11210,1926,3878,1090,5846,1268,1117,572,369,342,35934,2868,12801,1580,20407,2223,2364,824,362,322,422275,8519,317671,7391,51822,2672,87309,5126,144446,5675,34094,2893,104604,5227,37831,3946,3294,1092,21759,2520,10008,1706,2770,924,66773,4348,4511,847,39429,3318,18483,2319,4350,1250,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,4632676,21902,530477,11710,185504,7085,51551,3830,92856,5041,35643,3003,5454,1092,344973,9177,50300,3321,20244,2852,25478,2624,3967,1012,611,361,294673,8560,134656,6588,137932,5617,19606,2224,2479,727,4102199,23344,3025391,23160,369459,7291,738627,13510,1455272,18464,462033,9555,1076808,18897,304936,9594,21270,2160,152959,6981,96306,5181,34401,3051,771872,15887,64711,3410,405111,10715,228959,8263,73091,4267,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,2441916,18415,324800,8659,110888,5682,30705,3015,53171,4348,23523,2594,3489,1214,213912,7895,36661,3916,12325,1961,20804,3012,3191,1184,341,256,177251,7028,70914,5067,93258,5171,10984,1959,2095,808,2117116,17310,1659975,16719,232108,5815,433217,10695,837778,13677,156872,6407,457141,11005,123091,6485,10204,1596,68343,4716,35179,3325,9365,1721,334050,9501,35820,3478,190258,7195,90919,4655,17053,1845,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,171945,3437,13412,1433,5312,880,1838,458,1965,650,1248,434,261,215,8100,1030,775,331,297,233,379,204,99,105,0,211,7325,1066,2333,734,4152,887,748,385,92,116,158533,3487,134965,3356,14023,1099,23080,1874,79755,3194,18107,1408,23568,2119,8071,1388,261,179,4716,1056,2555,694,539,309,15497,1713,760,300,8463,1311,5394,1113,880,332,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,2960107,17479,347896,8601,107544,5619,35389,2790,46930,3349,22604,2725,2621,740,240352,8227,36923,3046,14468,2038,19493,2444,2962,1058,0,269,203429,7663,79189,4160,110928,5877,11727,1672,1585,756,2612211,17603,2061459,16504,293488,6886,489510,8937,1024552,13739,253909,6326,550752,11055,159207,6198,14864,1690,91213,4911,44690,3321,8440,1602,391545,10237,40066,3142,224573,6532,105772,4590,21134,2426,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,954622,8374,121095,4804,44971,3264,12556,1497,20805,2530,10849,1753,761,339,76124,4041,12493,1860,3903,1008,7396,1298,1130,599,64,114,63631,4053,22027,2519,35992,3448,5223,1174,389,320,833527,7790,664285,8535,96093,3495,167940,5196,332863,7912,67389,3228,169242,6007,50362,3601,3561,814,27884,2769,15781,1897,3136,791,118880,4749,10462,1208,66208,3675,34263,2388,7947,1480,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,963362,9735,106178,5263,43339,3584,11114,1804,18939,2345,11560,1891,1726,654,62839,4260,10830,1951,3544,959,6333,1780,804,477,149,177,52009,3873,21142,2377,27248,2784,3375,885,244,185,857184,9455,689756,9679,106030,4292,174743,5786,339804,8561,69179,4071,167428,6242,55142,3172,5539,1188,29611,2728,16932,2201,3060,1036,112286,5471,13538,1907,63308,4477,29160,2556,6280,1334,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,3197710,17008,298448,9031,91066,4438,33049,3133,39814,3459,15958,1662,2245,598,207382,7342,32250,2950,14429,2070,15589,1982,1884,711,348,332,175132,6692,77232,4936,84821,4625,11637,1784,1442,608,2899262,16763,2290028,15292,312519,6120,538478,9528,1120201,12849,318830,7797,609234,11097,182832,6644,16443,1968,102896,5141,52157,3679,11336,1665,426402,8857,41678,2584,238772,7790,115709,5078,30243,2407,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,246028,5431,22578,2406,6499,1530,1701,556,3626,1197,1048,578,124,155,16079,1779,2370,767,963,560,1037,462,370,343,0,291,13709,1743,5806,1171,7103,1430,800,447,0,291,223450,5671,167349,5095,19527,1711,38223,2385,82740,3740,26859,2128,56101,3817,15155,2029,1509,606,8582,1576,4199,939,865,468,40946,3042,3745,966,21891,2311,11611,1526,3699,1164,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
