GEO_ID,B25096_001E,B25096_001M,B25096_002E,B25096_002M,B25096_003E,B25096_003M,B25096_004E,B25096_004M,B25096_005E,B25096_005M,B25096_006E,B25096_006M,B25096_007E,B25096_007M,B25096_008E,B25096_008M,B25096_009E,B25096_009M,B25096_010E,B25096_010M,B25096_011E,B25096_011M,B25096_012E,B25096_012M,B25096_013E,B25096_013M,B25096_014E,B25096_014M,B25096_015E,B25096_015M,B25096_016E,B25096_016M,B25096_017E,B25096_017M,NAME,B25096_001MA,B25096_001EA,B25096_002MA,B25096_002EA,B25096_003EA,B25096_003MA,B25096_004MA,B25096_004EA,B25096_005EA,B25096_005MA,B25096_006EA,B25096_006MA,B25096_007MA,B25096_007EA,B25096_008MA,B25096_008EA,B25096_009EA,B25096_009MA,B25096_010MA,B25096_010EA,B25096_011MA,B25096_011EA,B25096_012EA,B25096_012MA,B25096_013MA,B25096_013EA,B25096_014EA,B25096_014MA,B25096_015MA,B25096_015EA,B25096_016EA,B25096_016MA,B25096_017EA,B25096_017MA,state
0400000US01,1272846,12811,774408,11811,70389,3234,182675,7458,157242,5881,137949,5537,130424,6140,67079,3167,28650,2379,498438,9912,138232,5810,127703,4704,77255,3632,58097,3078,53602,3328,29186,2536,14363,1602,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,162785,3878,112659,3658,2307,754,3217,855,10810,1445,17603,1756,39665,2927,29908,2511,9149,1445,50126,2618,7386,1174,5162,892,5981,1034,6351,1169,12940,1414,9862,1574,2444,690,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1522938,13309,1065003,11608,42305,3333,142718,5948,218772,7474,207403,6985,228104,6919,153501,5620,72200,3972,457935,8752,90191,3862,76970,3941,68351,3429,65608,3728,74009,3812,52415,3776,30391,2580,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,751568,9191,433218,8521,52025,3358,117087,4931,103733,5864,70273,3502,52939,3499,27923,2283,9238,1548,318350,6991,93058,4229,92247,4393,51978,3197,32064,2442,29230,2485,13164,1571,6609,1218,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,6903175,27402,5183554,27183,77368,4159,175699,6701,310982,7711,447450,9732,901187,15528,1505990,17423,1764878,15202,1719621,18951,171586,5520,122364,5090,108406,4326,120961,5880,230599,6483,403185,9677,562520,9897,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1292792,11248,974765,10769,24645,2243,39423,2794,109968,4954,169079,5718,285470,7504,233559,6629,112621,4800,318027,6814,41206,3576,24797,2150,34660,2672,47591,2921,78888,3873,56410,3103,34475,2083,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,923617,8286,660057,8447,6447,847,10170,1407,37621,2726,86071,4396,200295,6027,200554,5842,118899,4991,263560,6166,8788,1422,10259,1534,17700,2001,36457,2478,78125,3766,68305,3249,43926,3152,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,239884,4113,170847,3770,5221,1035,4435,975,12710,1820,30186,2688,57818,3190,47818,2580,12659,1496,69037,2701,9150,1377,5220,996,5529,896,9056,1315,19153,1425,15879,1730,5050,856,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,107193,3924,82658,3696,1023,444,907,489,1569,490,2559,660,13201,2035,29062,2227,34337,2557,24535,1627,877,420,594,331,1083,599,1138,407,4978,913,7027,1073,8838,1064,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4794130,25332,3064955,23728,133527,5708,480950,9968,598478,11981,597370,13541,641378,12744,413593,10107,199659,6964,1729175,14629,283545,8371,343085,7760,266599,7278,245681,6762,275275,7811,192145,6214,122845,5194,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
