GEO_ID,B05010_001E,B05010_001M,B05010_002E,B05010_002M,B05010_003E,B05010_003M,B05010_004E,B05010_004M,B05010_005E,B05010_005M,B05010_006E,B05010_006M,B05010_007E,B05010_007M,B05010_008E,B05010_008M,B05010_009E,B05010_009M,B05010_010E,B05010_010M,B05010_011E,B05010_011M,B05010_012E,B05010_012M,B05010_013E,B05010_013M,B05010_014E,B05010_014M,B05010_015E,B05010_015M,B05010_016E,B05010_016M,B05010_017E,B05010_017M,B05010_018E,B05010_018M,B05010_019E,B05010_019M,B05010_020E,B05010_020M,B05010_021E,B05010_021M,B05010_022E,B05010_022M,B05010_023E,B05010_023M,B05010_024E,B05010_024M,B05010_025E,B05010_025M,NAME,B05010_001EA,B05010_001MA,B05010_002MA,B05010_002EA,B05010_003MA,B05010_003EA,B05010_004MA,B05010_004EA,B05010_005MA,B05010_005EA,B05010_006MA,B05010_006EA,B05010_007MA,B05010_007EA,B05010_008EA,B05010_008MA,B05010_009MA,B05010_009EA,B05010_010MA,B05010_010EA,B05010_011MA,B05010_011EA,B05010_012MA,B05010_012EA,B05010_013MA,B05010_013EA,B05010_014MA,B05010_014EA,B05010_015MA,B05010_015EA,B05010_016MA,B05010_016EA,B05010_017EA,B05010_017MA,B05010_018MA,B05010_018EA,B05010_019MA,B05010_019EA,B05010_020EA,B05010_020MA,B05010_021EA,B05010_021MA,B05010_022MA,B05010_022EA,B05010_023EA,B05010_023MA,B05010_024EA,B05010_024MA,B05010_025MA,B05010_025EA,state
0400000US01,1061972,6538,285527,12113,69851,7116,57675,5839,10061,2946,2115,1186,215676,11911,206855,11354,8821,2279,239315,11459,130410,8378,108706,7676,16457,3351,5247,1910,108905,8427,102507,7903,6398,2367,537130,13002,432984,12327,408865,11931,12611,2327,11508,2473,104146,8249,101223,8131,2923,1425,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,179352,1744,22334,2789,5760,1673,3981,1158,1531,1188,248,218,16574,2447,14702,2339,1872,1055,32848,4155,16042,3399,13678,3211,655,782,1709,952,16806,2621,15504,2575,1302,706,124170,5125,100634,5691,87979,4642,5705,2054,6950,1843,23536,2810,22513,2843,1023,514,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1540577,7707,363438,17448,147375,10827,55179,6984,72756,7881,19440,4659,216063,13822,152176,10850,63887,8555,419480,17476,246095,15703,130620,11334,82368,9910,33107,5361,173385,12077,138938,9830,34447,5929,757659,18618,578138,17257,455072,13848,54779,5924,68287,6987,179521,9503,160137,8909,19384,2913,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,659320,5285,176659,9423,51683,5774,40538,5087,8747,2453,2398,1247,124976,7992,113408,7456,11568,3389,179998,9435,106368,7840,85728,6818,14143,3494,6497,2130,73630,6356,67661,5921,5969,1925,302663,8586,247129,8439,229766,7916,10941,2419,6422,1978,55534,4822,52444,4870,3090,1639,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8846687,18494,1897234,37533,800699,22113,163971,11572,545151,18089,91577,8766,1096535,28822,590329,24040,506206,19802,2136747,38923,1305943,33565,341179,18447,787923,24939,176841,11236,830804,21841,471592,17868,359212,17394,4812706,38200,3795053,35996,2112187,29180,1076610,21279,606256,20078,1017653,25063,738513,20228,279140,11893,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1179063,5746,198147,11781,69793,7039,34628,5277,30299,4349,4866,1756,128354,9512,95834,8489,32520,5219,249875,12918,151359,10646,85970,8166,50036,5243,15353,3383,98516,7444,79568,6994,18948,3527,731041,12900,602169,12109,511278,12906,38837,5021,52054,4937,128872,6922,115791,6508,13081,2450,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,784968,3771,96096,7489,22298,4112,9570,2617,9841,2604,2887,2029,73798,6984,64867,6659,8931,2816,118100,6467,55869,6501,30073,4409,17116,3552,8680,2853,62231,5870,48534,5335,13697,2607,570772,8870,457308,9589,353367,9155,57457,5272,46484,4197,113464,7320,95373,7070,18091,2968,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,195644,2095,33749,4283,9264,3097,6650,2845,1908,1391,706,591,24485,3989,20669,3528,3816,1930,38004,5099,16233,2982,10527,2497,4741,1860,965,737,21771,3717,20036,3584,1735,914,123891,5971,96972,5135,82726,4891,9031,2016,5215,2022,26919,3388,25024,3198,1895,864,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,94296,1968,28573,3921,2285,1223,653,536,1501,1026,131,155,26288,3769,24932,3745,1356,859,18244,3448,4776,1807,1815,1131,2961,1513,0,292,13468,2557,11511,2377,1957,1398,47479,3771,30688,2750,22126,2632,3067,1085,5495,1560,16791,2985,14687,2777,2104,1162,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3784214,10198,859896,21225,268781,15338,128636,11711,112777,9635,27368,5365,591115,20372,449446,18760,141669,12496,931894,23428,482280,19872,267775,15116,164878,11291,49627,6168,449614,15973,323483,14273,126131,9771,1992424,25168,1549564,24740,1077180,22200,261623,12211,210761,9406,442860,15418,353758,14100,89102,7876,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
